[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
7991  0x0009dbca 0x1009e7ca 4   5    .text   ascii   D[|\r
7992  0x0009dcef 0x1009e8ef 4   5    .text   ascii   L@HH
7993  0x0009dd12 0x1009e912 5   6    .text   ascii   0+EH$
7994  0x0009dd53 0x1009e953 5   6    .text   ascii   |L;$D
7995  0x0009dd8d 0x1009e98d 4   5    .text   ascii   t3MH
7996  0x0009ddf1 0x1009e9f1 8   10   .text   utf8    @͋h8IHSQ blocks=Basic Latin,Combining Diacritical Marks
7997  0x0009de00 0x1009ea00 4   5    .text   ascii   H^A$
7998  0x0009de05 0x1009ea05 4   6    .text   utf8     )$ĝ blocks=Basic Latin,Latin Extended-A
7999  0x0009de2a 0x1009ea2a 4   5    .text   ascii   pL\f(
8000  0x0009de60 0x1009ea60 4   5    .text   ascii   H$PH
8001  0x0009deb8 0x1009eab8 4   5    .text   ascii   I$${
8002  0x0009df8d 0x1009eb8d 4   5    .text   ascii   $HHM
8003  0x0009df99 0x1009eb99 4   5    .text   ascii   RtpL
8004  0x0009dfd8 0x1009ebd8 4   5    .text   ascii   D(QH
8005  0x0009e05d 0x1009ec5d 5   6    .text   ascii   $$HU=
8006  0x0009e0cb 0x1009eccb 5   7    .text   utf8    =R|$\t
8007  0x0009e103 0x1009ed03 4   6    .text   utf8    ̍vEN blocks=Combining Diacritical Marks,Basic Latin
8008  0x0009e131 0x1009ed31 4   5    .text   ascii   HHHH
8009  0x0009e15a 0x1009ed5a 5   7    .text   utf8    ɐHmHI blocks=IPA Extensions,Basic Latin
8010  0x0009e1c1 0x1009edc1 8   9    .text   ascii   uIM@H$_+
8011  0x0009e263 0x1009ee63 4   5    .text   ascii   HWIH
8012  0x0009e268 0x1009ee68 4   5    .text   ascii   IGpH
8013  0x0009e2a3 0x1009eea3 5   7    .text   utf8    AEAtI
8014  0x0009e2e5 0x1009eee5 4   6    .text   utf8    Bč@h blocks=Basic Latin,Latin Extended-A
8015  0x0009e37d 0x1009ef7d 4   5    .text   ascii   HPHD
8016  0x0009e387 0x1009ef87 5   6    .text   ascii   H\nD\bD
8017  0x0009e430 0x1009f030 5   6    .text   ascii   .\bMH;
8018  0x0009e519 0x1009f119 4   7    .text   utf8    $(0퍍 blocks=Basic Latin,Hangul Syllables
8019  0x0009e553 0x1009f153 5   6    .text   ascii   [@$Hd
8020  0x0009e55c 0x1009f15c 4   5    .text   ascii   HyOt
8021  0x0009e567 0x1009f167 5   6    .text   ascii   DH+\v(
8022  0x0009e59e 0x1009f19e 4   6    .text   utf8    (̨s` blocks=Basic Latin,Combining Diacritical Marks
8023  0x0009e5a6 0x1009f1a6 4   5    .text   ascii   HrH\b
8024  0x0009e616 0x1009f216 5   6    .text   ascii   PD+$T
8025  0x0009e64b 0x1009f24b 4   5    .text   ascii   AH8`
8026  0x0009e65b 0x1009f25b 6   7    .text   ascii   Xm-HH#
8027  0x0009e67c 0x1009f27c 7   10   .text   utf8    MQI;HË̋ blocks=Basic Latin,Latin-1 Supplement,Combining Diacritical Marks
8028  0x0009e6f5 0x1009f2f5 4   5    .text   ascii   DC+$
8029  0x0009e713 0x1009f313 4   5    .text   ascii   \vP3&
8030  0x0009e71c 0x1009f31c 8   9    .text   ascii   )Et\nt3]f
8031  0x0009e79a 0x1009f39a 7   10   .text   utf8    :PHI(Hۋ blocks=Basic Latin,Arabic
8032  0x0009e830 0x1009f430 4   5    .text   ascii   @8(&
8033  0x0009e8d4 0x1009f4d4 4   5    .text   ascii   EHH\f
8034  0x0009e8e6 0x1009f4e6 5   7    .text   utf8    L\vHxA
8035  0x0009e8ef 0x1009f4ef 4   5    .text   ascii   H|IY
8036  0x0009e9fa 0x1009f5fa 4   5    .text   ascii   tUH\b
8037  0x0009ea40 0x1009f640 5   7    .text   utf8    5ǸA\n; blocks=Basic Latin,Latin Extended-B
8038  0x0009ea62 0x1009f662 5   6    .text   ascii   H( HT
8039  0x0009eabc 0x1009f6bc 5   6    .text   ascii   CM@C@
8040  0x0009eb49 0x1009f749 4   6    .text   utf8    ˃(BB blocks=Spacing Modifier Letters,Basic Latin
8041  0x0009eb9c 0x1009f79c 4   5    .text   ascii   HuIr
8042  0x0009ebb3 0x1009f7b3 4   5    .text   ascii   ?tI(
8043  0x0009ebc1 0x1009f7c1 4   5    .text   ascii   HfEH
8044  0x0009ec32 0x1009f832 4   5    .text   ascii   $HIt
8045  0x0009ec6b 0x1009f86b 5   6    .text   ascii   }GS4$
8046  0x0009eca0 0x1009f8a0 4   5    .text   ascii   B$[\b
8047  0x0009ecd6 0x1009f8d6 4   5    .text   ascii   $HH\b
8048  0x0009ed10 0x1009f910 5   7    .text   utf8    GrH3\b
8049  0x0009edd4 0x1009f9d4 4   5    .text   ascii   Ht0H
8050  0x0009edfd 0x1009f9fd 4   5    .text   ascii   4fI2
8051  0x0009ee16 0x1009fa16 5   7    .text   utf8    H|MH 
8052  0x0009ee84 0x1009fa84 8   10   .text   utf8    t HHLKdl
8053  0x0009eeca 0x1009faca 4   5    .text   ascii   [\eHK
8054  0x0009ef0b 0x1009fb0b 4   5    .text   ascii     $H
8055  0x0009ef11 0x1009fb11 4   5    .text   ascii   ;HH-
8056  0x0009ef97 0x1009fb97 5   6    .text   ascii   DM_;L
8057  0x0009efb5 0x1009fbb5 4   5    .text   ascii   $Abt
8058  0x0009efcf 0x1009fbcf 5   7    .text   utf8    \e9L\r̸ blocks=Basic Latin,Combining Diacritical Marks
8059  0x0009f062 0x1009fc62 4   5    .text   ascii    9\eB
8060  0x0009f0f9 0x1009fcf9 5   6    .text   ascii   SAL+B
8061  0x0009f159 0x1009fd59 4   5    .text   ascii   Hd\vH
8062  0x0009f18e 0x1009fd8e 7   10   .text   utf8    腐wH$\bNQ blocks=CJK Unified Ideographs,Basic Latin
8063  0x0009f1af 0x1009fdaf 4   6    .text   utf8    IG̋k blocks=Basic Latin,Combining Diacritical Marks
8064  0x0009f215 0x1009fe15 4   7    .text   utf8    M\n/ǽ blocks=Basic Latin,Latin Extended-B
8065  0x0009f248 0x1009fe48 4   5    .text   ascii   HeuH
8066  0x0009f277 0x1009fe77 5   7    .text   utf8    ^$/pu
8067  0x0009f35e 0x1009ff5e 4   5    .text   ascii   HHH 
8068  0x0009f3c2 0x1009ffc2 4   5    .text   ascii   HE$H
8069  0x0009f532 0x100a0132 6   7    .text   ascii   H$Q\tH"
8070  0x0009f59a 0x100a019a 4   6    .text   utf8    IA\H
8071  0x0009f5dd 0x100a01dd 4   5    .text   ascii   HEHM
8072  0x0009f5fe 0x100a01fe 4   5    .text   ascii   3H$\b
8073  0x0009f60d 0x100a020d 4   5    .text   ascii   sDDH
8074  0x0009f619 0x100a0219 5   7    .text   utf8    G̃n\bH blocks=Basic Latin,Combining Diacritical Marks
8075  0x0009f676 0x100a0276 4   5    .text   ascii   t9CL
8076  0x0009f728 0x100a0328 5   6    .text   ascii   TExH:
8077  0x0009f7b4 0x100a03b4 4   5    .text   ascii   7HN@
8078  0x0009f7f1 0x100a03f1 4   5    .text   ascii   9 H1
8079  0x0009f89e 0x100a049e 4   5    .text   ascii   H"HA
8080  0x0009f8cd 0x100a04cd 4   5    .text   ascii   (\b H
8081  0x0009f980 0x100a0580 4   5    .text   ascii    $0E
8082  0x0009f9bd 0x100a05bd 4   5    .text   ascii   |@ \b
8083  0x0009f9d3 0x100a05d3 5   6    .text   ascii   MH$uH
8084  0x0009f9f9 0x100a05f9 4   5    .text   ascii   $\bI-
8085  0x0009fb4b 0x100a074b 5   6    .text   ascii   2(H\n+
8086  0x0009fb5c 0x100a075c 6   7    .text   ascii   HMHt\vt
8087  0x0009fb9c 0x100a079c 4   6    .text   utf8    LDăH blocks=Basic Latin,Latin Extended-A
8088  0x0009fbc9 0x100a07c9 5   7    .text   utf8    ǳH:DM blocks=Latin Extended-B,Basic Latin
8089  0x0009fbf0 0x100a07f0 4   5    .text   ascii   H\n6I
8090  0x0009fbf6 0x100a07f6 4   5    .text   ascii   RHHD
8091  0x0009fc8e 0x100a088e 4   5    .text   ascii   AHF0
8092  0x0009fced 0x100a08ed 4   5    .text   ascii   85D\v
8093  0x0009fdc8 0x100a09c8 4   5    .text   ascii   s\b]M
8094  0x0009fe54 0x100a0a54 5   6    .text   ascii   |$WHA
8095  0x0009feb5 0x100a0ab5 4   5    .text   ascii   +HHH
8096  0x0009fef0 0x100a0af0 6   7    .text   ascii   HHEp|@
8097  0x0009ff1d 0x100a0b1d 4   5    .text   ascii   C\bA3
8098  0x0009ff35 0x100a0b35 4   5    .text   ascii   HEH\b
8099  0x0009ff3d 0x100a0b3d 4   5    .text   ascii   LHdT
8100  0x0009ff9e 0x100a0b9e 4   5    .text   ascii   vH=A
8101  0x000a001a 0x100a0c1a 6   7    .text   ascii   +\tH0\rH
8102  0x000a0096 0x100a0c96 4   5    .text   ascii   HLKH
8103  0x000a00a6 0x100a0ca6 5   6    .text   ascii   wLE\rM
8104  0x000a00d4 0x100a0cd4 4   5    .text   ascii   HLDI
8105  0x000a0138 0x100a0d38 5   6    .text   ascii   H\bDE(
8106  0x000a0186 0x100a0d86 4   5    .text   ascii   $(HX
8107  0x000a01ad 0x100a0dad 4   5    .text   ascii   L|C0
8108  0x000a0267 0x100a0e67 4   5    .text   ascii   H\b\v0
8109  0x000a0280 0x100a0e80 4   5    .text   ascii   HHAH
8110  0x000a02af 0x100a0eaf 4   6    .text   utf8    HǆW\r blocks=Basic Latin,Latin Extended-B
8111  0x000a02f6 0x100a0ef6 6   7    .text   ascii   <HIs\eG
8112  0x000a0328 0x100a0f28 4   5    .text   ascii   lH0\e
8113  0x000a0366 0x100a0f66 4   5    .text   ascii   H=tH
8114  0x000a03c7 0x100a0fc7 4   5    .text   ascii   <I\rU
8115  0x000a0444 0x100a1044 4   5    .text   ascii   M;Vq
8116  0x000a04a7 0x100a10a7 4   6    .text   utf8    HU܋L blocks=Basic Latin,Syriac
8117  0x000a04c0 0x100a10c0 4   5    .text   ascii   \vCII
8118  0x000a04e2 0x100a10e2 4   5    .text   ascii   ;U_3
8119  0x000a0519 0x100a1119 4   5    .text   ascii   lH3H
8120  0x000a052d 0x100a112d 4   5    .text   ascii   $Hl 
8121  0x000a05d9 0x100a11d9 5   6    .text   ascii   PDA0H
8122  0x000a05e5 0x100a11e5 7   8    .text   ascii    HMCH$A
8123  0x000a05ef 0x100a11ef 4   6    .text   utf8    ǍT\e0 blocks=Latin Extended-B,Basic Latin
8124  0x000a0609 0x100a1209 5   7    .text   utf8    @̊DLG blocks=Basic Latin,Combining Diacritical Marks
8125  0x000a0705 0x100a1305 4   5    .text   ascii   x}HI
8126  0x000a073d 0x100a133d 4   5    .text   ascii   $"@H
8127  0x000a07a3 0x100a13a3 4   6    .text   utf8     ƋMH blocks=Basic Latin,Latin Extended-B
8128  0x000a07c1 0x100a13c1 4   5    .text   ascii   %G\tA
8129  0x000a07ed 0x100a13ed 4   5    .text   ascii   J\rHC
8130  0x000a07f2 0x100a13f2 4   5    .text   ascii   3\bHH
8131  0x000a08c9 0x100a14c9 4   5    .text   ascii   0HC\e
8132  0x000a08fb 0x100a14fb 5   6    .text   ascii   ju(HU
8133  0x000a0908 0x100a1508 6   7    .text   ascii   AHHI*H
8134  0x000a095d 0x100a155d 4   6    .text   utf8    Hw~˃ blocks=Basic Latin,Spacing Modifier Letters
8135  0x000a0970 0x100a1570 4   7    .text   utf8    @F상H blocks=Basic Latin,Hangul Syllables
8136  0x000a0995 0x100a1595 4   5    .text   ascii   HxHC
8137  0x000a09ce 0x100a15ce 4   5    .text   ascii   D\bD8
8138  0x000a09ee 0x100a15ee 4   5    .text   ascii   ;rE$
8139  0x000a0a17 0x100a1617 6   7    .text   ascii   xHLHHH
8140  0x000a0c00 0x100a1800 5   7    .text   utf8    (2Lw2
8141  0x000a0c25 0x100a1825 4   5    .text   ascii   =H3>
8142  0x000a0c9c 0x100a189c 4   5    .text   ascii   H$ H
8143  0x000a0d19 0x100a1919 4   5    .text   ascii   HD{H
8144  0x000a0d58 0x100a1958 4   5    .text   ascii   ;TLh
8145  0x000a0d63 0x100a1963 4   5    .text   ascii   BL$/
8146  0x000a0dd6 0x100a19d6 4   5    .text   ascii   W(3;
8147  0x000a0e43 0x100a1a43 4   5    .text   ascii   1EHH
8148  0x000a0e4f 0x100a1a4f 4   5    .text   ascii   \bH=?
8149  0x000a0e6d 0x100a1a6d 4   5    .text   ascii    \bLU
8150  0x000a0ee3 0x100a1ae3 6   7    .text   ascii   EIRtD-
8151  0x000a0f80 0x100a1b80 4   7    .text   utf8    ȃMEȋ blocks=Latin Extended-B,Basic Latin
8152  0x000a0fb7 0x100a1bb7 6   7    .text   ascii   \fMMEuE
8153  0x000a103b 0x100a1c3b 5   6    .text   ascii   RHER_
8154  0x000a1055 0x100a1c55 4   5    .text   ascii   ph L
8155  0x000a1072 0x100a1c72 7   8    .text   ascii   wHHaCP 
8156  0x000a1097 0x100a1c97 4   6    .text   utf8    L(HВ blocks=Basic Latin,Cyrillic
8157  0x000a114d 0x100a1d4d 5   6    .text   ascii   'tAwH
8158  0x000a1174 0x100a1d74 5   7    .text   utf8    ăuUHH blocks=Latin Extended-A,Basic Latin
8159  0x000a11a4 0x100a1da4 5   6    .text   ascii   u3HDH
8160  0x000a11aa 0x100a1daa 5   6    .text   ascii   t3H(H
8161  0x000a11f3 0x100a1df3 4   5    .text   ascii   \bH\v 
8162  0x000a12b4 0x100a1eb4 4   5    .text   ascii   .HHL
8163  0x000a1317 0x100a1f17 4   7    .text   utf8    [̉IÃ blocks=Basic Latin,Combining Diacritical Marks,Latin-1 Supplement
8164  0x000a1349 0x100a1f49 5   6    .text   ascii   IDUtD
8165  0x000a1353 0x100a1f53 6   7    .text   ascii   \tHlU0H
8166  0x000a1372 0x100a1f72 6   7    .text   ascii   L0H0\D
8167  0x000a13e5 0x100a1fe5 6   7    .text   ascii   u$4$EH
8168  0x000a1401 0x100a2001 4   5    .text   ascii    +Id
8169  0x000a140f 0x100a200f 5   6    .text   ascii   \IUHD
8170  0x000a142c 0x100a202c 4   6    .text   utf8    WʍL! blocks=Basic Latin,IPA Extensions
8171  0x000a144a 0x100a204a 4   5    .text   ascii   $W $
8172  0x000a14ce 0x100a20ce 4   5    .text   ascii   RH\a 
8173  0x000a14ee 0x100a20ee 5   6    .text   ascii   R\b;Ht
8174  0x000a1505 0x100a2105 4   5    .text   ascii   BH$;
8175  0x000a152d 0x100a212d 4   5    .text   ascii   {KDL
8176  0x000a15d4 0x100a21d4 4   6    .text   utf8    D̺uA blocks=Basic Latin,Combining Diacritical Marks
8177  0x000a15f5 0x100a21f5 4   7    .text   utf8    A葋ED blocks=Basic Latin,CJK Unified Ideographs
8178  0x000a1666 0x100a2266 6   7    .text   ascii   KH H}+
8179  0x000a16a0 0x100a22a0 4   5    .text   ascii   +tIG
8180  0x000a1727 0x100a2327 4   5    .text   ascii   EufI
8181  0x000a1771 0x100a2371 4   5    .text   ascii   HDDH
8182  0x000a17be 0x100a23be 4   5    .text   ascii   HGMH
8183  0x000a17c3 0x100a23c3 4   5    .text   ascii   $08)
8184  0x000a1825 0x100a2425 6   7    .text   ascii   HEf\bHL
8185  0x000a1870 0x100a2470 4   5    .text   ascii   $A<p
8186  0x000a18aa 0x100a24aa 5   7    .text   utf8    +ĨH|x blocks=Basic Latin,Latin Extended-A
8187  0x000a18fc 0x100a24fc 4   5    .text   ascii   DHXE
8188  0x000a196f 0x100a256f 4   5    .text   ascii   H)g\a
8189  0x000a19b6 0x100a25b6 4   5    .text   ascii   HH(H
8190  0x000a19db 0x100a25db 4   5    .text   ascii   {M$H
8191  0x000a1a2e 0x100a262e 4   5    .text   ascii   6\bHH
8192  0x000a1a57 0x100a2657 4   5    .text   ascii   @LuL
8193  0x000a1a62 0x100a2662 5   6    .text   ascii   3VV$H
8194  0x000a1a84 0x100a2684 4   5    .text   ascii   H8$O
8195  0x000a1ace 0x100a26ce 4   5    .text   ascii   \a{IH
8196  0x000a1ade 0x100a26de 5   6    .text   ascii   \f$HBE
8197  0x000a1b06 0x100a2706 4   5    .text   ascii   cH\I
8198  0x000a1b49 0x100a2749 5   8    .text   utf8    ̔ǋ0D$ blocks=Combining Diacritical Marks,Latin Extended-B,Basic Latin
8199  0x000a1b79 0x100a2779 5   6    .text   ascii   ,H$^V
8200  0x000a1bd2 0x100a27d2 8   9    .text   ascii   HD'!EHHD
8201  0x000a1c3b 0x100a283b 4   5    .text   ascii   $H?@
8202  0x000a1c6d 0x100a286d 5   7    .text   utf8    \bHHLÍ blocks=Basic Latin,Latin-1 Supplement
8203  0x000a1c78 0x100a2878 4   5    .text   ascii   HD#I
8204  0x000a1c8d 0x100a288d 5   6    .text   ascii   ywH~ 
8205  0x000a1cfd 0x100a28fd 4   5    .text   ascii   K@`H
8206  0x000a1d0d 0x100a290d 4   5    .text   ascii   H0xE
8207  0x000a1d4b 0x100a294b 4   5    .text   ascii   HHH;
8208  0x000a1d9e 0x100a299e 4   5    .text   ascii   $\ruH
8209  0x000a1e00 0x100a2a00 7   8    .text   ascii   H\bL\f\f\tt
8210  0x000a1e82 0x100a2a82 4   5    .text   ascii   $\n`t
8211  0x000a1e9a 0x100a2a9a 4   5    .text   ascii   H+uu
8212  0x000a1f09 0x100a2b09 7   8    .text   ascii   t\bp$ 8(
8213  0x000a1f11 0x100a2b11 4   5    .text   ascii   tS3H
8214  0x000a1f55 0x100a2b55 8   9    .text   ascii   $$H\tB\bt{
8215  0x000a1fa0 0x100a2ba0 6   7    .text   ascii   UW(\nLA
8216  0x000a1fca 0x100a2bca 4   6    .text   utf8    f öt blocks=Basic Latin,Latin-1 Supplement
8217  0x000a2033 0x100a2c33 4   5    .text   ascii   P|$R
8218  0x000a2044 0x100a2c44 4   5    .text   ascii   HH_H
8219  0x000a20a2 0x100a2ca2 5   6    .text   ascii   BUAHH
8220  0x000a20d9 0x100a2cd9 5   6    .text   ascii   LrP\f4
8221  0x000a20ee 0x100a2cee 4   5    .text   ascii   \eID\b
8222  0x000a211b 0x100a2d1b 4   5    .text   ascii   QH|H
8223  0x000a2127 0x100a2d27 4   5    .text   ascii   LHuL
8224  0x000a2145 0x100a2d45 4   5    .text   ascii   uHE$
8225  0x000a2172 0x100a2d72 4   5    .text   ascii   LCHM
8226  0x000a2188 0x100a2d88 5   6    .text   ascii   \fpMMI
8227  0x000a2212 0x100a2e12 4   5    .text   ascii   Q\C 
8228  0x000a225f 0x100a2e5f 4   5    .text   ascii   VWo`
8229  0x000a2285 0x100a2e85 4   5    .text   ascii   AHtH
8230  0x000a234b 0x100a2f4b 4   5    .text   ascii   MH3$
8231  0x000a23ad 0x100a2fad 4   5    .text   ascii   HL;v
8232  0x000a23b2 0x100a2fb2 4   5    .text   ascii   4QMH
8233  0x000a2429 0x100a3029 4   5    .text   ascii   ,DHx
8234  0x000a2524 0x100a3124 6   9    .text   utf8    s$ɉ̈BT blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
8235  0x000a255d 0x100a315d 6   7    .text   ascii   \vKF(HH
8236  0x000a25be 0x100a31be 4   5    .text   ascii   LHH$
8237  0x000a2628 0x100a3228 4   5    .text   ascii   M{L8
8238  0x000a2649 0x100a3249 4   5    .text   ascii   `"IH
8239  0x000a26f3 0x100a32f3 6   7    .text   ascii   I(0CHv
8240  0x000a2791 0x100a3391 4   5    .text   ascii   HcA$
8241  0x000a27b6 0x100a33b6 4   6    .text   utf8    IH$\r
8242  0x000a2803 0x100a3403 4   6    .text   utf8    ˧A$+ blocks=Spacing Modifier Letters,Basic Latin
8243  0x000a2864 0x100a3464 5   6    .text   ascii   HI\v\fP
8244  0x000a289e 0x100a349e 4   5    .text   ascii   H\ba 
8245  0x000a28b4 0x100a34b4 5   6    .text   ascii   \nHLHH
8246  0x000a28d3 0x100a34d3 4   6    .text   utf8    {H%@
8247  0x000a28e8 0x100a34e8 4   5    .text   ascii   O;MH
8248  0x000a2944 0x100a3544 4   6    .text   utf8    \buċ@ blocks=Basic Latin,Latin Extended-A
8249  0x000a29cb 0x100a35cb 4   5    .text   ascii   $;Hu
8250  0x000a29fa 0x100a35fa 4   5    .text   ascii   1BHH
8251  0x000a2a76 0x100a3676 5   6    .text   ascii   hHhHI
8252  0x000a2b7d 0x100a377d 6   7    .text   ascii   L|DdH\b
8253  0x000a2b8c 0x100a378c 4   5    .text   ascii   3H$\
8254  0x000a2bab 0x100a37ab 4   5    .text   ascii   @I+p
8255  0x000a2bdd 0x100a37dd 4   5    .text   ascii   HH%$
8256  0x000a2bff 0x100a37ff 5   6    .text   ascii   hE\bHx
8257  0x000a2c69 0x100a3869 5   8    .text   utf8    $O胅H$ blocks=Basic Latin,CJK Unified Ideographs
8258  0x000a2d97 0x100a3997 5   6    .text   ascii   _P\fH(
8259  0x000a2dcd 0x100a39cd 4   5    .text   ascii   EDLH
8260  0x000a2deb 0x100a39eb 4   5    .text   ascii   IHEQ
8261  0x000a2dfe 0x100a39fe 4   6    .text   utf8    [ӃLH blocks=Basic Latin,Cyrillic
8262  0x000a2e0f 0x100a3a0f 4   7    .text   utf8    ˍ8ՑE blocks=Spacing Modifier Letters,Basic Latin,Armenian
8263  0x000a2e62 0x100a3a62 4   5    .text   ascii   \bDHH
8264  0x000a2e78 0x100a3a78 4   5    .text   ascii   LD  
8265  0x000a2ee6 0x100a3ae6 4   5    .text   ascii   Am\t,
8266  0x000a2ef6 0x100a3af6 4   6    .text   utf8    Uϼ'U blocks=Basic Latin,Greek and Coptic
8267  0x000a2efc 0x100a3afc 4   5    .text   ascii   HLtA
8268  0x000a2f0d 0x100a3b0d 4   5    .text   ascii   \b$9}
8269  0x000a2ff5 0x100a3bf5 4   5    .text   ascii   AH;\b
8270  0x000a3084 0x100a3c84 5   6    .text   ascii   \EPA\b
8271  0x000a3091 0x100a3c91 5   6    .text   ascii   p5@HL
8272  0x000a30d6 0x100a3cd6 5   6    .text   ascii   HumU 
8273  0x000a30e9 0x100a3ce9 6   7    .text   ascii   HVHH{\n
8274  0x000a316b 0x100a3d6b 5   6    .text   ascii   _3@#H
8275  0x000a31c4 0x100a3dc4 4   5    .text   ascii   HHPH
8276  0x000a323c 0x100a3e3c 4   5    .text   ascii   $H|u
8277  0x000a3250 0x100a3e50 4   5    .text   ascii   IHH2
8278  0x000a325c 0x100a3e5c 6   7    .text   ascii   H$WHH3
8279  0x000a3263 0x100a3e63 5   6    .text   ascii   O"rH0
8280  0x000a3284 0x100a3e84 4   6    .text   utf8    A\t}ϐ blocks=Basic Latin,Greek and Coptic
8281  0x000a32b2 0x100a3eb2 4   5    .text   ascii   uHl\b
8282  0x000a32ed 0x100a3eed 4   5    .text   ascii   ;-DY
8283  0x000a332a 0x100a3f2a 5   7    .text   utf8    MHŃIH blocks=Basic Latin,Latin Extended-A
8284  0x000a33ab 0x100a3fab 4   5    .text   ascii   $ Hr
8285  0x000a33e9 0x100a3fe9 5   6    .text   ascii   \b'`\bs
8286  0x000a33f2 0x100a3ff2 4   5    .text   ascii   3Lp8
8287  0x000a3438 0x100a4038 5   6    .text   ascii   H;HHO
8288  0x000a3440 0x100a4040 5   6    .text   ascii   PIH\fH
8289  0x000a3498 0x100a4098 8   9    .text   ascii   L((H\v$2T
8290  0x000a34c9 0x100a40c9 4   5    .text   ascii   I\bL$
8291  0x000a3567 0x100a4167 4   5    .text   ascii   HDL`
8292  0x000a359a 0x100a419a 5   6    .text   ascii   (EFHL
8293  0x000a35b4 0x100a41b4 4   5    .text   ascii   3HDB
8294  0x000a35e9 0x100a41e9 4   5    .text   ascii   r|HH
8295  0x000a360e 0x100a420e 4   5    .text   ascii   $\bhH
8296  0x000a366b 0x100a426b 6   7    .text   ascii   \t$CHHD
8297  0x000a367a 0x100a427a 4   5    .text   ascii   A$fH
8298  0x000a3707 0x100a4307 5   6    .text   ascii   8+L[D
8299  0x000a370f 0x100a430f 10  14   .text   utf8    $.A㍃L\b t\rA blocks=Basic Latin,CJK Compatibility
8300  0x000a3734 0x100a4334 4   5    .text   ascii   LH\r$
8301  0x000a3757 0x100a4357 5   7    .text   utf8    HȃNHt blocks=Basic Latin,Latin Extended-B
8302  0x000a37ed 0x100a43ed 4   7    .text   utf8    ϋ̋L, blocks=Greek and Coptic,Combining Diacritical Marks,Basic Latin
8303  0x000a38a1 0x100a44a1 5   6    .text   ascii   IHHlM
8304  0x000a38e5 0x100a44e5 6   7    .text   ascii   $IDw \b
8305  0x000a38ec 0x100a44ec 4   5    .text   ascii    }E<
8306  0x000a3900 0x100a4500 4   5    .text   ascii   HR8H
8307  0x000a390d 0x100a450d 5   8    .text   utf8    IzHDD
8308  0x000a3923 0x100a4523 5   7    .text   utf8    O$̋mu blocks=Basic Latin,Combining Diacritical Marks
8309  0x000a39b8 0x100a45b8 4   5    .text   ascii   HHHH
8310  0x000a3ac8 0x100a46c8 5   7    .text   utf8    HӍlHA blocks=Basic Latin,Cyrillic
8311  0x000a3b64 0x100a4764 4   5    .text   ascii   PD|K
8312  0x000a3bbd 0x100a47bd 4   5    .text   ascii   8H D
8313  0x000a3bd8 0x100a47d8 4   5    .text   ascii   L|AI
8314  0x000a3cd0 0x100a48d0 5   6    .text   ascii   lHHHH
8315  0x000a3d9e 0x100a499e 4   5    .text   ascii   $lLo
8316  0x000a3dee 0x100a49ee 5   6    .text   ascii   M$D(H
8317  0x000a3e05 0x100a4a05 4   7    .text   utf8    A鐃cH blocks=Basic Latin,CJK Unified Ideographs
8318  0x000a3e6b 0x100a4a6b 6   8    .text   utf8    A_HLΉh blocks=Basic Latin,Greek and Coptic
8319  0x000a3e82 0x100a4a82 5   6    .text   ascii   (\n^HE
8320  0x000a3f07 0x100a4b07 4   5    .text   ascii   D\tAH
8321  0x000a3f6f 0x100a4b6f 4   5    .text   ascii   I0cH
8322  0x000a3f89 0x100a4b89 4   5    .text   ascii   DMLH
8323  0x000a3fac 0x100a4bac 9   10   .text   ascii   +DEHCa$Hu
8324  0x000a4047 0x100a4c47 5   7    .text   utf8    ,ωcGt blocks=Basic Latin,Greek and Coptic
8325  0x000a4056 0x100a4c56 4   5    .text   ascii   w E$
8326  0x000a4072 0x100a4c72 4   6    .text   utf8    ċHHR blocks=Latin Extended-A,Basic Latin
8327  0x000a4096 0x100a4c96 4   5    .text   ascii   O $}
8328  0x000a40ce 0x100a4cce 4   5    .text   ascii   \bu]H
8329  0x000a414f 0x100a4d4f 4   5    .text   ascii   \vHWs
8330  0x000a41d7 0x100a4dd7 4   6    .text   utf8    \f\bǕH blocks=Basic Latin,Latin Extended-B
8331  0x000a4234 0x100a4e34 4   5    .text   ascii   LL\aA
8332  0x000a42ba 0x100a4eba 4   5    .text   ascii   I$W8
8333  0x000a42e1 0x100a4ee1 5   7    .text   utf8     xǐ<  blocks=Basic Latin,Latin Extended-B
8334  0x000a4306 0x100a4f06 6   7    .text   ascii   #AH\vHH
8335  0x000a4344 0x100a4f44 5   6    .text   ascii   H\baC\e
8336  0x000a435e 0x100a4f5e 4   5    .text   ascii    \t]E
8337  0x000a4388 0x100a4f88 4   5    .text   ascii   HBut
8338  0x000a4470 0x100a5070 4   5    .text   ascii   J3HB
8339  0x000a448c 0x100a508c 4   5    .text   ascii   A03H
8340  0x000a451e 0x100a511e 4   5    .text   ascii   \f+\n 
8341  0x000a4554 0x100a5154 4   5    .text   ascii    =H 
8342  0x000a45c7 0x100a51c7 6   9    .text   utf8    H(ןĉH\a blocks=Basic Latin,Hebrew,Latin Extended-A
8343  0x000a4753 0x100a5353 4   5    .text   ascii   ArtH
