[Strings]
nth  paddr      vaddr      len  size section       type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
351  0x00039974 0x0043a574 4    6    .text         utf8    tGHǅ blocks=Basic Latin,Latin Extended-B
352  0x00039b02 0x0043a702 4    6    .text         utf8    tiHǅ blocks=Basic Latin,Latin Extended-B
353  0x00039edc 0x0043aadc 4    6    .text         utf8    u4Hǅ blocks=Basic Latin,Latin Extended-B
354  0x00039f1e 0x0043ab1e 4    6    .text         utf8    u4Hǅ blocks=Basic Latin,Latin Extended-B
355  0x00039f60 0x0043ab60 4    6    .text         utf8    u4Hǅ blocks=Basic Latin,Latin Extended-B
356  0x0003a080 0x0043ac80 4    6    .text         utf8    u|Hǅ blocks=Basic Latin,Latin Extended-B
357  0x0003a21d 0x0043ae1d 4    6    .text         utf8    u~Hǅ blocks=Basic Latin,Latin Extended-B
358  0x0003a792 0x0043b392 4    6    .text         utf8    U߈P\b blocks=Basic Latin,NKo
359  0x0003a9f8 0x0043b5f8 5    7    .text         utf8    tVHǅp blocks=Basic Latin,Latin Extended-B
360  0x0003b87d 0x0043c47d 4    5    .text         ascii   T$(H
361  0x0003b886 0x0043c486 4    5    .text         ascii   T$ I
362  0x0003ba5a 0x0043c65a 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
363  0x0003ba78 0x0043c678 5    7    .text         utf8    ExHǅx blocks=Basic Latin,Latin Extended-B
364  0x0003bac3 0x0043c6c3 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
365  0x0003bae1 0x0043c6e1 5    7    .text         utf8    ExHǅ` blocks=Basic Latin,Latin Extended-B
366  0x0003bc16 0x0043c816 5    7    .text         utf8    ExHǅX blocks=Basic Latin,Latin Extended-B
367  0x0003bcee 0x0043c8ee 5    7    .text         utf8    ExHǅH blocks=Basic Latin,Latin Extended-B
368  0x0003bea3 0x0043caa3 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
369  0x0003bec1 0x0043cac1 5    7    .text         utf8    ExHǅ8 blocks=Basic Latin,Latin Extended-B
370  0x0003bff6 0x0043cbf6 5    7    .text         utf8    ExHǅ0 blocks=Basic Latin,Latin Extended-B
371  0x0003c0ce 0x0043ccce 5    7    .text         utf8    ExHǅ  blocks=Basic Latin,Latin Extended-B
372  0x0003c282 0x0043ce82 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
373  0x0003c3d5 0x0043cfd5 4    6    .text         utf8    Exƅ\a blocks=Basic Latin,Latin Extended-B
374  0x0003c4b5 0x0043d0b5 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
375  0x0003c6ff 0x0043d2ff 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
376  0x0003c71d 0x0043d31d 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
377  0x0003c852 0x0043d452 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
378  0x0003c92a 0x0043d52a 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
379  0x0003cb15 0x0043d715 4    6    .text         utf8    ExHǅ blocks=Basic Latin,Latin Extended-B
380  0x0003e09c 0x0043ec9c 5    7    .text         utf8    P]ÐUH blocks=Basic Latin,Latin-1 Supplement
381  0x0003e108 0x0043ed08 4    5    .text         ascii   @"f=
382  0x0003e647 0x0043f247 5    6    .text         ascii   H+E(q
383  0x0003f245 0x0043fe45 5    6    .text         ascii   H+E(q
384  0x0003fc68 0x00440868 4    5    .text         ascii   @"f=
385  0x0003fe55 0x00440a55 5    6    .text         ascii   E(H;E
386  0x0003fe96 0x00440a96 4    5    .text         ascii   E\bH9
387  0x0004068b 0x0044128b 4    5    .text         ascii   U8H9
388  0x000406f3 0x004412f3 4    5    .text         ascii   E0H9
389  0x00040737 0x00441337 5    6    .text         ascii   <<t(H
390  0x0004075f 0x0044135f 4    5    .text         ascii   <^u\a
391  0x00040870 0x00441470 4    5    .text         ascii   E(H9
392  0x000409cf 0x004415cf 5    6    .text         ascii   <<t8H
393  0x00040a07 0x00441607 4    5    .text         ascii   <^u\a
394  0x00040bcb 0x004417cb 5    6    .text         ascii   <-t8H
395  0x00040c03 0x00441803 4    5    .text         ascii   < u\a
396  0x00040fed 0x00441bed 5    6    .text         ascii   </v\eH
397  0x00041001 0x00441c01 4    5    .text         ascii   <9w\a
398  0x000412e7 0x00441ee7 4    6    .text         utf8    EXHǅ blocks=Basic Latin,Latin Extended-B
399  0x000413d4 0x00441fd4 5    6    .text         ascii   <Zv8H
400  0x000413f0 0x00441ff0 5    6    .text         ascii   <`v#H
401  0x0004140c 0x0044200c 4    5    .text         ascii   <zw\a
402  0x000415f1 0x004421f1 4    6    .text         utf8    EXHǅ blocks=Basic Latin,Latin Extended-B
403  0x000418a6 0x004424a6 5    7    .text         utf8    u+Hǅp blocks=Basic Latin,Latin Extended-B
404  0x000419a2 0x004425a2 4    6    .text         utf8    +Hǅp blocks=Basic Latin,Latin Extended-B
405  0x0004218f 0x00442d8f 4    5    .text         ascii   @"f=
406  0x0004298e 0x0044358e 4    5    .text         ascii   @"f=
407  0x0004396b 0x0044456b 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
408  0x000439b9 0x004445b9 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
409  0x00043a07 0x00444607 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
410  0x00043a6e 0x0044466e 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
411  0x00043a97 0x00444697 4    6    .text         utf8    E8ƅ7 blocks=Basic Latin,Latin Extended-B
412  0x00043b89 0x00444789 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
413  0x00043bd4 0x004447d4 5    7    .text         utf8    E8Hǅ( blocks=Basic Latin,Latin Extended-B
414  0x00043c34 0x00444834 4    6    .text         utf8    E8ƅ\a blocks=Basic Latin,Latin Extended-B
415  0x00043dbb 0x004449bb 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
416  0x00043ea1 0x00444aa1 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
417  0x00043f5f 0x00444b5f 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
418  0x00044077 0x00444c77 4    6    .text         utf8    E8Hǅ blocks=Basic Latin,Latin Extended-B
419  0x000450c2 0x00445cc2 5    7    .text         utf8    tiHǅp blocks=Basic Latin,Latin Extended-B
420  0x000455b1 0x004461b1 5    7    .text         utf8    uuHǅp blocks=Basic Latin,Latin Extended-B
421  0x000459a5 0x004465a5 5    7    .text         utf8    tiHǅp blocks=Basic Latin,Latin Extended-B
422  0x00045bc8 0x004467c8 5    7    .text         utf8    uuHǅp blocks=Basic Latin,Latin Extended-B
423  0x00045fdc 0x00446bdc 4    5    .text         ascii   D$ L
424  0x000460d7 0x00446cd7 4    5    .text         ascii   D$ L
425  0x0004615c 0x00446d5c 4    5    .text         ascii   D$ L
426  0x00047891 0x00448491 4    5    .text         ascii   D$ L
427  0x0004797c 0x0044857c 4    5    .text         ascii   D$ L
428  0x00047a2f 0x0044862f 4    5    .text         ascii   D$ L
429  0x000486f7 0x004492f7 5    7    .text         utf8    t?Hǅ@ blocks=Basic Latin,Latin Extended-B
430  0x00048744 0x00449344 5    7    .text         utf8    t?Hǅ@ blocks=Basic Latin,Latin Extended-B
431  0x0004878a 0x0044938a 5    7    .text         utf8    tCHǅ@ blocks=Basic Latin,Latin Extended-B
432  0x00048c78 0x00449878 5    7    .text         utf8    uOHǅ  blocks=Basic Latin,Latin Extended-B
433  0x00049205 0x00449e05 5    7    .text         utf8    tVHǅp blocks=Basic Latin,Latin Extended-B
434  0x0004942b 0x0044a02b 5    7    .text         utf8    tbHǅp blocks=Basic Latin,Latin Extended-B
435  0x000496bf 0x0044a2bf 5    7    .text         utf8    u*HǅP blocks=Basic Latin,Latin Extended-B
436  0x00049a6f 0x0044a66f 5    7    .text         utf8    tiHǅP blocks=Basic Latin,Latin Extended-B
437  0x00049ca3 0x0044a8a3 5    7    .text         utf8    uuHǅP blocks=Basic Latin,Latin Extended-B
438  0x00049f05 0x0044ab05 4    6    .text         utf8    \bE H
439  0x0004a0b6 0x0044acb6 4    6    .text         utf8    \bE H
440  0x0004a4fc 0x0044b0fc 5    7    .text         utf8    t~HǅP blocks=Basic Latin,Latin Extended-B
441  0x0004ad5e 0x0044b95e 4    5    .text         ascii   T$ A
442  0x0004bc4a 0x0044c84a 5    6    .text         ascii   D$ tv
443  0x0004bc78 0x0044c878 4    5    .text         ascii   T$ H
444  0x0004bc80 0x0044c880 4    5    .text         ascii   D$(H
445  0x0004bc8f 0x0044c88f 4    5    .text         ascii   L$ H
446  0x0004bc9c 0x0044c89c 4    5    .text         ascii   L$(H
447  0x0004bdf0 0x0044c9f0 7    8    .text         ascii   ATUWVSH
448  0x0004be26 0x0044ca26 7    8    .text         ascii   @[^_]A\
449  0x0004be64 0x0044ca64 6    7    .text         ascii   H3|$0D
450  0x0004bea2 0x0044caa2 7    8    .text         ascii   @[^_]A\
451  0x0004bed0 0x0044cad0 4    5    .text         ascii   UVSH
452  0x0004bf1c 0x0044cb1c 4    5    .text         ascii   D$0H
453  0x0004bf25 0x0044cb25 4    5    .text         ascii   D$(H
454  0x0004bffd 0x0044cbfd 5    7    .text         utf8    (ÐVSH blocks=Basic Latin,Latin-1 Supplement
455  0x0004c09a 0x0044cc9a 4    5    .text         ascii   L$ H
456  0x0004c09f 0x0044cc9f 4    5    .text         ascii   L$ H
457  0x0004c0c1 0x0044ccc1 7    8    .text         ascii   ffffff.
458  0x0004c0e7 0x0044cce7 4    5    .text         ascii   )t$@
459  0x0004c0ec 0x0044ccec 5    6    .text         ascii   )|$PD
460  0x0004c0f2 0x0044ccf2 4    5    .text         ascii   )D$`
461  0x0004c135 0x0044cd35 4    5    .text         ascii   D$0I
462  0x0004c141 0x0044cd41 4    5    .text         ascii   |$(H
463  0x0004c14b 0x0044cd4b 4    5    .text         ascii   t$ H
464  0x0004c15c 0x0044cd5c 5    6    .text         ascii   (t$@1
465  0x0004c163 0x0044cd63 5    6    .text         ascii   (|$PD
466  0x0004c169 0x0044cd69 5    6    .text         ascii   (D$`H
467  0x0004c1e4 0x0044cde4 4    5    .text         ascii   fff.
468  0x0004c208 0x0044ce08 4    5    .text         ascii   D$XH
469  0x0004c210 0x0044ce10 4    5    .text         ascii   T$XL
470  0x0004c215 0x0044ce15 4    5    .text         ascii   D$`L
471  0x0004c21a 0x0044ce1a 4    5    .text         ascii   L$hH
472  0x0004c261 0x0044ce61 7    8    .text         ascii   ffffff.
473  0x0004c270 0x0044ce70 9    10   .text         ascii   AUATUWVSH
474  0x0004c303 0x0044cf03 4    5    .text         ascii   T$\fA
475  0x0004c31c 0x0044cf1c 4    5    .text         ascii   T$ H
476  0x0004c352 0x0044cf52 4    5    .text         ascii   T$8H
477  0x0004c357 0x0044cf57 4    5    .text         ascii   L$ I
478  0x0004c37a 0x0044cf7a 9    10   .text         ascii   X[^_]A\A]
479  0x0004c3b3 0x0044cfb3 4    5    .text         ascii   T$\bL
480  0x0004c3d0 0x0044cfd0 13   14   .text         ascii   UAWAVAUATWVSH
481  0x0004c3f6 0x0044cff6 12   13   .text         ascii   [^_A\A]A^A_]
482  0x0004c446 0x0044d046 4    5    .text         ascii   D$ H
483  0x0004c45f 0x0044d05f 4    5    .text         ascii   \v~.D
484  0x0004c6e2 0x0044d2e2 4    5    .text         ascii   s{=\b
485  0x0004c79c 0x0044d39c 4    6    .text         utf8    u@1ҹ blocks=Basic Latin,Cyrillic
486  0x0004c870 0x0044d470 7    8    .text         ascii   ATUWVSH
487  0x0004c8b4 0x0044d4b4 7    8    .text         ascii    [^_]A\
488  0x0004c920 0x0044d520 4    5    .text         ascii    t2H
489  0x0004c977 0x0044d577 4    5    .text         ascii   CCG 
490  0x0004c9b4 0x0044d5b4 5    7    .text         utf8    u?1ҹ\v blocks=Basic Latin,Cyrillic
491  0x0004cb40 0x0044d740 5    6    .text         ascii   UWVSH
492  0x0004cb9e 0x0044d79e 6    7    .text         ascii   ([^_]H
493  0x0004cbb0 0x0044d7b0 5    6    .text         ascii   UWVSH
494  0x0004cbce 0x0044d7ce 6    8    .text         utf8    ([^_]ú blocks=Basic Latin,Latin-1 Supplement
495  0x0004cc22 0x0044d822 6    8    .text         utf8    ([^_]þ blocks=Basic Latin,Latin-1 Supplement
496  0x0004cd8c 0x0044d98c 4    6    .text         utf8     [ÐH blocks=Basic Latin,Latin-1 Supplement
497  0x0004cdb0 0x0044d9b0 5    6    .text         ascii   HcA<H
498  0x0004cdd2 0x0044d9d2 6    7    .text         ascii   9MZt\t1
499  0x0004cde2 0x0044d9e2 6    7    .text         ascii   fffff.
500  0x0004cdf0 0x0044d9f0 5    6    .text         ascii   HcA<H
501  0x0004ce16 0x0044da16 4    5    .text         ascii   @\fI9
502  0x0004ce21 0x0044da21 4    5    .text         ascii   H\bH9
503  0x0004ce34 0x0044da34 4    5    .text         ascii   fff.
504  0x0004ce40 0x0044da40 4    5    .text         ascii   WVSH
505  0x0004ce52 0x0044da52 4    5    .text         ascii   \bwiH
506  0x0004ce60 0x0044da60 6    7    .text         ascii   :MZt\vH
507  0x0004ce6b 0x0044da6b 4    5    .text         ascii    [^_
508  0x0004ce7c 0x0044da7c 5    6    .text         ascii   HcB<H
509  0x0004cec6 0x0044dac6 4    5    .text         ascii    [^_
510  0x0004cee0 0x0044dae0 4    5    .text         ascii   9MZI
511  0x0004cefc 0x0044dafc 5    6    .text         ascii   IcA<L
512  0x0004cf32 0x0044db32 4    5    .text         ascii   B\fL9
513  0x0004cf3d 0x0044db3d 4    5    .text         ascii   B\bH9
514  0x0004cf70 0x0044db70 6    7    .text         ascii   :MZt\vD
515  0x0004cf8c 0x0044db8c 5    6    .text         ascii   HcB<D
516  0x0004cfb0 0x0044dbb0 4    5    .text         ascii   9MZI
517  0x0004cfcc 0x0044dbcc 5    6    .text         ascii   IcA<L
518  0x0004cff1 0x0044dbf1 6    7    .text         ascii   B' t\tM
519  0x0004d012 0x0044dc12 6    7    .text         ascii   fffff.
520  0x0004d030 0x0044dc30 6    7    .text         ascii   8MZt\vH
521  0x0004d070 0x0044dc70 4    5    .text         ascii   8MZH
522  0x0004d08c 0x0044dc8c 5    6    .text         ascii   Ic@<H
523  0x0004d0c2 0x0044dcc2 4    5    .text         ascii   @\fL9
524  0x0004d0cd 0x0044dccd 4    5    .text         ascii   P\bH9
525  0x0004d0e2 0x0044dce2 4    6    .text         utf8    (Ë@$ blocks=Basic Latin,Latin-1 Supplement
526  0x0004d0f1 0x0044dcf1 7    8    .text         ascii   ffffff.
527  0x0004d111 0x0044dd11 4    5    .text         ascii   ;MZA
528  0x0004d12d 0x0044dd2d 5    6    .text         ascii   IcK<L
529  0x0004d162 0x0044dd62 4    5    .text         ascii   J\fL9
530  0x0004d16d 0x0044dd6d 4    5    .text         ascii   J\bH9
531  0x0004d1d0 0x0044ddd0 4    5    .text         ascii   QPH=
532  0x0004d800 0x00450000 13   14   .rdata        ascii   libgcj-16.dll
533  0x0004d80e 0x0045000e 19   20   .rdata        ascii   _Jv_RegisterClasses
534  0x0004d838 0x00450038 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\arithmetics.nim
535  0x0004d8b0 0x004500b0 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\comparisons.nim
536  0x0004d921 0x00450121 9    10   .rdata        ascii   rtlAddZCT
537  0x0004d930 0x00450130 103  104  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\gc.nim
538  0x0004d998 0x00450198 6    7    .rdata        ascii   decRef
539  0x0004d99f 0x0045019f 9    10   .rdata        ascii   usrToCell
540  0x0004d9a9 0x004501a9 17   18   .rdata        ascii   nimGCunrefNoCycle
541  0x0004d9bb 0x004501bb 8    9    .rdata        ascii   sysFatal
542  0x0004d9c8 0x004501c8 106  107  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\fatal.nim
543  0x0004da33 0x00450233 14   15   .rdata        ascii   AssertionError
544  0x0004da42 0x00450242 11   12   .rdata        ascii   raiseAssert
545  0x0004da50 0x00450250 111  112  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\assertions.nim
546  0x0004dac0 0x004502c0 16   17   .rdata        ascii   failedAssertImpl
547  0x0004dba0 0x004503a0 108  109  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\dollars.nim
548  0x0004dc0d 0x0045040d 18   19   .rdata        ascii   collectionToString
549  0x0004dc20 0x00450420 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators.nim
550  0x0004dc90 0x00450490 14   15   .rdata        ascii   newWideCString
551  0x0004dca0 0x004504a0 109  110  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\widestrs.nim
552  0x0004dd2f 0x0045052f 9    10   .rdata        ascii   @kernel32
553  0x0004dd4f 0x0045054f 9    10   .rdata        ascii   @kernel32
554  0x0004dd6f 0x0045056f 28   29   .rdata        ascii   @cannot write string to file
555  0x0004dddf 0x004505df 4    5    .rdata        ascii   @w+b
556  0x0004ddff 0x004505ff 4    5    .rdata        ascii   @r+b
557  0x0004de7f 0x0045067f 8    9    .rdata        ascii   @errno: 
558  0x0004ded0 0x004506d0 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\arithmetics.nim
559  0x0004df48 0x00450748 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\comparisons.nim
560  0x0004dfb9 0x004507b9 9    10   .rdata        ascii   rtlAddZCT
561  0x0004dfc8 0x004507c8 103  104  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\gc.nim
562  0x0004e030 0x00450830 6    7    .rdata        ascii   decRef
563  0x0004e037 0x00450837 9    10   .rdata        ascii   usrToCell
564  0x0004e041 0x00450841 17   18   .rdata        ascii   nimGCunrefNoCycle
565  0x0004e056 0x00450856 6    7    .rdata        ascii   incRef
566  0x0004e05d 0x0045085d 7    8    .rdata        ascii   asgnRef
567  0x0004e065 0x00450865 8    9    .rdata        ascii   raiseEIO
568  0x0004e070 0x00450870 103  104  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\io.nim
569  0x0004e0d8 0x004508d8 7    8    .rdata        ascii   IOError
570  0x0004e0e3 0x004508e3 11   12   .rdata        ascii   echoBinSafe
571  0x0004e0f0 0x004508f0 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators.nim
572  0x0004e161 0x00450961 5    6    .rdata        ascii   fopen
573  0x0004e167 0x00450967 4    5    .rdata        ascii   open
574  0x0004e16c 0x0045096c 5    6    .rdata        ascii   close
575  0x0004e172 0x00450972 8    9    .rdata        ascii   checkErr
576  0x0004e17e 0x0045097e 18   19   .rdata        ascii   SetConsoleOutputCP
577  0x0004e191 0x00450991 12   13   .rdata        ascii   SetConsoleCP
578  0x0004e1af 0x004509af 30   31   .rdata        ascii   @No stack traceback available\n
579  0x0004e260 0x00450a60 129  130  .rdata        ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a"
580  0x0004e2ef 0x00450aef 35   36   .rdata        ascii   @Traceback (most recent call last)\n
581  0x0004e34f 0x00450b4f 21   22   .rdata        ascii   @ calls omitted) ...\n
582  0x0004e3af 0x00450baf 19   20   .rdata        ascii   @over- or underflow
583  0x0004e42f 0x00450c2f 18   19   .rdata        ascii   @[[reraised from:\n
584  0x0004e45f 0x00450c5f 4    5    .rdata        ascii   @]]\n
585  0x0004e48f 0x00450c8f 29   30   .rdata        ascii   @Error: unhandled exception: 
586  0x0004e50f 0x00450d0f 24   25   .rdata        ascii   @no exception to reraise
