[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a8 0x000000a8 5   6            ascii   RichD
3    0x000001c0 0x000001c0 5   6            ascii   .text
4    0x000001e7 0x000001e7 6   7            ascii   `.rsrc
5    0x00001010 0x00001010 4   5            ascii   E\fPV
6    0x0000101e 0x0000101e 6   8            utf8    ^]ËE\b] blocks=Basic Latin,Latin-1 Supplement
7    0x0000105a 0x0000105a 5   7            utf8    \a\vʊP\v blocks=Basic Latin,IPA Extensions
8    0x000010ab 0x000010ab 5   7            utf8    \a\vʊP\a blocks=Basic Latin,IPA Extensions
9    0x00001100 0x00001100 4   6            utf8    \a\vʊP blocks=Basic Latin,IPA Extensions
10   0x0000117c 0x0000117c 5   6            ascii   >'{CU
11   0x0000119f 0x0000119f 4   5            ascii   I\fSW
12   0x000011d7 0x000011d7 6   7            ascii   1N\b1V\f
654  0x0000e7ff 0x0040e5ff 4   7    .text   utf8    ۉE߈E blocks=Arabic,Basic Latin,NKo
655  0x0000e893 0x0040e693 4   5    .text   ascii   M\bPj
656  0x0000e8c5 0x0040e6c5 4   5    .text   ascii   U\bQj
657  0x0000e8d5 0x0040e6d5 4   5    .text   ascii    _^3
658  0x0000e90a 0x0040e70a 4   5    .text   ascii   guid
659  0x0000e943 0x0040e743 4   5    .text   ascii   host
660  0x0000e94a 0x0040e74a 4   5    .text   ascii   name
661  0x0000e96b 0x0040e76b 4   5    .text   ascii   http
662  0x0000e972 0x0040e772 5   6    .text   ascii   Realf
663  0x0000e983 0x0040e783 5   8    .text   utf8    EƉEʉE blocks=Basic Latin,Latin Extended-B,IPA Extensions
664  0x0000e9bc 0x0040e7bc 4   6    .text   utf8    QSƅp blocks=Basic Latin,Latin Extended-B
665  0x0000eaa2 0x0040e8a2 4   5    .text   ascii   M\bPj
666  0x0000eb00 0x0040e900 4   5    .text   ascii   U\bQj
667  0x0000eb15 0x0040e915 6   7    .text   ascii   U\bPWQR
668  0x0000eb5e 0x0040e95e 4   5    .text   ascii   @PQV
669  0x0000eb6a 0x0040e96a 4   5    .text   ascii   E\bRj
670  0x0000eb7f 0x0040e97f 6   7    .text   ascii   E\bQWRP
671  0x0000ebab 0x0040e9ab 4   5    .text   ascii   E\bRP
672  0x0000ebd8 0x0040e9d8 4   5    .text   ascii   ]\bV3
673  0x0000ebea 0x0040e9ea 4   5    .text   ascii   \r\nUR
674  0x0000ec33 0x0040ea33 5   8    .text   utf8    EIEŉE blocks=Basic Latin,Latin Extended-A
675  0x0000ec7f 0x0040ea7f 4   5    .text   ascii   ~hWS
676  0x0000ec8c 0x0040ea8c 5   6    .text   ascii   >2u\ej
677  0x0000ec9e 0x0040ea9e 5   6    .text   ascii   DFhPS
678  0x0000ed00 0x0040eb00 4   7    .text   utf8    U\fR舼 blocks=Basic Latin,CJK Unified Ideographs
679  0x0000ed64 0x0040eb64 5   6    .text   ascii   FHPQS
680  0x0000ee14 0x0040ec14 4   5    .text   ascii   RVPS
681  0x0000ee63 0x0040ec63 7   11   .text   utf8    EщEՉEىE blocks=Basic Latin,Cyrillic,Armenian,Arabic
682  0x0000ef97 0x0040ed97 5   6    .text   ascii   TChRW
683  0x0000f01c 0x0040ee1c 4   5    .text   ascii   DShP
684  0x0000f070 0x0040ee70 4   7    .text   utf8    O Q訸 blocks=Basic Latin,CJK Unified Ideographs
685  0x0000f07d 0x0040ee7d 5   6    .text   ascii   u\a_^[
686  0x0000f0c0 0x0040eec0 4   7    .text   utf8    QRW託 blocks=Basic Latin,CJK Unified Ideographs
687  0x0000f102 0x0040ef02 5   6    .text   ascii   E\fSPW
688  0x0000f18d 0x0040ef8d 4   5    .text   ascii   ffOU
689  0x0000f195 0x0040ef95 4   5    .text   ascii   pVW3
690  0x0000f282 0x0040f082 4   5    .text   ascii   \fhts
691  0x0000f2e6 0x0040f0e6 4   7    .text   utf8    \fVW蒳 blocks=Basic Latin,CJK Unified Ideographs
692  0x0000f305 0x0040f105 4   7    .text   utf8    u\bV胶 blocks=Basic Latin,CJK Unified Ideographs
693  0x0000f356 0x0040f156 4   6    .text   utf8    F^]å blocks=Basic Latin,Latin-1 Supplement
694  0x0000f365 0x0040f165 4   5    .text   ascii   u\bWV
695  0x0000f3ba 0x0040f1ba 4   5    .text   ascii   \f_^]
696  0x0000f3fd 0x0040f1fd 4   7    .text   utf8    SQW蛶 blocks=Basic Latin,CJK Unified Ideographs
697  0x0000f469 0x0040f269 4   5    .text   ascii   SVW3
698  0x0000f4c1 0x0040f2c1 4   5    .text   ascii   ~dra
699  0x0000f4c8 0x0040f2c8 4   5    .text   ascii   Gon~
700  0x0000f4d3 0x0040f2d3 4   5    .text   ascii   ~F@7
701  0x0000f4ea 0x0040f2ea 5   6    .text   ascii   %m$~<
702  0x0000f501 0x0040f301 4   5    .text   ascii   U\fR3
703  0x0000f567 0x0040f367 11  12   .text   ascii   ><0r?<Fw;<@
704  0x0000f594 0x0040f394 4   6    .text   utf8    Ȉ\nBW blocks=Latin Extended-B,Basic Latin
705  0x0000f6a0 0x0040f4a0 5   7    .text   utf8    v'3\rO
706  0x0000f80d 0x0040f60d 5   6    .text   ascii   u\vj\bV
707  0x0000f819 0x0040f619 4   5    .text   ascii   \b_^[
708  0x0000f827 0x0040f627 4   5    .text   ascii   Dlg\f
709  0x0000f839 0x0040f639 4   5    .text   ascii   SVWh
710  0x0000f87c 0x0040f67c 8   10   .text   utf8    ]\f3\v}\bPj
711  0x0000f886 0x0040f686 4   6    .text   utf8    SWǅt blocks=Basic Latin,Latin Extended-B
712  0x0000f88e 0x0040f68e 6   8    .text   utf8    Accoǅx blocks=Basic Latin,Latin Extended-B
713  0x0000f8b4 0x0040f6b4 4   5    .text   ascii   Pass
714  0x0000f8bb 0x0040f6bb 4   5    .text   ascii   word
715  0x0000f8db 0x0040f6db 4   5    .text   ascii   POP3
716  0x0000f8e2 0x0040f6e2 4   5    .text   ascii   Acco
717  0x0000f8ee 0x0040f6ee 9   14   .text   utf8    E\tEĉEȉẺE blocks=Basic Latin,Latin Extended-A,Latin Extended-B,Combining Diacritical Marks
718  0x0000f8ff 0x0040f6ff 4   5    .text   ascii   POP3
719  0x0000f906 0x0040f706 4   5    .text   ascii   Pass
720  0x0000f90d 0x0040f70d 4   5    .text   ascii   word
721  0x0000f968 0x0040f768 4   5    .text   ascii   \b_^[
722  0x0000fad2 0x0040f8d2 4   5    .text   ascii   t\nQS
723  0x0000faec 0x0040f8ec 4   7    .text   utf8    u\bV茫 blocks=Basic Latin,CJK Unified Ideographs
724  0x0000fb1b 0x0040f91b 4   5    .text   ascii   SVW3
725  0x0000fc35 0x0040fa35 4   5    .text   ascii   t"f9
726  0x0000fdf4 0x0040fbf4 4   5    .text   ascii    _^[
727  0x0000fef1 0x0040fcf1 4   5    .text   ascii   U\fVR
728  0x0000ff17 0x0040fd17 5   7    .text   utf8    ]ënEO blocks=Basic Latin,Latin-1 Supplement
729  0x0000ff29 0x0040fd29 5   6    .text   ascii   SVWhL
730  0x0000ffa0 0x0040fda0 6   8    .text   utf8    @hhBحj blocks=Basic Latin,Arabic
731  0x000101ba 0x0040ffba 5   7    .text   utf8    3\vu\bj
732  0x00010355 0x00410155 4   5    .text   ascii   )t\a3
733  0x000104ed 0x004102ed 4   7    .text   utf8    }\fW蛤 blocks=Basic Latin,CJK Unified Ideographs
734  0x000105ef 0x004103ef 4   7    .text   utf8    j#V虣 blocks=Basic Latin,CJK Unified Ideographs
735  0x000105fc 0x004103fc 4   7    .text   utf8    FPW輜 blocks=Basic Latin,CJK Unified Ideographs
736  0x000106a2 0x004104a2 5   8    .text   utf8    E\tEĸC blocks=Basic Latin,Latin Extended-A
737  0x0001070a 0x0041050a 4   5    .text   ascii   \r\nUR
738  0x000107dc 0x004105dc 4   7    .text   utf8    F@P輞 blocks=Basic Latin,CJK Unified Ideographs
739  0x000107ec 0x004105ec 4   5    .text   ascii   N`QW
740  0x00010a05 0x00410805 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
741  0x00010a59 0x00410859 4   6    .text   utf8    ؇SWA blocks=Arabic,Basic Latin
742  0x00010a7e 0x0041087e 5   9    .text   utf8    3ۉEӉE blocks=Basic Latin,Arabic,Cyrillic
743  0x00010a87 0x00410887 5   8    .text   utf8    EۉE߉E blocks=Basic Latin,Arabic,NKo
744  0x00010ae3 0x004108e3 8   9    .text   ascii   U\bPSWQVR
745  0x00010b20 0x00410920 4   5    .text   ascii   M\bPQ
746  0x00010b30 0x00410930 4   5    .text   ascii   E\bRj
747  0x00010b5c 0x0041095c 7   8    .text   ascii   E\bRSSVP
748  0x00010b6a 0x0041096a 4   5    .text   ascii    _^3
749  0x00010bb7 0x004109b7 4   5    .text   ascii   M\bSj
750  0x00010bf9 0x004109f9 4   5    .text   ascii   E\bSj
751  0x00010c10 0x00410a10 5   8    .text   utf8    @PWV臚 blocks=Basic Latin,CJK Unified Ideographs
752  0x00010c32 0x00410a32 8   9    .text   ascii   E$SQRPVW
753  0x00010c41 0x00410a41 5   6    .text   ascii   ,_^[]
754  0x00010d0b 0x00410b0b 4   5    .text   ascii   u4_3
755  0x00010f1a 0x00410d1a 5   8    .text   utf8    ^hSW蝓 blocks=Basic Latin,CJK Unified Ideographs
756  0x00010fbd 0x00410dbd 4   6    .text   utf8    ؋F8j blocks=Arabic,Basic Latin
757  0x000110d2 0x00410ed2 4   7    .text   utf8    j#Q趘 blocks=Basic Latin,CJK Unified Ideographs
758  0x00011114 0x00410f14 4   5    .text   ascii   t=_3
759  0x00011149 0x00410f49 4   5    .text   ascii   t\b_3
760  0x00011166 0x00410f66 4   5    .text   ascii   VHRj
761  0x00011195 0x00410f95 4   5    .text   ascii   \b^_3
762  0x000111b2 0x00410fb2 4   5    .text   ascii   \b^_3
763  0x000111d0 0x00410fd0 4   5    .text   ascii   F(PS
764  0x00011389 0x00411189 4   7    .text   utf8    ۈE߹e blocks=Arabic,Basic Latin,NKo
765  0x00011409 0x00411209 4   5    .text   ascii   encr
766  0x00011410 0x00411210 4   5    .text   ascii   ypte
767  0x00011417 0x00411217 5   6    .text   ascii   d_kef
768  0x000114d1 0x004112d1 4   6    .text   utf8    U\r|\a
769  0x000114e7 0x004112e7 4   7    .text   utf8    t'W联 blocks=Basic Latin,CJK Unified Ideographs
770  0x000115a0 0x004113a0 4   5    .text   ascii   s\b^3
771  0x000115b4 0x004113b4 6   7    .text   ascii   PSSSSS
772  0x00011631 0x00411431 4   7    .text   utf8    E݈E߈ blocks=Basic Latin,Syriac,NKo
773  0x00011715 0x00411515 4   5    .text   ascii    SVW
774  0x0001173f 0x0041153f 4   5    .text   ascii   RSSh
775  0x00011749 0x00411549 5   7    .text   utf8    ыu\fSV blocks=Cyrillic,Basic Latin
776  0x00011836 0x00411636 6   9    .text   utf8    ]ÚÑz1a blocks=Basic Latin,Latin-1 Supplement
777  0x0001184a 0x0041164a 4   5    .text   ascii   H\bVW
778  0x0001189c 0x0041169c 7   11   .text   utf8    E։EډEމE blocks=Basic Latin,Armenian,Arabic,Thaana
779  0x000118e0 0x004116e0 5   8    .text   utf8    EĉEƉE blocks=Basic Latin,Latin Extended-A,Latin Extended-B
780  0x00011b14 0x00411914 5   7    .text   utf8    ]çKc= blocks=Basic Latin,Latin-1 Supplement
781  0x00011b29 0x00411929 4   5    .text   ascii   SVW3
782  0x00011b51 0x00411951 7   8    .text   ascii   tgf9>tb
783  0x00011bd3 0x004119d3 4   5    .text   ascii   zPSQ
784  0x00011be9 0x004119e9 7   9    .text   utf8    ]ÙK\a\fDU blocks=Basic Latin,Latin-1 Supplement
785  0x00011c1e 0x00411a1e 4   5    .text   ascii   @J7<
786  0x00011c8e 0x00411a8e 5   6    .text   ascii   t:j?P
787  0x00011d09 0x00411b09 4   5    .text   ascii   SVj?
788  0x00011d46 0x00411b46 4   5    .text   ascii   WhrK
789  0x00011d7f 0x00411b7f 6   7    .text   ascii   h2N Hj
790  0x00011df2 0x00411bf2 5   6    .text   ascii   E\bjMP
791  0x00011e87 0x00411c87 4   5    .text   ascii   G$t@
792  0x00011ebd 0x00411cbd 4   5    .text   ascii   t\f_^
793  0x00011f64 0x00411d64 4   6    .text   utf8    SRǅx blocks=Basic Latin,Latin Extended-B
794  0x00012131 0x00411f31 4   5    .text   ascii   \b_^3
795  0x000121ee 0x00411fee 4   5    .text   ascii   \b_^3
796  0x00012204 0x00412004 4   5    .text   ascii   E\bh$
797  0x00012367 0x00412167 4   5    .text   ascii   Qj\bj
798  0x000123a9 0x004121a9 4   5    .text   ascii   Pj\bj
799  0x0001246f 0x0041226f 5   8    .text   utf8    EԉE։E blocks=Basic Latin,Cyrillic Supplement,Armenian
800  0x0001250b 0x0041230b 4   6    .text   utf8    Qǆ\f\n blocks=Basic Latin,Latin Extended-B
801  0x00012868 0x00412668 8   10   .text   utf8    r'֓qHc_U blocks=Basic Latin,Hebrew
802  0x00012879 0x00412679 5   6    .text   ascii   SVWj?
803  0x00012a5a 0x0041285a 4   5    .text   ascii   PQRW
804  0x00012a93 0x00412893 7   9    .text   utf8    U̵}GwqS blocks=Basic Latin,Combining Diacritical Marks
805  0x00012ab5 0x004128b5 5   6    .text   ascii   SVWj?
806  0x00012af3 0x004128f3 5   6    .text   ascii   tMjMS
807  0x00012b16 0x00412916 4   9    .text   utf16le jjjj
808  0x00012b2b 0x0041292b 5   6    .text   ascii   M\fRPQ
809  0x00012b49 0x00412949 4   6    .text   utf8    ̳EnJ blocks=Combining Diacritical Marks,Basic Latin
810  0x00012b5d 0x0041295d 4   5    .text   ascii   Wj,P
811  0x00012cf5 0x00412af5 4   6    .text   utf8    PǇ\f\n blocks=Basic Latin,Latin Extended-B
812  0x00012dcf 0x00412bcf 5   7    .text   utf8    EƋF\bf blocks=Basic Latin,Latin Extended-B
813  0x00012e5f 0x00412c5f 4   5    .text   ascii   Rj j
814  0x00012edd 0x00412cdd 4   5    .text   ascii   \fB@;
815  0x00012f3b 0x00412d3b 6   7    .text   ascii   m\t\fr#U
816  0x00012f83 0x00412d83 5   6    .text   ascii   PWWQV
817  0x00013045 0x00412e45 4   5    .text   ascii   QRRf
818  0x0001310f 0x00412f0f 4   6    .text   utf8    Pǆ\f\n blocks=Basic Latin,Latin Extended-B
819  0x000131cb 0x00412fcb 5   6    .text   ascii   PWQRV
820  0x000132f6 0x004130f6 4   5    .text   ascii   t>hV
821  0x0001349b 0x0041329b 4   5    .text   ascii   u"hV
822  0x000134b4 0x004132b4 5   6    .text   ascii   u\t_^3
823  0x000134f8 0x004132f8 4   5    .text   ascii   ]\fV3
824  0x000134ff 0x004132ff 4   5    .text   ascii   u\b^3
825  0x00013532 0x00413332 4   7    .text   utf8    ˉMԹ\b blocks=Spacing Modifier Letters,Basic Latin,Armenian
826  0x00013554 0x00413354 4   5    .text   ascii   }\bQW
827  0x0001361c 0x0041341c 7   9    .text   utf8    rҋ]\fG;} blocks=Basic Latin,Cyrillic
828  0x0001365d 0x0041345d 4   6    .text   utf8    ȍU\fR blocks=Latin Extended-B,Basic Latin
829  0x00013669 0x00413469 4   5    .text   ascii   M\bPQ
830  0x000136a2 0x004134a2 4   6    .text   utf8    MM\fQ
831  0x000136ae 0x004134ae 5   8    .text   utf8    E\bRP詂 blocks=Basic Latin,CJK Unified Ideographs
832  0x00013816 0x00413616 4   6    .text   utf8    ^]Â% blocks=Basic Latin,Latin-1 Supplement
833  0x0001382b 0x0041362b 4   5    .text   ascii   u\fWj
834  0x0001383c 0x0041363c 5   6    .text   ascii   N\fQRS
835  0x0001384d 0x0041364d 6   8    .text   utf8    _^[]ËF blocks=Basic Latin,Latin-1 Supplement
836  0x000138ed 0x004136ed 4   5    .text   ascii   PQRW
837  0x0001393c 0x0041373c 4   5    .text   ascii   QRPW
838  0x00013957 0x00413757 4   5    .text   ascii   \b[_3
839  0x00013974 0x00413774 4   5    .text   ascii   \b[_^
840  0x00013991 0x00413791 5   6    .text   ascii   v3[_3
841  0x00013a10 0x00413810 4   5    .text   ascii   \b[_3
842  0x00013a6b 0x0041386b 4   5    .text   ascii   QRPS
843  0x00013aa5 0x004138a5 4   5    .text   ascii   QRPS
844  0x00013b40 0x00413940 4   5    .text   ascii   QRPV
845  0x00013b95 0x00413995 6   7    .text   ascii   u\bj\th\b
846  0x00013ba4 0x004139a4 4   5    .text   ascii   QRPV
847  0x00013c45 0x00413a45 4   5    .text   ascii   PSQV
848  0x00013c62 0x00413a62 4   5    .text   ascii   \b_^3
849  0x00013ca9 0x00413aa9 7   8    .text   ascii   PSRRRQV
850  0x00013d18 0x00413b18 4   5    .text   ascii   0_^[
851  0x00013d4b 0x00413b4b 7   8    .text   ascii   PSRRRQV
852  0x00013d8f 0x00413b8f 6   7    .text   ascii   SRRRQV
853  0x00013ea1 0x00413ca1 4   5    .text   ascii   \rQSj
854  0x00013ebf 0x00413cbf 4   5    .text   ascii   0_^[
855  0x00013ec7 0x00413cc7 5   6    .text   ascii   .8\aH'
856  0x00013ecd 0x00413ccd 4   5    .text   ascii   VX@U
857  0x00013fac 0x00413dac 4   5    .text   ascii   M\fWW
858  0x00013fbb 0x00413dbb 4   5    .text   ascii   }\bQW
859  0x000140f2 0x00413ef2 4   5    .text   ascii   \b^[_
860  0x0001410f 0x00413f0f 4   5    .text   ascii   \f^[_
861  0x0001414a 0x00413f4a 5   6    .text   ascii   u}Vj(
862  0x0001420a 0x0041400a 4   6    .text   utf8    ]ò\f^ blocks=Basic Latin,Latin-1 Supplement
863  0x000142b7 0x004140b7 4   5    .text   ascii   ;E\b_
864  0x000142e3 0x004140e3 4   5    .text   ascii   u\f9U
865  0x000142ef 0x004140ef 4   6    .text   utf8    ]ËG< blocks=Basic Latin,Latin-1 Supplement
866  0x000142ff 0x004140ff 4   5    .text   ascii   <8PE
867  0x00014367 0x00414167 5   6    .text   ascii   u\rC;^
868  0x000143c7 0x004141c7 5   6    .text   ascii   u\rC;^
869  0x00014476 0x00414276 5   6    .text   ascii   ]\fj.S
870  0x00014554 0x00414354 4   5    .text   ascii   RCSP
871  0x00014578 0x00414378 4   5    .text   ascii   <0PE
872  0x000145db 0x004143db 5   6    .text   ascii   u\rC;_
873  0x0001464a 0x0041444a 4   5    .text   ascii   VQPR
874  0x00014677 0x00414477 4   5    .text   ascii   <0PE
875  0x000146ee 0x004144ee 4   5    .text   ascii   E\f;G
876  0x0001475e 0x0041455e 5   6    .text   ascii   }\bPQW
877  0x000147b7 0x004145b7 4   5    .text   ascii   h54\v
878  0x00014816 0x00414616 6   7    .text   ascii   u\bWjqV
879  0x00014865 0x00414665 6   7    .text   ascii   Wj\bjsP
880  0x00014875 0x00414675 4   6    .text   utf8    t Wǆ blocks=Basic Latin,Latin Extended-B
881  0x000148ca 0x004146ca 4   5    .text   ascii   \b[_3
882  0x00014995 0x00414795 5   7    .text   utf8    _^]Òd blocks=Basic Latin,Latin-1 Supplement
883  0x000149a5 0x004147a5 4   6    .text   utf8    \b3\tE
884  0x000149af 0x004147af 5   6    .text   ascii   E\bVW<
885  0x00014a55 0x00414855 5   6    .text   ascii   U\fPQR
886  0x00014a68 0x00414868 4   5    .text   ascii   <\fu+
887  0x00014aa6 0x004148a6 5   6    .text   ascii   M\fRPQ
888  0x00014adc 0x004148dc 5   6    .text   ascii   E\fQRP
889  0x00014afe 0x004148fe 5   6    .text   ascii   M\fRPQ
890  0x00014b20 0x00414920 5   6    .text   ascii   U\fPQR
891  0x00014b4e 0x0041494e 5   6    .text   ascii   E\fQRP
892  0x00014bd1 0x004149d1 5   6    .text   ascii   S<fup
893  0x00014c18 0x00414a18 5   6    .text   ascii   t\n[@_
894  0x00014c46 0x00414a46 4   5    .text   ascii   <hu-
895  0x00014c77 0x00414a77 4   5    .text   ascii   <iuD
896  0x00014cb6 0x00414ab6 5   6    .text   ascii   \a\n[_^
897  0x00014cbf 0x00414abf 4   5    .text   ascii   <ju@
898  0x00014d03 0x00414b03 4   5    .text   ascii   <kuH
899  0x00014d46 0x00414b46 5   6    .text   ascii   \a\a[_^
900  0x00014d7d 0x00414b7d 4   5    .text   ascii   \a[_^
901  0x00014def 0x00414bef 4   6    .text   utf8    ]ÍP| blocks=Basic Latin,Latin-1 Supplement
902  0x00014e04 0x00414c04 5   6    .text   ascii   E\fQRP
903  0x00014e43 0x00414c43 5   6    .text   ascii   E\fQRP
904  0x00014e55 0x00414c55 4   6    .text   utf8    ]ÍH\ blocks=Basic Latin,Latin-1 Supplement
905  0x00014e6a 0x00414c6a 5   6    .text   ascii   U\fPQR
906  0x00014edd 0x00414cdd 4   6    .text   utf8    ]ÍPV blocks=Basic Latin,Latin-1 Supplement
907  0x00014ef2 0x00414cf2 5   6    .text   ascii   E\fQRP
908  0x00014f04 0x00414d04 4   6    .text   utf8    ]ÍHP blocks=Basic Latin,Latin-1 Supplement
909  0x00014f19 0x00414d19 5   6    .text   ascii   U\fPQR
910  0x00014f2b 0x00414d2b 4   6    .text   utf8    ]ÍHH blocks=Basic Latin,Latin-1 Supplement
911  0x00014f40 0x00414d40 5   6    .text   ascii   U\fPQR
912  0x00014f7d 0x00414d7d 4   5    .text   ascii   \a[_^
913  0x00014fae 0x00414dae 4   5    .text   ascii   \a[_^
914  0x00015176 0x00414f76 4   5    .text   ascii   ?Uuy
915  0x00015182 0x00414f82 4   5    .text   ascii   ]\bV3
916  0x000151bf 0x00414fbf 4   5    .text   ascii   %,p<
917  0x000151d6 0x00414fd6 4   5    .text   ascii   RWSP
918  0x00015253 0x00415053 4   5    .text   ascii   Sn0o
919  0x000152aa 0x004150aa 7   9    .text   utf8    }0&ߡp8? blocks=Basic Latin,NKo
920  0x000152b8 0x004150b8 5   6    .text   ascii   /Js] 
921  0x000152c9 0x004150c9 5   7    .text   utf8    ́<:O= blocks=Combining Diacritical Marks,Basic Latin
922  0x000152d2 0x004150d2 4   5    .text   ascii   "E(.
923  0x000152df 0x004150df 10  11   .text   ascii   |BI1jE\r7'u
924  0x000152ef 0x004150ef 6   7    .text   ascii   EQKdKn
925  0x00015313 0x00415113 10  11   .text   ascii   CcGM}H)kGt
926  0x00015350 0x00415150 4   5    .text   ascii   Jzl=
927  0x0001537d 0x0041517d 10  11   .text   ascii   WEO~AASYO>
928  0x000153ab 0x004151ab 7   8    .text   ascii   QYue:Bj
929  0x0001543d 0x0041523d 4   7    .text   utf8    Ԓ-Ǿ! blocks=Cyrillic Supplement,Basic Latin,Latin Extended-B
930  0x00015475 0x00415275 7   8    .text   ascii   3pq`\r0;
931  0x000154d9 0x004152d9 5   6    .text   ascii   x=Xw,
932  0x000154f0 0x004152f0 4   7    .text   utf8    \rMC blocks=Basic Latin,Private Use Area
933  0x00015505 0x00415305 4   5    .text   ascii   sci\n
934  0x00015522 0x00415322 4   5    .text   ascii   2g+>
935  0x00015533 0x00415333 4   6    .text   utf8    Drǀ7 blocks=Basic Latin,Latin Extended-B
936  0x00015581 0x00415381 4   6    .text   utf8    [ѦM} blocks=Basic Latin,Cyrillic
937  0x00015589 0x00415389 5   7    .text   utf8    0\rpܜ% blocks=Basic Latin,Syriac
938  0x000155ee 0x004153ee 5   6    .text   ascii   *q^^K
939  0x00015605 0x00415405 5   6    .text   ascii   hc9%N
940  0x0001561a 0x0041541a 5   6    .text   ascii   \a:`J
941  0x0001562e 0x0041542e 4   5    .text   ascii   ba\rP
942  0x00015634 0x00415434 4   5    .text   ascii   1FX+
943  0x0001564e 0x0041544e 4   7    .text   utf8    #|ߓʴ blocks=Basic Latin,NKo,Spacing Modifier Letters
944  0x00015688 0x00415488 5   7    .text   utf8    %/ܠ=) blocks=Basic Latin,Syriac
945  0x000156ab 0x004154ab 6   7    .text   ascii   j3v4s?
946  0x000156c2 0x004154c2 4   6    .text   utf8    K\t7{
947  0x0001570e 0x0041550e 4   5    .text   ascii   1__+
948  0x0001571a 0x0041551a 5   6    .text   ascii   DJ3I1
949  0x00015842 0x00415642 4   5    .text   ascii   *'"s
950  0x00015847 0x00415647 5   6    .text   ascii   5mXS.
951  0x0001585b 0x0041565b 4   5    .text   ascii   jO`.
952  0x00015863 0x00415663 4   6    .text   utf8    |χ-l blocks=Basic Latin,Greek and Coptic
953  0x0001587c 0x0041567c 7   9    .text   utf8    )Nƪ*\thf blocks=Basic Latin,Latin Extended-B
954  0x000158e0 0x004156e0 6   7    .text   ascii   +!>\fM
955  0x000158ff 0x004156ff 5   6    .text   ascii   L?u6g
956  0x00015924 0x00415724 6   7    .text   ascii   (GcoR 
957  0x00015966 0x00415766 5   6    .text   ascii   "0y\ti
958  0x00015997 0x00415797 8   9    .text   ascii   kn\VE5sT
959  0x000159b0 0x004157b0 4   5    .text   ascii   G(*U
960  0x000159b9 0x004157b9 4   5    .text   ascii   R_D5
961  0x000159d3 0x004157d3 4   6    .text   utf8    )q.ؕ blocks=Basic Latin,Arabic
962  0x00015a18 0x00415818 4   5    .text   ascii   0k{4
963  0x00015a76 0x00415876 5   6    .text   ascii   1k?v<
964  0x00015aee 0x004158ee 4   5    .text   ascii   UD2!
965  0x00015b1d 0x0041591d 5   6    .text   ascii   \v%413
966  0x00015b85 0x00415985 4   5    .text   ascii   t\n_^
967  0x00015c3a 0x00415a3a 4   5    .text   ascii   0\ba`
968  0x00015c7f 0x00415a7f 5   6    .text   ascii   k\rTgQ
969  0x00015ccd 0x00415acd 6   7    .text   ascii   }mLI\fT
970  0x00015cdd 0x00415add 4   5    .text   ascii   ,LWi
971  0x00015cf0 0x00415af0 5   6    .text   ascii   7T21S
972  0x00015d0b 0x00415b0b 4   5    .text   ascii   ^_[]
973  0x00015d34 0x00415b34 4   5    .text   ascii   urlm
974  0x00015d3b 0x00415b3b 5   6    .text   ascii   on.df
975  0x00015d4c 0x00415b4c 4   5    .text   ascii   \r\nUs
976  0x00015d53 0x00415b53 4   5    .text   ascii   er-A
977  0x00015d5a 0x00415b5a 4   5    .text   ascii   gent
978  0x00015d7d 0x00415b7d 6   7    .text   ascii   h\arvij
979  0x00015dca 0x00415bca 6   8    .text   utf8    Eו+dyU blocks=Basic Latin,Hebrew
980  0x00015dd9 0x00415bd9 4   5    .text   ascii   SVWh
981  0x00015f9e 0x00415d9e 4   5    .text   ascii   \b_^[
982  0x00015fb9 0x00415db9 4   5    .text   ascii   SVWA
983  0x00015fcb 0x00415dcb 6   8    .text   utf8    bt݉Q*r blocks=Basic Latin,Syriac
984  0x0001601c 0x00415e1c 4   5    .text   ascii   {u)|
985  0x0001603b 0x00415e3b 4   5    .text   ascii   +qf\n
986  0x0001609c 0x00415e9c 5   6    .text   ascii   X/CWw
987  0x00016106 0x00415f06 4   6    .text   utf8    LXYۼ blocks=Basic Latin,Arabic
988  0x0001615b 0x00415f5b 5   6    .text   ascii   ZRj4S
989  0x000161ac 0x00415fac 4   6    .text   utf8    -R܂X blocks=Basic Latin,Syriac
990  0x000161f1 0x00415ff1 4   6    .text   utf8     z}ӗ blocks=Basic Latin,Cyrillic
991  0x00016240 0x00416040 5   6    .text   ascii   B66J^
992  0x00016283 0x00416083 4   8    .text   utf8    vࡄѠg blocks=Basic Latin,Mandaic,Cyrillic
993  0x0001628f 0x0041608f 6   7    .text   ascii   X4VFTU
994  0x000162f9 0x004160f9 5   6    .text   ascii   :;e*]
995  0x0001631e 0x0041611e 4   6    .text   utf8    ̜Bw  blocks=Combining Diacritical Marks,Basic Latin
996  0x00016397 0x00416197 5   8    .text   utf8    춳r]qt blocks=Hangul Syllables,Basic Latin
997  0x000163a0 0x004161a0 4   6    .text   utf8    o5ŉH blocks=Basic Latin,Latin Extended-A
