[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 5   6            ascii   ]Rich
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000277 0x00000277 7   8            ascii   @.reloc
7    0x0000041a 0x0000041a 6   8            utf8    1qooGί blocks=Basic Latin,Greek and Coptic
8    0x0000044d 0x0000044d 5   6            ascii   \r"qt1
9    0x00000463 0x00000463 6   8            utf8    hӃe\b(x blocks=Basic Latin,Cyrillic
10   0x00000480 0x00000480 5   6            ascii   1C4hV
11   0x00000558 0x00000558 4   5            ascii    ?p&
12   0x0000064f 0x0000064f 6   7            ascii   XRt7\e9
13   0x0000065d 0x0000065d 4   5            ascii   z]G}
14   0x000006a1 0x000006a1 4   6            utf8    fݟP^ blocks=Basic Latin,Arabic Supplement
15   0x000006b5 0x000006b5 6   8            utf8    \fX\t*/\t
16   0x000006fb 0x000006fb 5   8            utf8    zؒ\v[͙ blocks=Basic Latin,Arabic,Combining Diacritical Marks
17   0x000007ba 0x000007ba 4   6            utf8    w|Ο3 blocks=Basic Latin,Greek and Coptic
18   0x000007d5 0x000007d5 4   5            ascii   rDdP
19   0x000007f1 0x000007f1 4   5            ascii   5it5
706  0x0000e0e1 0x0040e8e1 4   5    .text   ascii   \at'\n
707  0x0000e140 0x0040e940 6   8    .text   utf8    3\nD$\bS
708  0x0000e175 0x0040e975 4   6    .text   utf8    V\v؋\n blocks=Basic Latin,Arabic
709  0x0000e1b4 0x0040e9b4 4   5    .text   ascii   ^_[3
710  0x0000e1ec 0x0040e9ec 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
711  0x0000e1f3 0x0040e9f3 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
712  0x0000e62c 0x0040f22c 14  15   .rdata  ascii   CorExitProcess
713  0x0000e63c 0x0040f23c 11  24   .rdata  utf16le mscoree.dll
714  0x0000e65a 0x0040f25a 7   16   .rdata  utf16le A(null)
715  0x0000e66c 0x0040f26c 6   7    .rdata  ascii   (null)
716  0x0000e699 0x0040f299 7   8    .rdata  ascii   ( 8PX\a\b
717  0x0000e6a1 0x0040f2a1 6   7    .rdata  ascii   700WP\a
718  0x0000e6b0 0x0040f2b0 7   8    .rdata  ascii   \b`h````
719  0x0000e6b9 0x0040f2b9 9   10   .rdata  ascii   xpxxxx\b\a\b
720  0x0000e6d4 0x0040f2d4 13  14   .rdata  ascii   EncodePointer
721  0x0000e6e4 0x0040f2e4 12  26   .rdata  utf16le KERNEL32.DLL
722  0x0000e700 0x0040f300 13  14   .rdata  ascii   DecodePointer
723  0x0000e710 0x0040f310 7   8    .rdata  ascii   FlsFree
724  0x0000e718 0x0040f318 11  12   .rdata  ascii   FlsSetValue
725  0x0000e724 0x0040f324 11  12   .rdata  ascii   FlsGetValue
726  0x0000e730 0x0040f330 8   9    .rdata  ascii   FlsAlloc
727  0x0000e73c 0x0040f33c 14  15   .rdata  ascii   runtime error 
728  0x0000e74c 0x0040f34c 13  14   .rdata  ascii   TLOSS error\r\n
729  0x0000e75c 0x0040f35c 12  13   .rdata  ascii   SING error\r\n
730  0x0000e76c 0x0040f36c 14  15   .rdata  ascii   DOMAIN error\r\n
731  0x0000e780 0x0040f380 154 155  .rdata  ascii   R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
732  0x0000e820 0x0040f420 246 247  .rdata  ascii   R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
733  0x0000e918 0x0040f518 50  51   .rdata  ascii   R6032\r\n- not enough space for locale information\r\n
734  0x0000e950 0x0040f550 98  99   .rdata  ascii   R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
735  0x0000e9b4 0x0040f5b4 30  31   .rdata  ascii   R6030\r\n- CRT not initialized\r\n
736  0x0000e9d4 0x0040f5d4 36  37   .rdata  ascii   R6028\r\n- unable to initialize heap\r\n
737  0x0000e9fc 0x0040f5fc 52  53   .rdata  ascii   R6027\r\n- not enough space for lowio initialization\r\n
738  0x0000ea34 0x0040f634 52  53   .rdata  ascii   R6026\r\n- not enough space for stdio initialization\r\n
739  0x0000ea6c 0x0040f66c 37  38   .rdata  ascii   R6025\r\n- pure virtual function call\r\n
740  0x0000ea94 0x0040f694 52  53   .rdata  ascii   R6024\r\n- not enough space for _onexit/atexit table\r\n
741  0x0000eacc 0x0040f6cc 40  41   .rdata  ascii   R6019\r\n- unable to open console device\r\n
742  0x0000eaf8 0x0040f6f8 32  33   .rdata  ascii   R6018\r\n- unexpected heap error\r\n
743  0x0000eb1c 0x0040f71c 44  45   .rdata  ascii   R6017\r\n- unexpected multithread lock error\r\n
744  0x0000eb4c 0x0040f74c 43  44   .rdata  ascii   R6016\r\n- not enough space for thread data\r\n
745  0x0000eb78 0x0040f778 149 150  .rdata  ascii   \r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
746  0x0000ec10 0x0040f810 43  44   .rdata  ascii   R6009\r\n- not enough space for environment\r\n
747  0x0000ec3c 0x0040f83c 41  42   .rdata  ascii   R6008\r\n- not enough space for arguments\r\n
748  0x0000ec68 0x0040f868 44  45   .rdata  ascii   R6002\r\n- floating point support not loaded\r\n
749  0x0000ec98 0x0040f898 36  37   .rdata  ascii   Microsoft Visual C++ Runtime Library
750  0x0000ecc8 0x0040f8c8 22  23   .rdata  ascii   <program name unknown>
751  0x0000ece0 0x0040f8e0 25  26   .rdata  ascii   Runtime Error!\n\nProgram: 
752  0x0000ed7c 0x0040f97c 5   6    .rdata  ascii   UTF-8
753  0x0000ed84 0x0040f984 8   9    .rdata  ascii   UTF-16LE
754  0x0000ed90 0x0040f990 7   8    .rdata  ascii   UNICODE
755  0x0000eda6 0x0040f9a6 7   8    .rdata  ascii   \a\b\t\n\v\f\r
756  0x0000edbf 0x0040f9bf 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
757  0x0000ee45 0x0040fa45 5   6    .rdata  ascii   ('8PW
758  0x0000ee4e 0x0040fa4e 5   6    .rdata  ascii   700PP
759  0x0000ee60 0x0040fa60 17  18   .rdata  ascii   `h`hhh\b\b\axppwpp\b\b
760  0x0000ee7c 0x0040fa7c 23  24   .rdata  ascii   GetProcessWindowStation
761  0x0000ee94 0x0040fa94 25  26   .rdata  ascii   GetUserObjectInformationA
762  0x0000eeb0 0x0040fab0 18  19   .rdata  ascii   GetLastActivePopup
763  0x0000eec4 0x0040fac4 15  16   .rdata  ascii   GetActiveWindow
764  0x0000eed4 0x0040fad4 11  12   .rdata  ascii   MessageBoxA
765  0x0000eee0 0x0040fae0 10  11   .rdata  ascii   USER32.DLL
766  0x0000eff0 0x0040fbf0 33  68   .rdata  utf16le          (((((                  H
767  0x0000f1f2 0x0040fdf2 33  68   .rdata  utf16le          h((((                  H
768  0x0000f2f0 0x0040fef0 34  70   .rdata  utf16le                                  H
769  0x0000f47f 0x0041007f 7   8    .rdata  ascii   \a\b\t\n\v\f\r
770  0x0000f498 0x00410098 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
771  0x0000f5ff 0x004101ff 7   8    .rdata  ascii   \a\b\t\n\v\f\r
772  0x0000f618 0x00410218 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
773  0x0000f6f8 0x004102f8 8   9    .rdata  ascii   HH:mm:ss
774  0x0000f704 0x00410304 19  20   .rdata  ascii   dddd, MMMM dd, yyyy
775  0x0000f718 0x00410318 8   9    .rdata  ascii   MM/dd/yy
776  0x0000f72c 0x0041032c 8   9    .rdata  ascii   December
777  0x0000f738 0x00410338 8   9    .rdata  ascii   November
778  0x0000f744 0x00410344 7   8    .rdata  ascii   October
779  0x0000f74c 0x0041034c 9   10   .rdata  ascii   September
780  0x0000f758 0x00410358 6   7    .rdata  ascii   August
781  0x0000f760 0x00410360 4   5    .rdata  ascii   July
782  0x0000f768 0x00410368 4   5    .rdata  ascii   June
783  0x0000f770 0x00410370 5   6    .rdata  ascii   April
784  0x0000f778 0x00410378 5   6    .rdata  ascii   March
785  0x0000f780 0x00410380 8   9    .rdata  ascii   February
786  0x0000f78c 0x0041038c 7   8    .rdata  ascii   January
787  0x0000f7c4 0x004103c4 8   9    .rdata  ascii   Saturday
788  0x0000f7d0 0x004103d0 6   7    .rdata  ascii   Friday
789  0x0000f7d8 0x004103d8 8   9    .rdata  ascii   Thursday
790  0x0000f7e4 0x004103e4 9   10   .rdata  ascii   Wednesday
791  0x0000f7f0 0x004103f0 7   8    .rdata  ascii   Tuesday
792  0x0000f7f8 0x004103f8 6   7    .rdata  ascii   Monday
793  0x0000f800 0x00410400 6   7    .rdata  ascii   Sunday
794  0x0000f824 0x00410424 7   8    .rdata  ascii   CONOUT$
795  0x0000f82c 0x0041042c 21  22   .rdata  ascii   SunMonTueWedThuFriSat
796  0x0000f844 0x00410444 36  37   .rdata  ascii   JanFebMarAprMayJunJulAugSepOctNovDec
797  0x0000f878 0x00410478 7   8    .rdata  ascii   rss.tmp
798  0x0000f884 0x00410484 7   8    .rdata  ascii   http://
799  0x0000f88c 0x0041048c 13  14   .rdata  ascii   .jpg?resid=%d
800  0x0000f8a0 0x004104a0 20  21   .rdata  ascii   =%s&type=%d&resid=%d
801  0x0000f8b8 0x004104b8 18  19   .rdata  ascii   ?resid=%d&photoid=
802  0x0000f8cc 0x004104cc 9   10   .rdata  ascii   iexplorer
803  0x0000f8d8 0x004104d8 8   9    .rdata  ascii   HTTP/1.1
804  0x0000f8e4 0x004104e4 4   5    .rdata  ascii   POST
805  0x0000f8ec 0x004104ec 4   5    .rdata  ascii   .exe
806  0x0000f8f4 0x004104f4 21  22   .rdata  ascii   %d_of_%d_for_%s_on_%s
807  0x0000f90c 0x0041050c 46  47   .rdata  ascii   SOFTWARE\Microsoft\Windows\CurrentVersion\Run\
808  0x0000f93c 0x0041053c 11  12   .rdata  ascii   cmd.exe /c 
809  0x0000f948 0x00410548 19  20   .rdata  ascii   Self Process Id:%d\n
810  0x0000f95c 0x0041055c 27  28   .rdata  ascii   C:\windows\system32\cmd.exe
811  0x0000f97c 0x0041057c 60  61   .rdata  ascii   Create Child Cmd.exe Process Succeed!\nChild ProcessId is %d\n
812  0x0000f9bc 0x004105bc 19  20   .rdata  ascii   Program Files (x86)
813  0x0000f9d0 0x004105d0 4   5    .rdata  ascii   .dat
814  0x0000f9dc 0x004105dc 25  26   .rdata  ascii   cmd.exe /c rundll32 "%s" 
815  0x0000f9f8 0x004105f8 7   8    .rdata  ascii   Playx64
816  0x0000fa00 0x00410600 9   10   .rdata  ascii   PlayWin32
817  0x0000fa14 0x00410614 31  32   .rdata  ascii   /c ping 127.0.0.1 & del /q "%s"
818  0x0000fa34 0x00410634 7   8    .rdata  ascii   cmd.exe
819  0x0000fa3c 0x0041063c 4   5    .rdata  ascii   open
820  0x0000fa90 0x00410690 4   5    .rdata  ascii   RSDS
821  0x0000fa95 0x00410695 4   5    .rdata  ascii   '$4;
822  0x0001020a 0x00410e0a 11  12   .rdata  ascii   ExitProcess
823  0x00010218 0x00410e18 16  17   .rdata  ascii   GetComputerNameA
824  0x0001022c 0x00410e2c 11  12   .rdata  ascii   CreateFileA
825  0x0001023a 0x00410e3a 11  12   .rdata  ascii   GetFileSize
826  0x00010248 0x00410e48 13  14   .rdata  ascii   FindResourceA
827  0x00010258 0x00410e58 16  17   .rdata  ascii   SetPriorityClass
828  0x0001026c 0x00410e6c 14  15   .rdata  ascii   SetFilePointer
829  0x0001027e 0x00410e7e 13  14   .rdata  ascii   PeekNamedPipe
830  0x0001028e 0x00410e8e 12  13   .rdata  ascii   LoadResource
831  0x0001029e 0x00410e9e 17  18   .rdata  ascii   GetCurrentProcess
832  0x000102b2 0x00410eb2 12  13   .rdata  ascii   GetTickCount
833  0x000102c2 0x00410ec2 16  17   .rdata  ascii   GetCurrentThread
834  0x000102d6 0x00410ed6 11  12   .rdata  ascii   VirtualFree
835  0x000102e4 0x00410ee4 25  26   .rdata  ascii   ExpandEnvironmentStringsA
836  0x00010300 0x00410f00 9   10   .rdata  ascii   WriteFile
837  0x0001030c 0x00410f0c 11  12   .rdata  ascii   OpenProcess
838  0x0001031a 0x00410f1a 19  20   .rdata  ascii   WideCharToMultiByte
839  0x00010330 0x00410f30 21  22   .rdata  ascii   GetVolumeInformationA
840  0x00010348 0x00410f48 5   6    .rdata  ascii   Sleep
841  0x00010350 0x00410f50 14  15   .rdata  ascii   SizeofResource
842  0x00010362 0x00410f62 14  15   .rdata  ascii   CreateProcessA
843  0x00010374 0x00410f74 16  17   .rdata  ascii   TerminateProcess
844  0x00010388 0x00410f88 8   9    .rdata  ascii   ReadFile
845  0x00010394 0x00410f94 19  20   .rdata  ascii   GetSystemDirectoryA
846  0x000103aa 0x00410faa 19  20   .rdata  ascii   MultiByteToWideChar
847  0x000103c0 0x00410fc0 17  18   .rdata  ascii   SetThreadPriority
848  0x000103d4 0x00410fd4 16  17   .rdata  ascii   CreateDirectoryA
849  0x000103e8 0x00410fe8 15  16   .rdata  ascii   GetStartupInfoA
850  0x000103fa 0x00410ffa 14  15   .rdata  ascii   FindFirstFileA
851  0x0001040c 0x0041100c 12  13   .rdata  ascii   GetLastError
852  0x0001041c 0x0041101c 12  13   .rdata  ascii   VirtualAlloc
853  0x0001042c 0x0041102c 9   10   .rdata  ascii   FindClose
854  0x00010438 0x00411038 12  13   .rdata  ascii   LockResource
855  0x00010448 0x00411048 10  11   .rdata  ascii   CreatePipe
856  0x00010456 0x00411056 18  19   .rdata  ascii   GetModuleFileNameA
857  0x0001046c 0x0041106c 13  14   .rdata  ascii   GetVersionExA
858  0x0001047c 0x0041107c 7   8    .rdata  ascii   WinExec
859  0x00010486 0x00411086 11  12   .rdata  ascii   CloseHandle
860  0x00010494 0x00411094 19  20   .rdata  ascii   GetCurrentProcessId
861  0x000104aa 0x004110aa 12  13   .rdata  ascii   GetTempPathA
862  0x000104b8 0x004110b8 12  13   .rdata  ascii   KERNEL32.dll
863  0x000104c8 0x004110c8 16  17   .rdata  ascii   OpenProcessToken
864  0x000104dc 0x004110dc 19  20   .rdata  ascii   GetTokenInformation
865  0x000104f2 0x004110f2 14  15   .rdata  ascii   RegSetValueExA
866  0x00010504 0x00411104 8   9    .rdata  ascii   EqualSid
867  0x00010510 0x00411110 13  14   .rdata  ascii   RegDeleteKeyA
868  0x00010520 0x00411120 24  25   .rdata  ascii   AllocateAndInitializeSid
869  0x0001053c 0x0041113c 7   8    .rdata  ascii   FreeSid
870  0x00010546 0x00411146 12  13   .rdata  ascii   GetUserNameA
871  0x00010556 0x00411156 11  12   .rdata  ascii   RegOpenKeyA
872  0x00010564 0x00411164 11  12   .rdata  ascii   RegCloseKey
873  0x00010570 0x00411170 12  13   .rdata  ascii   ADVAPI32.dll
874  0x00010580 0x00411180 13  14   .rdata  ascii   ShellExecuteA
875  0x00010590 0x00411190 14  15   .rdata  ascii   SHChangeNotify
876  0x000105a0 0x004111a0 11  12   .rdata  ascii   SHELL32.dll
877  0x000105ae 0x004111ae 16  17   .rdata  ascii   InternetOpenUrlA
878  0x000105c2 0x004111c2 16  17   .rdata  ascii   InternetConnectA
879  0x000105d6 0x004111d6 16  17   .rdata  ascii   InternetReadFile
880  0x000105ea 0x004111ea 16  17   .rdata  ascii   HttpOpenRequestA
881  0x000105fe 0x004111fe 16  17   .rdata  ascii   HttpSendRequestA
882  0x00010612 0x00411212 13  14   .rdata  ascii   InternetOpenA
883  0x00010622 0x00411222 19  20   .rdata  ascii   InternetCloseHandle
884  0x00010636 0x00411236 11  12   .rdata  ascii   WININET.dll
885  0x00010644 0x00411244 16  17   .rdata  ascii   GetModuleHandleW
886  0x00010658 0x00411258 14  15   .rdata  ascii   GetProcAddress
887  0x0001066a 0x0041126a 8   9    .rdata  ascii   HeapFree
888  0x00010676 0x00411276 9   10   .rdata  ascii   HeapAlloc
889  0x00010682 0x00411282 23  24   .rdata  ascii   GetSystemTimeAsFileTime
890  0x0001069c 0x0041129c 15  16   .rdata  ascii   GetCommandLineA
891  0x000106ae 0x004112ae 24  25   .rdata  ascii   UnhandledExceptionFilter
892  0x000106ca 0x004112ca 27  28   .rdata  ascii   SetUnhandledExceptionFilter
893  0x000106e8 0x004112e8 17  18   .rdata  ascii   IsDebuggerPresent
894  0x000106fc 0x004112fc 11  12   .rdata  ascii   TlsGetValue
895  0x0001070a 0x0041130a 8   9    .rdata  ascii   TlsAlloc
896  0x00010716 0x00411316 11  12   .rdata  ascii   TlsSetValue
897  0x00010724 0x00411324 7   8    .rdata  ascii   TlsFree
898  0x0001072e 0x0041132e 20  21   .rdata  ascii   InterlockedIncrement
899  0x00010746 0x00411346 12  13   .rdata  ascii   SetLastError
900  0x00010756 0x00411356 18  19   .rdata  ascii   GetCurrentThreadId
901  0x0001076c 0x0041136c 20  21   .rdata  ascii   InterlockedDecrement
902  0x00010784 0x00411384 12  13   .rdata  ascii   GetStdHandle
903  0x00010794 0x00411394 21  22   .rdata  ascii   DeleteCriticalSection
904  0x000107ac 0x004113ac 20  21   .rdata  ascii   LeaveCriticalSection
905  0x000107c4 0x004113c4 20  21   .rdata  ascii   EnterCriticalSection
906  0x000107dc 0x004113dc 12  13   .rdata  ascii   LoadLibraryA
907  0x000107ec 0x004113ec 37  38   .rdata  ascii   InitializeCriticalSectionAndSpinCount
908  0x00010814 0x00411414 10  11   .rdata  ascii   HeapCreate
909  0x00010822 0x00411422 11  12   .rdata  ascii   HeapReAlloc
910  0x00010830 0x00411430 9   10   .rdata  ascii   RtlUnwind
911  0x0001083c 0x0041143c 12  13   .rdata  ascii   GetConsoleCP
912  0x0001084c 0x0041144c 14  15   .rdata  ascii   GetConsoleMode
913  0x0001085e 0x0041145e 14  15   .rdata  ascii   SetHandleCount
914  0x00010870 0x00411470 11  12   .rdata  ascii   GetFileType
915  0x0001087e 0x0041147e 23  24   .rdata  ascii   FreeEnvironmentStringsA
916  0x00010898 0x00411498 21  22   .rdata  ascii   GetEnvironmentStrings
917  0x000108b0 0x004114b0 23  24   .rdata  ascii   FreeEnvironmentStringsW
918  0x000108ca 0x004114ca 22  23   .rdata  ascii   GetEnvironmentStringsW
919  0x000108e4 0x004114e4 23  24   .rdata  ascii   QueryPerformanceCounter
920  0x000108fe 0x004114fe 9   10   .rdata  ascii   GetCPInfo
921  0x0001090a 0x0041150a 6   7    .rdata  ascii   GetACP
922  0x00010914 0x00411514 8   9    .rdata  ascii   GetOEMCP
923  0x00010920 0x00411520 15  16   .rdata  ascii   IsValidCodePage
924  0x00010932 0x00411532 8   9    .rdata  ascii   HeapSize
925  0x0001093e 0x0041153e 14  15   .rdata  ascii   GetLocaleInfoA
926  0x00010950 0x00411550 12  13   .rdata  ascii   SetStdHandle
927  0x00010960 0x00411560 13  14   .rdata  ascii   WriteConsoleA
928  0x00010970 0x00411570 18  19   .rdata  ascii   GetConsoleOutputCP
929  0x00010986 0x00411586 13  14   .rdata  ascii   WriteConsoleW
930  0x00010996 0x00411596 16  17   .rdata  ascii   FlushFileBuffers
931  0x000109aa 0x004115aa 12  13   .rdata  ascii   LCMapStringA
932  0x000109ba 0x004115ba 12  13   .rdata  ascii   LCMapStringW
933  0x000109ca 0x004115ca 14  15   .rdata  ascii   GetStringTypeA
934  0x000109dc 0x004115dc 14  15   .rdata  ascii   GetStringTypeW
935  0x000109ee 0x004115ee 12  13   .rdata  ascii   SetEndOfFile
936  0x000109fe 0x004115fe 14  15   .rdata  ascii   GetProcessHeap
937  0x00010c44 0x00412044 12  52   .data   utf32le \t\a\f\b\f\t\f\n\a\v\b\f
938  0x00010cc8 0x004120c8 5   24   .data   utf32le R\rS\rW
939  0x00010ce0 0x004120e0 7   32   .data   utf32le Y\vl\rm p
940  0x00010d54 0x00412154 4   20   .data   utf32le \v§\r· blocks=Basic Latin,Latin-1 Supplement
941  0x0001145e 0x0041285e 26  27   .data   ascii                             
942  0x0001153e 0x0041293e 26  27   .data   ascii   abcdefghijklmnopqrstuvwxyz
943  0x0001155e 0x0041295e 26  27   .data   ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
944  0x00011662 0x00412a62 26  27   .data   ascii                             
945  0x00011749 0x00412b49 26  27   .data   ascii   abcdefghijklmnopqrstuvwxyz
946  0x00011769 0x00412b69 26  27   .data   ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
947  0x00011c00 0x00413000 18  19   .data   ascii   !!!x&9:7$$9#"3x59;
948  0x00011c32 0x00413032 7   8    .data   ascii   y&>9"9y
949  0x00011c64 0x00413064 12  13   .data   ascii   83!?;713x7%&
950  0x00011c96 0x00413096 14  15   .data   ascii   y ?3!&>9"9x7%&
951  0x00011cc8 0x004130c8 7   8    .data   ascii   ?;713?2
952  0x00011cfa 0x004130fa 5   6    .data   ascii   \e32?7
953  0x00011d00 0x00413100 9   10   .data   ascii   38"3$x3.3
954  0x00011d2c 0x0041312c 10  11   .data   ascii   \e?5$9\e32?7
955  0x00011d60 0x00413160 15  16   .data   ascii   3;&s\n\e?5$9\e32?7
956  0x00011d90 0x00413190 9   10   .data   ascii   >983/!3::
957  0x00011da4 0x004131a4 22  23   .data   ascii   !!!x89$">&9:3$9#"3x59;
958  0x00011dd6 0x004131d6 7   8    .data   ascii   y&>9"9y
959  0x00011e08 0x00413208 12  13   .data   ascii   83!?;713x7%&
960  0x00011e3a 0x0041323a 14  15   .data   ascii   y ?3!&>9"9x7%&
961  0x00011e6c 0x0041326c 7   8    .data   ascii   ?;713?2
962  0x00011e9e 0x0041329e 5   6    .data   ascii   \e32?7
963  0x00011ea4 0x004132a4 9   10   .data   ascii   38"3$x3.3
964  0x00011ed0 0x004132d0 10  11   .data   ascii   \e?5$9\e32?7
965  0x00011f04 0x00413304 15  16   .data   ascii   3;&s\n\e?5$9\e32?7
966  0x00011f34 0x00413334 9   10   .data   ascii   >983/!3::
967  0x000126fe 0x004160fe 7   8    .rsrc   ascii   tVKCVEI
968  0x00012718 0x00416118 7   8    .rsrc   ascii   cKhMJO\b
969  0x00012720 0x00416120 5   6    .rsrc   ascii   cKeWI
970  0x00012726 0x00416126 17  18   .rsrc   ascii   SSS\ncK`ARpKKH\nGKI
971  0x00012830 0x00416230 4   5    .rsrc   ascii   GK@A
972  0x00012857 0x00416257 5   6    .rsrc   ascii   D@EPE
973  0x00012880 0x00416280 6   7    .rsrc   ascii   \nM@EPE
974  0x000128a7 0x004162a7 7   8    .rsrc   ascii   D\nA@EPE
975  0x000128cf 0x004162cf 7   8    .rsrc   ascii   d\nVAHKG
976  0x00012b8b 0x0041658b 7   8    .rsrc   ascii   4rswuvN
977  0x00012bb8 0x004165b8 4   5    .rsrc   ascii   4N$N
978  0x00012c89 0x00416689 4   5    .rsrc   ascii   %PBL
979  0x00012edc 0x004168dc 7   8    .rsrc   ascii   GI@\nA\A
980  0x00012ee7 0x004168e7 4   5    .rsrc   ascii   TMJC
981  0x00012f09 0x00416909 140 141  .rsrc   ascii   eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
982  0x00012f96 0x00416996 9   20   .rsrc   utf16le aHAREPMKJ
983  0x00012faa 0x004169aa 13  28   .rsrc   utf16le e@IMJMWPVEPKV
984  0x00013022 0x00416a22 15  32   .rsrc   utf16le xSMJ@KSWxW]WPAI
985  0x00013044 0x00416a44 9   20   .rsrc   utf16le xW]WTVATx
986  0x0001305e 0x00416a5e 15  32   .rsrc   utf16le xsMJ@KSWxw]WPAI
987  0x00013080 0x00416a80 8   18   .rsrc   utf16le xW]WTVAT
988  0x00013094 0x00416a94 13  28   .rsrc   utf16le gv}tpfewa\n@HH
989  0x000130b6 0x00416ab6 15  32   .rsrc   utf16le xsMJ@KSWxw]WPAI
990  0x000130d8 0x00416ad8 20  42   .rsrc   utf16le xW]WTVATxW]WTVAT\nA\A
991  0x00013108 0x00416b08 4   5    .rsrc   ascii   x.7h
992  0x00013430 0x00416e30 10  11   .rsrc   ascii   IWRGVP\n@HH
993  0x0001343c 0x00416e3c 7   8    .rsrc   ascii    IEHHKG
994  0x00013445 0x00416e45 7   8    .rsrc   ascii    IAIWAP
995  0x0001344e 0x00416e4e 9   10   .rsrc   ascii   /!WTVMJPB
996  0x00013459 0x00416e59 5   6    .rsrc   ascii    BVAA
997  0x00013460 0x00416e60 6   7    .rsrc   ascii   oavjah
998  0x00013468 0x00416e68 4   5    .rsrc   ascii   \n@HH
999  0x0001346d 0x00416e6d 20  21   .rsrc   ascii   1&cAPiK@QHAbMHAjEIAs
1000 0x00013482 0x00416e82 20  21   .rsrc   ascii   0&cAPiK@QHAbMHAjEIAe
1001 0x00013498 0x00416e98 9   10   .rsrc   ascii   1!sMJa\AG
1002 0x000134a2 0x00416ea2 13  14   .rsrc   ascii   >%a\MPtVKGAWW
1003 0x000134b1 0x00416eb1 6   7    .rsrc   ascii    wHAAT
1004 0x000134b8 0x00416eb8 26  27   .rsrc   ascii   @%bVAAhMFVEV]eJ@a\MPpLVAE@
1005 0x000134d4 0x00416ed4 5   6    .rsrc   ascii   wlahh
1006 0x000134db 0x00416edb 4   5    .rsrc   ascii   \n@HH
1007 0x000134e2 0x00416ee2 13  14   .rsrc   ascii   mWqWAVeJe@IMJ
1008 0x000134f2 0x00416ef2 27  28   .rsrc   ascii   wlgVAEPAmPAIbVKItEVWMJCjEIA
1009 0x0001350f 0x00416f0f 16  17   .rsrc   ascii   %wLAHHa\AGQPAa\s
1010 0x00013525 0x00416f25 4   5    .rsrc   ascii   \n@HH
1011 0x0001352c 0x00416f2c 12  13   .rsrc   ascii   gKmJMPMEHM^A
1012 0x0001353c 0x00416f3c 11  12   .rsrc   ascii   gKcAPkFNAGP
1013 0x000136e8 0x004170e8 6   28   .rsrc   utf32le %%%搔搈搌 blocks=Basic Latin,CJK Unified Ideographs
1014 0x0001370c 0x0041710c 10  11   .rsrc   ascii   qeg`HH\n@HH
1015 0x00013717 0x00417117 7   8    .rsrc   ascii   tHE]sMJ
1016 0x00013afe 0x004174fe 7   8    .rsrc   ascii   tVKCVEI
1017 0x00013b18 0x00417518 7   8    .rsrc   ascii   cKhMJO\b
1018 0x00013b20 0x00417520 5   6    .rsrc   ascii   cKeWI
1019 0x00013b26 0x00417526 17  18   .rsrc   ascii   SSS\ncK`ARpKKH\nGKI
1020 0x00013c40 0x00417640 4   5    .rsrc   ascii   GK@A
1021 0x00013c67 0x00417667 5   6    .rsrc   ascii   D@EPE
1022 0x00013c90 0x00417690 6   7    .rsrc   ascii   \nM@EPE
1023 0x00013cb7 0x004176b7 7   8    .rsrc   ascii   D\nA@EPE
1024 0x00013cdf 0x004176df 7   8    .rsrc   ascii   d\nVAHKG
