[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000138 0x00000138 5   6            ascii   drws1
1    0x0000015f 0x0000015f 6   7            ascii   `drws2
2    0x00000188 0x00000188 5   6            ascii   drws3
3    0x000001af 0x000001af 6   7            ascii   @drws4
2258 0x0002297d 0x0042297d 4   5    drws1   ascii   ;|$8
2259 0x00022993 0x00422993 5   7    drws1   utf8    ŉD$Du blocks=Latin Extended-A,Basic Latin
2260 0x000229c5 0x004229c5 4   5    drws1   ascii   t$(P
2261 0x000229d6 0x004229d6 6   7    drws1   ascii   t$8USV
2262 0x000229ee 0x004229ee 4   5    drws1   ascii   L$ +
2263 0x000229f4 0x004229f4 5   6    drws1   ascii   D$$QP
2264 0x00022aa0 0x00422aa0 5   6    drws1   ascii   ,SUV3
2265 0x00022aa6 0x00422aa6 5   6    drws1   ascii   !\$$W
2266 0x00022aba 0x00422aba 5   7    drws1   utf8    3ɉL$, blocks=Basic Latin,Latin Extended-B
2267 0x00022b32 0x00422b32 5   6    drws1   ascii   j Xj\b
2268 0x00022b3c 0x00422b3c 5   7    drws1   utf8    ECd$ 
2269 0x00022b77 0x00422b77 4   5    drws1   ascii   D$$P
2270 0x00022b7c 0x00422b7c 6   7    drws1   ascii   D$ PUS
2271 0x00022b83 0x00422b83 5   6    drws1   ascii   t$@RQ
2272 0x00022bb0 0x00422bb0 5   6    drws1   ascii   L$49J
2273 0x00022bb9 0x00422bb9 4   5    drws1   ascii   D$ \r
2274 0x00022c5f 0x00422c5f 4   5    drws1   ascii   L$,@
2275 0x00022c6b 0x00422c6b 6   7    drws1   ascii   L$,;GH
2276 0x00022cf5 0x00422cf5 5   6    drws1   ascii   F@H}@
2277 0x00022d03 0x00422d03 4   5    drws1   ascii   lSUV
2278 0x00022d2d 0x00422d2d 9   11   drws1   utf8    t$t^3ۍT$L blocks=Basic Latin,Arabic
2279 0x00022d38 0x00422d38 4   6    drws1   utf8    Ή\$h blocks=Greek and Coptic,Basic Latin
2280 0x00022d4b 0x00422d4b 6   7    drws1   ascii   T$0j\nY
2281 0x00022d81 0x00422d81 5   6    drws1   ascii   L$PQP
2282 0x00022dc8 0x00422dc8 5   6    drws1   ascii   D$ Pj
2283 0x00022df4 0x00422df4 4   5    drws1   ascii   D$8P
2284 0x00022e1c 0x00422e1c 4   5    drws1   ascii   T$\Y
2285 0x00022e25 0x00422e25 4   7    drws1   utf8    \$<莪 blocks=Basic Latin,CJK Unified Ideographs
2286 0x00022e37 0x00422e37 4   5    drws1   ascii   D$`P
2287 0x00022e62 0x00422e62 6   7    drws1   ascii   \fQPj\vZ
2288 0x00022e8e 0x00422e8e 4   5    drws1   ascii   9\$<
2289 0x00022ea8 0x00422ea8 4   6    drws1   utf8    t\rǄ$ blocks=Basic Latin,Latin Extended-B
2290 0x00022eb7 0x00422eb7 4   6    drws1   utf8    j\aǄ$ blocks=Basic Latin,Latin Extended-B
2291 0x00022ef7 0x00422ef7 4   5    drws1   ascii   t$$V
2292 0x00022f2d 0x00422f2d 5   6    drws1   ascii   T$DY+
2293 0x00022f42 0x00422f42 4   5    drws1   ascii   D$HP
2294 0x00022f71 0x00422f71 4   5    drws1   ascii   T$\Y
2295 0x00022f84 0x00422f84 4   5    drws1   ascii   D$`P
2296 0x00022fbd 0x00422fbd 4   5    drws1   ascii   D$$P
2297 0x00022fc2 0x00422fc2 4   5    drws1   ascii   D$$P
2298 0x00022fdc 0x00422fdc 5   6    drws1   ascii   \$ WS
2299 0x00022ffc 0x00422ffc 5   6    drws1   ascii   t$0VU
2300 0x00023006 0x00423006 6   7    drws1   ascii   t$Pj\nZ
2301 0x00023032 0x00423032 4   5    drws1   ascii   _^][
2302 0x00023046 0x00423046 4   5    drws1   ascii   SUVW
2303 0x000230d5 0x004230d5 4   5    drws1   ascii   EjXY
2304 0x00023188 0x00423188 7   8    drws1   ascii   |$h!|Lj
2305 0x00023191 0x00423191 4   5    drws1   ascii   T$(Y
2306 0x0002319b 0x0042319b 5   6    drws1   ascii   |$dj!
2307 0x000231a1 0x004231a1 5   6    drws1   ascii   D$(PW
2308 0x000231b0 0x004231b0 5   6    drws1   ascii   |$h!t
2309 0x000231b7 0x004231b7 5   6    drws1   ascii   G!<;t
2310 0x000231c5 0x004231c5 4   5    drws1   ascii   <\r~\n
2311 0x00023289 0x00423289 4   5    drws1   ascii   _^][
2312 0x00023293 0x00423293 4   5    drws1   ascii   SUVW
2313 0x000232bf 0x004232bf 4   5    drws1   ascii   h()D
2314 0x00023306 0x00423306 9   11   drws1   utf8    9~Hv73ۋnD blocks=Basic Latin,Arabic
2315 0x0002333d 0x0042333d 5   7    drws1   utf8    ;~Hrˋ blocks=Basic Latin,Spacing Modifier Letters
2316 0x0002334f 0x0042334f 4   5    drws1   ascii   _^][
2317 0x0002335e 0x0042335e 4   5    drws1   ascii   4SVW
2318 0x00023380 0x00423380 4   5    drws1   ascii   E\fPj
2319 0x000233c4 0x004233c4 4   5    drws1   ascii   ufj\f
2320 0x0002341e 0x0042341e 5   6    drws1   ascii   QPVWQ
2321 0x00023435 0x00423435 4   5    drws1   ascii   SUVW
2322 0x0002347b 0x0042347b 5   6    drws1   ascii   9~Hv7
2323 0x0002348d 0x0042348d 4   5    drws1   ascii   u\bj\b
2324 0x000234b2 0x004234b2 5   7    drws1   utf8    ;~Hr˰ blocks=Basic Latin,Spacing Modifier Letters
2325 0x000234b9 0x004234b9 4   5    drws1   ascii   _^][
2326 0x000234f2 0x004234f2 6   8    drws1   utf8    KN0PWj
2327 0x0002357f 0x0042357f 4   5    drws1   ascii   t\vf9
2328 0x00023594 0x00423594 4   5    drws1   ascii   SVWv
2329 0x000235a7 0x004235a7 4   6    drws1   utf8    AL3҅ blocks=Basic Latin,Cyrillic
2330 0x000235be 0x004235be 4   5    drws1   ascii   u\n9Q
2331 0x000235cf 0x004235cf 4   6    drws1   utf8    tȋAD blocks=Basic Latin,Latin Extended-B
2332 0x00023604 0x00423604 7   9    drws1   utf8    X_^[ÃyH blocks=Basic Latin,Latin-1 Supplement
2333 0x00023651 0x00423651 4   5    drws1   ascii   V\bBk
2334 0x0002368f 0x0042368f 4   5    drws1   ascii   N\b_^
2335 0x000236dc 0x004236dc 4   5    drws1   ascii   ;Q\bs
2336 0x00023700 0x00423700 6   7    drws1   ascii   *;Q\br!
2337 0x0002376a 0x0042376a 4   5    drws1   ascii   t~@;
2338 0x00023791 0x00423791 5   6    drws1   ascii   tWWUP
2339 0x000237ec 0x004237ec 4   5    drws1   ascii   _]^[
2340 0x000237f3 0x004237f3 4   5    drws1   ascii   j\fhx
2341 0x00023806 0x00423806 5   7    drws1   utf8    ~53\tE
2342 0x00023845 0x00423845 4   5    drws1   ascii   QQSU
2343 0x00023859 0x00423859 6   8    drws1   utf8    tn3\tD$
2344 0x00023863 0x00423863 4   5    drws1   ascii   -u\tj
2345 0x0002387b 0x0042387b 6   7    drws1   ascii   <0|-<9
2346 0x000238d0 0x004238d0 9   10   drws1   ascii   j\bX_^][YY
2347 0x000238e5 0x004238e5 4   5    drws1   ascii   tFV3
2348 0x00023929 0x00423929 5   7    drws1   utf8    3^[Ã# blocks=Basic Latin,Latin-1 Supplement
2349 0x00023930 0x00423930 5   7    drws1   utf8    j\bX[Å blocks=Basic Latin,Latin-1 Supplement
2350 0x0002396a 0x0042396a 5   6    drws1   ascii   L$\fQj
2351 0x0002397c 0x0042397c 5   6    drws1   ascii   |$\fGk
2352 0x000239cc 0x004239cc 4   5    drws1   ascii   X_^[
2353 0x00023a11 0x00423a11 4   5    drws1   ascii   %D5D
2354 0x00023b08 0x00423b08 6   7    drws1   ascii   VVVVVV
2355 0x00023b48 0x00423b48 4   5    drws1   ascii   j8VW
2356 0x00023bbb 0x00423bbb 4   6    drws1   utf8    E\tG,
2357 0x00023bc8 0x00423bc8 4   5    drws1   ascii   G0PQ
2358 0x00023c92 0x00423c92 4   5    drws1   ascii   SUVW
2359 0x00023cdc 0x00423cdc 5   7    drws1   utf8    3ۍL$< blocks=Basic Latin,Arabic
2360 0x00023d1a 0x00423d1a 4   5    drws1   ascii   D$<P
2361 0x00023d41 0x00423d41 4   5    drws1   ascii   D$<P
2362 0x00023d9a 0x00423d9a 4   5    drws1   ascii   D$<P
2363 0x00023dfe 0x00423dfe 4   5    drws1   ascii   _^][
2364 0x00023e2b 0x00423e2b 9   10   drws1   ascii   f90u\aBf9p
2365 0x00023e81 0x00423e81 10  11   drws1   ascii   tNHt$HuD9w
2366 0x00023ea0 0x00423ea0 5   6    drws1   ascii   u/F;w
2367 0x00023f03 0x00423f03 4   5    drws1   ascii   D$$S
2368 0x00023f11 0x00423f11 4   5    drws1   ascii   L$,W
2369 0x00023f2c 0x00423f2c 4   5    drws1   ascii   L$(Q
2370 0x00023f58 0x00423f58 5   7    drws1   utf8    G3ɉL$ blocks=Basic Latin,Latin Extended-B
2371 0x00023feb 0x00423feb 4   5    drws1   ascii   EXf;
2372 0x00023ff3 0x00423ff3 4   5    drws1   ascii   D$4j
2373 0x00024045 0x00424045 6   9    drws1   utf8    Є\vD$4u blocks=Cyrillic,Basic Latin
2374 0x00024071 0x00424071 4   5    drws1   ascii   _^][
2375 0x00024128 0x00424128 4   5    drws1   ascii   t\apV
2376 0x00024217 0x00424217 4   5    drws1   ascii   QSV3
2377 0x00024269 0x00424269 11  12   drws1   ascii   tANNt4Nt(Nt
2378 0x000242b3 0x004242b3 5   6    drws1   ascii   ^hT)D
2379 0x00024316 0x00424316 4   5    drws1   ascii   SSVS
2380 0x0002432d 0x0042432d 6   7    drws1   ascii   QQSUVW
2381 0x00024340 0x00424340 6   7    drws1   ascii   t\bf9\au
2382 0x000243c5 0x004243c5 6   7    drws1   ascii   j\Xf9D
2383 0x00024409 0x00424409 6   7    drws1   ascii   t\tj\Xf
2384 0x00024434 0x00424434 6   7    drws1   ascii   _^][YY
2385 0x0002443d 0x0042443d 5   6    drws1   ascii   Vj.^3
2386 0x00024443 0x00424443 4   5    drws1   ascii   f91u
2387 0x0002444f 0x0042444f 4   5    drws1   ascii   t\vf;
2388 0x00024454 0x00424454 5   6    drws1   ascii   u\tf9A
2389 0x00024528 0x00424528 4   5    drws1   ascii   D$\fP
2390 0x00024564 0x00424564 5   6    drws1   ascii   L$\bt\a
2391 0x000245b5 0x004245b5 5   6    drws1   ascii   +=l)D
2392 0x000245fb 0x004245fb 4   5    drws1   ascii   PPPP
2393 0x00024600 0x00424600 4   5    drws1   ascii   t$$V
2394 0x0002462c 0x0042462c 5   7    drws1   utf8    3,<a|
2395 0x0002465e 0x0042465e 4   5    drws1   ascii   \rX)D
2396 0x00024814 0x00424814 5   6    drws1   ascii   QPVSS
2397 0x00024821 0x00424821 6   7    drws1   ascii   ~0f9\E
2398 0x00024833 0x00424833 4   6    drws1   utf8    LEԍE blocks=Basic Latin,Cyrillic Supplement
2399 0x00024911 0x00424911 5   7    drws1   utf8    DcX)D
2400 0x00024920 0x00424920 4   5    drws1   ascii   =p)D
2401 0x0002495b 0x0042495b 4   5    drws1   ascii   \rl)D
2402 0x000249af 0x004249af 5   6    drws1   ascii   u#VVj
2403 0x000249b5 0x004249b5 4   5    drws1   ascii   ht)D
2404 0x00024a28 0x00424a28 4   5    drws1   ascii   \rl)D
2405 0x00024a84 0x00424a84 4   5    drws1   ascii   PVUj
2406 0x00024abf 0x00424abf 4   5    drws1   ascii   PVUj
2407 0x00024ad4 0x00424ad4 4   6    drws1   utf8    !X)D
2408 0x00024aed 0x00424aed 4   5    drws1   ascii   D$ P
2409 0x00024afa 0x00424afa 5   6    drws1   ascii   +\rl)D
2410 0x00024b10 0x00424b10 4   5    drws1   ascii   D$$P
2411 0x00024b1d 0x00424b1d 5   6    drws1   ascii   +\rl)D
2412 0x00024b36 0x00424b36 4   5    drws1   ascii   T$ h
2413 0x00024b52 0x00424b52 4   5    drws1   ascii   T$ h
2414 0x00024b73 0x00424b73 4   5    drws1   ascii   t$ V
2415 0x00024b86 0x00424b86 4   5    drws1   ascii   _^]Y
2416 0x00024bbf 0x00424bbf 4   5    drws1   ascii   \rl)D
2417 0x00024ca6 0x00424ca6 4   5    drws1   ascii   SUVW
2418 0x00024cb1 0x00424cb1 4   5    drws1   ascii   D$,h
2419 0x00024cbf 0x00424cbf 7   8    drws1   ascii   D$0\26}
2420 0x00024cd1 0x00424cd1 7   9    drws1   utf8    3ɊD\f$0D blocks=Basic Latin,Latin Extended-B
2421 0x00024cfb 0x00424cfb 4   5    drws1   ascii   D$,P
2422 0x00024d63 0x00424d63 4   5    drws1   ascii   D$,j
2423 0x00024d74 0x00424d74 4   5    drws1   ascii   _^][
2424 0x00024da3 0x00424da3 4   5    drws1   ascii   %`6D
2425 0x00024daa 0x00424daa 4   5    drws1   ascii   =`6D
2426 0x00024e1c 0x00424e1c 4   5    drws1   ascii   \r`6D
2427 0x00024e21 0x00424e21 5   6    drws1   ascii   PhxcA
2428 0x00024e34 0x00424e34 6   7    drws1   ascii   @tXj\fY
2429 0x00024e9e 0x00424e9e 4   5    drws1   ascii   \r`6D
2430 0x00024ea9 0x00424ea9 4   5    drws1   ascii   5`6D
2431 0x00024edd 0x00424edd 4   5    drws1   ascii   SVPQ
2432 0x00024f25 0x00424f25 5   6    drws1   ascii   Phx~@
2433 0x00024f3c 0x00424f3c 4   5    drws1   ascii   u,9]
2434 0x00024fbc 0x00424fbc 4   5    drws1   ascii   <\bPE
2435 0x00025028 0x00425028 4   5    drws1   ascii   hSV2
2436 0x00025034 0x00425034 4   5    drws1   ascii   5d)D
2437 0x0002505b 0x0042505b 4   5    drws1   ascii   5d)D
2438 0x0002509b 0x0042509b 5   6    drws1   ascii   SUVW3
2439 0x0002510e 0x0042510e 4   5    drws1   ascii   D$\P
2440 0x00025113 0x00425113 4   5    drws1   ascii   5d)D
2441 0x00025123 0x00425123 9   10   drws1   ascii   D$XPSht)D
2442 0x00025167 0x00425167 4   5    drws1   ascii   \rX)D
2443 0x000251a9 0x004251a9 4   5    drws1   ascii   D$,P
2444 0x000251b4 0x004251b4 4   6    drws1   utf8    \rT$,
2445 0x000251e5 0x004251e5 4   5    drws1   ascii   D$\P
2446 0x000251ea 0x004251ea 4   5    drws1   ascii   5d)D
2447 0x000251ef 0x004251ef 5   6    drws1   ascii   h?SC*
2448 0x000251fa 0x004251fa 5   6    drws1   ascii   D$XP3
2449 0x00025262 0x00425262 6   9    drws1   utf8    3҄!\)D blocks=Basic Latin,Cyrillic
2450 0x00025273 0x00425273 4   6    drws1   utf8    EˉL$ blocks=Basic Latin,Spacing Modifier Letters
2451 0x0002529b 0x0042529b 4   5    drws1   ascii   \rl)D
2452 0x000252d3 0x004252d3 4   5    drws1   ascii   \rl)D
2453 0x00025326 0x00425326 4   5    drws1   ascii   D$\P
2454 0x0002532b 0x0042532b 4   5    drws1   ascii   5d)D
2455 0x00025330 0x00425330 5   6    drws1   ascii   h?SC*
2456 0x0002533b 0x0042533b 5   6    drws1   ascii   D$XP3
2457 0x00025341 0x00425341 6   7    drws1   ascii   PSht)D
2458 0x000253bb 0x004253bb 4   5    drws1   ascii   _^][
2459 0x000253c6 0x004253c6 4   5    drws1   ascii   QSV3
2460 0x000253d5 0x004253d5 4   5    drws1   ascii   teh\a
2461 0x0002548e 0x0042548e 4   5    drws1   ascii   t$<Q
2462 0x000254b6 0x004254b6 5   7    drws1   utf8    X2ۍl$ blocks=Basic Latin,Arabic
2463 0x00025507 0x00425507 4   6    drws1   utf8    8.3ҋ blocks=Basic Latin,Cyrillic
2464 0x0002553f 0x0042553f 4   5    drws1   ascii   D$<j
2465 0x0002554b 0x0042554b 4   5    drws1   ascii   info
2466 0x0002558a 0x0042558a 4   5    drws1   ascii   _^][
2467 0x00025598 0x00425598 6   7    drws1   ascii   \f$SUVW
2468 0x000255ae 0x004255ae 4   5    drws1   ascii   f9D$
2469 0x000255e7 0x004255e7 4   6    drws1   utf8    u>3ҹ blocks=Basic Latin,Cyrillic
2470 0x000255f5 0x004255f5 4   5    drws1   ascii   L$ R
2471 0x00025619 0x00425619 5   6    drws1   ascii   HHt\nF
2472 0x00025629 0x00425629 4   5    drws1   ascii   _^][
2473 0x0002566a 0x0042566a 4   6    drws1   utf8    A\b3\t
2474 0x00025693 0x00425693 4   5    drws1   ascii   l$\fW
2475 0x000256ca 0x004256ca 4   5    drws1   ascii   ^_][
2476 0x000256d9 0x004256d9 4   5    drws1   ascii   |$\fW
2477 0x000256ff 0x004256ff 5   6    drws1   ascii   ;G\bv$
2478 0x00025763 0x00425763 4   5    drws1   ascii   SVWh
2479 0x00025785 0x00425785 4   5    drws1   ascii   5d)D
2480 0x000257b5 0x004257b5 5   6    drws1   ascii   QPVSS
2481 0x000257c2 0x004257c2 6   7    drws1   ascii   ~5f9\E
2482 0x0002585b 0x0042585b 4   5    drws1   ascii   \rx5D
2483 0x00025862 0x00425862 4   5    drws1   ascii   5|5D
2484 0x00025874 0x00425874 5   6    drws1   ascii   Vht)D
2485 0x000258d1 0x004258d1 4   5    drws1   ascii   %|5D
2486 0x000258d8 0x004258d8 4   5    drws1   ascii   \rx5D
2487 0x000259c9 0x004259c9 4   7    drws1   utf8    L$\蠝 blocks=Basic Latin,CJK Unified Ideographs
2488 0x000259de 0x004259de 4   5    drws1   ascii   QVWP
2489 0x000259e3 0x004259e3 4   5    drws1   ascii   D$$P
2490 0x00025aa2 0x00425aa2 4   5    drws1   ascii   D$$P
2491 0x00025ac3 0x00425ac3 4   5    drws1   ascii   hh6D
2492 0x00025aeb 0x00425aeb 4   5    drws1   ascii   D$(P
2493 0x00025af0 0x00425af0 4   5    drws1   ascii   D$0P
2494 0x00025b63 0x00425b63 4   7    drws1   utf8    L$d蠛 blocks=Basic Latin,CJK Unified Ideographs
2495 0x00025b6b 0x00425b6b 5   6    drws1   ascii   QVWVW
2496 0x00025bd5 0x00425bd5 4   5    drws1   ascii   QVWj
2497 0x00025c6b 0x00425c6b 11  13   drws1   utf8    QSUVWj\f]U3ۋ blocks=Basic Latin,Arabic
2498 0x00025cc1 0x00425cc1 4   5    drws1   ascii   QQVW
2499 0x00025cda 0x00425cda 4   5    drws1   ascii   T$\fj
2500 0x00025d4a 0x00425d4a 8   9    drws1   ascii   QSVWj$[S
2501 0x00025dc9 0x00425dc9 4   5    drws1   ascii   t\nIt
2502 0x00025dd5 0x00425dd5 4   6    drws1   utf8    j2XÃ blocks=Basic Latin,Latin-1 Supplement
2503 0x00025ddb 0x00425ddb 5   6    drws1   ascii   $SUVW
2504 0x00025e9b 0x00425e9b 4   6    drws1   utf8    ؍L$  blocks=Arabic,Basic Latin
2505 0x00025eb0 0x00425eb0 4   5    drws1   ascii   _^][
2506 0x00025eba 0x00425eba 4   5    drws1   ascii   ,SUV
2507 0x00025ee1 0x00425ee1 4   6    drws1   utf8    3ۍL$ blocks=Basic Latin,Arabic
2508 0x00025f08 0x00425f08 4   6    drws1   utf8    Ȉ\$( blocks=Latin Extended-B,Basic Latin
2509 0x00025f32 0x00425f32 4   5    drws1   ascii   L$(S
2510 0x00025f48 0x00425f48 4   5    drws1   ascii   l$ S
2511 0x00025f54 0x00425f54 5   6    drws1   ascii   T$ PW
2512 0x00025fa5 0x00425fa5 4   6    drws1   utf8    ؍L$( blocks=Arabic,Basic Latin
2513 0x00025fba 0x00425fba 4   5    drws1   ascii   _^][
2514 0x00025fc5 0x00425fc5 4   5    drws1   ascii   SUVW
2515 0x00025ff9 0x00425ff9 8   11   drws1   utf8    T$(3ۋȈ\$ blocks=Basic Latin,Arabic,Latin Extended-B
2516 0x00026053 0x00426053 4   5    drws1   ascii   _^][
2517 0x0002605f 0x0042605f 4   5    drws1   ascii   4SUV
2518 0x00026084 0x00426084 5   6    drws1   ascii   D$0UP
2519 0x00026127 0x00426127 4   5    drws1   ascii   D$,P
2520 0x00026154 0x00426154 4   5    drws1   ascii   D$(9
2521 0x000261aa 0x004261aa 4   6    drws1   utf8    ՍL$( blocks=Armenian,Basic Latin
2522 0x000261dd 0x004261dd 4   5    drws1   ascii   _^][
2523 0x000261e5 0x004261e5 5   6    drws1   ascii   QQSUV
2524 0x0002624a 0x0042624a 6   7    drws1   ascii   _^][YY
2525 0x0002629c 0x0042629c 4   5    drws1   ascii   QQVW
2526 0x000262c1 0x004262c1 4   5    drws1   ascii   u\t9M
2527 0x0002632d 0x0042632d 4   5    drws1   ascii   QQVW
2528 0x00026354 0x00426354 4   5    drws1   ascii   u\t9M
2529 0x000263c3 0x004263c3 4   5    drws1   ascii   QQVW
2530 0x000263e8 0x004263e8 4   5    drws1   ascii   u\t9M
2531 0x00026405 0x00426405 6   7    drws1   ascii   QQVWjd
2532 0x00026428 0x00426428 4   5    drws1   ascii   u\t9M
2533 0x00026448 0x00426448 4   5    drws1   ascii   QSVW
2534 0x00026469 0x00426469 4   5    drws1   ascii   $Vjd
2535 0x00026495 0x00426495 4   6    drws1   utf8    ]Ã|$ blocks=Basic Latin,Latin-1 Supplement
2536 0x000264b0 0x004264b0 6   7    drws1   ascii   t\rA;L$
2537 0x00026501 0x00426501 4   5    drws1   ascii   \vQRU
2538 0x00026548 0x00426548 5   6    drws1   ascii   F\bj/S
2539 0x0002655a 0x0042655a 4   5    drws1   ascii   tA8X
2540 0x000265ab 0x004265ab 4   5    drws1   ascii   t$\bW
2541 0x000265bc 0x004265bc 4   5    drws1   ascii   FWQV
2542 0x000265d9 0x004265d9 5   6    drws1   ascii   <\rv\f<
2543 0x000265df 0x004265df 5   6    drws1   ascii   t\b<>t
2544 0x0002667f 0x0042667f 4   6    drws1   utf8    2҈T$ blocks=Basic Latin,Cyrillic
2545 0x0002668d 0x0042668d 4   5    drws1   ascii   v#Rj
2546 0x000266b2 0x004266b2 4   6    drws1   utf8    2\bD$
2547 0x00026740 0x00426740 4   5    drws1   ascii   <&u+
2548 0x00026778 0x00426778 4   7    drws1   utf8    뙋T$\f blocks=Hangul Syllables,Basic Latin
2549 0x0002677f 0x0042677f 4   5    drws1   ascii   L$\bV
2550 0x000267ac 0x004267ac 5   6    drws1   ascii   PhzgB
2551 0x000267da 0x004267da 4   5    drws1   ascii   L$ =
2552 0x0002680e 0x0042680e 4   6    drws1   utf8    3\rL$
2553 0x00026825 0x00426825 4   5    drws1   ascii   Y9L$
2554 0x0002684f 0x0042684f 4   5    drws1   ascii   L$ j
2555 0x00026894 0x00426894 5   6    drws1   ascii   wP9)t
2556 0x000268f4 0x004268f4 4   6    drws1   utf8    l$,3
2557 0x000268fb 0x004268fb 5   6    drws1   ascii   \f8D$4
2558 0x0002690d 0x0042690d 5   6    drws1   ascii   D$(Pf
2559 0x00026916 0x00426916 4   5    drws1   ascii   G\vUP
2560 0x00026963 0x00426963 5   6    drws1   ascii   D$8^<
2561 0x00026998 0x00426998 4   5    drws1   ascii   _^][
2562 0x000269a4 0x004269a4 4   5    drws1   ascii   \fSUV
2563 0x00026a49 0x00426a49 4   5    drws1   ascii   _^][
2564 0x00026af7 0x00426af7 5   6    drws1   ascii   \b8_\bt
2565 0x00026b1f 0x00426b1f 4   5    drws1   ascii   _^][
2566 0x00026b57 0x00426b57 4   5    drws1   ascii   Wu\a2
2567 0x00026b82 0x00426b82 4   5    drws1   ascii   _9|$
2568 0x00026b9d 0x00426b9d 5   6    drws1   ascii   QPQQj
2569 0x00026ba4 0x00426ba4 4   5    drws1   ascii   t$0j
2570 0x00026bc8 0x00426bc8 4   6    drws1   utf8    EًL$ blocks=Basic Latin,Arabic
2571 0x00026bd4 0x00426bd4 4   5    drws1   ascii   N\vOu
2572 0x00026be2 0x00426be2 5   6    drws1   ascii   _^][Y
2573 0x00026bf1 0x00426bf1 6   7    drws1   ascii   W93u\a2
2574 0x00026c93 0x00426c93 4   5    drws1   ascii   _^][
2575 0x00026ca4 0x00426ca4 4   5    drws1   ascii   L$(W
2576 0x00026d02 0x00426d02 5   6    drws1   ascii   D$`WP
2577 0x00026d2f 0x00426d2f 4   6    drws1   utf8    ̍L$x blocks=Combining Diacritical Marks,Basic Latin
2578 0x00026d44 0x00426d44 4   6    drws1   utf8    ÉD$  blocks=Latin-1 Supplement,Basic Latin
2579 0x00026d5d 0x00426d5d 4   5    drws1   ascii   D$4Y
2580 0x00026d78 0x00426d78 4   5    drws1   ascii   T$(f
2581 0x00026d7e 0x00426d7e 7   8    drws1   ascii   u$f9^9u
2582 0x00026da5 0x00426da5 7   9    drws1   utf8    D$ 3ҍ<m blocks=Basic Latin,Cyrillic
2583 0x00026dc5 0x00426dc5 4   5    drws1   ascii   D$0f
2584 0x00026dd3 0x00426dd3 7   9    drws1   utf8    \bf\vȍF#j blocks=Basic Latin,Latin Extended-B
2585 0x00026de2 0x00426de2 5   6    drws1   ascii   +f9^9
2586 0x00026df2 0x00426df2 4   5    drws1   ascii   D$0f
2587 0x00026e00 0x00426e00 7   9    drws1   utf8    \bf\vȍF)j blocks=Basic Latin,Latin Extended-B
2588 0x00026e0b 0x00426e0b 5   6    drws1   ascii   D$@Pf
2589 0x00026e51 0x00426e51 4   5    drws1   ascii   L$,P
2590 0x00026e69 0x00426e69 4   5    drws1   ascii   D$4h
2591 0x00026e99 0x00426e99 4   5    drws1   ascii   D$|P
2592 0x00026ed6 0x00426ed6 4   5    drws1   ascii   t$(8
2593 0x00026f0c 0x00426f0c 5   6    drws1   ascii   D$`VP
2594 0x00026f1c 0x00426f1c 6   7    drws1   ascii   u\vSjf3
2595 0x00026f4e 0x00426f4e 4   5    drws1   ascii   D$ ;
2596 0x00026f71 0x00426f71 5   6    drws1   ascii   D$PSP
2597 0x00026f80 0x00426f80 4   5    drws1   ascii   D$\j
2598 0x00026fc6 0x00426fc6 4   5    drws1   ascii   _^][
2599 0x00027016 0x00427016 4   5    drws1   ascii   $SVW
2600 0x0002710e 0x0042710e 4   5    drws1   ascii   j\bZ;
2601 0x000271a4 0x004271a4 4   5    drws1   ascii   \f_^[
2602 0x000271ac 0x004271ac 4   5    drws1   ascii   \$\fV
2603 0x000271f8 0x004271f8 4   5    drws1   ascii   JFG:
2604 0x00027205 0x00427205 4   5    drws1   ascii   @_^[
2605 0x00027212 0x00427212 4   5    drws1   ascii   SUVW
2606 0x00027233 0x00427233 4   5    drws1   ascii   D$4\e
2607 0x0002724a 0x0042724a 4   5    drws1   ascii   \a;G\b
2608 0x00027264 0x00427264 4   5    drws1   ascii   D$8t
2609 0x0002728f 0x0042728f 4   6    drws1   utf8    Љt$( blocks=Cyrillic,Basic Latin
2610 0x000272c1 0x004272c1 4   6    drws1   utf8    \b\vȀ} blocks=Basic Latin,Latin Extended-B
2611 0x000272fd 0x004272fd 7   9    drws1   utf8    Gl+ID$p
2612 0x0002730c 0x0042730c 5   7    drws1   utf8    +ID$t
2613 0x00027436 0x00427436 4   5    drws1   ascii   G\f94
2614 0x00027458 0x00427458 4   6    drws1   utf8    ΉD$( blocks=Greek and Coptic,Basic Latin
2615 0x0002745e 0x0042745e 5   6    drws1   ascii   L$$~3
2616 0x00027478 0x00427478 7   8    drws1   ascii   w$E;o |
2617 0x00027491 0x00427491 4   5    drws1   ascii   D$(3
2618 0x000274a1 0x004274a1 5   6    drws1   ascii   ;G(v]
2619 0x000274e1 0x004274e1 4   5    drws1   ascii   G\f94
2620 0x000274f0 0x004274f0 4   5    drws1   ascii   ;W(v
2621 0x000274f9 0x004274f9 4   7    drws1   utf8    벋L$$ blocks=Hangul Syllables,Basic Latin
2622 0x00027500 0x00427500 4   5    drws1   ascii   D$(A
2623 0x00027505 0x00427505 6   7    drws1   ascii   L$$;O 
2624 0x00027550 0x00427550 4   5    drws1   ascii   G\f94
2625 0x0002755c 0x0042755c 4   5    drws1   ascii   D$$@
