[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000150 0x00000150 4   5            ascii   Rich
1    0x0000029c 0x0000029c 5   6            ascii   .text
2    0x000002c3 0x000002c3 7   8            ascii   `.rdata
3    0x000002eb 0x000002eb 5   6            ascii   @.crt
4    0x00000314 0x00000314 5   6            ascii   .rsrc
5    0x0000033b 0x0000033b 7   8            ascii   @.reloc
1820 0x0001dc7d 0x1001f27d 5   7    .rdata  utf8    oMBצ8 blocks=Basic Latin,Hebrew
1821 0x0001dcc4 0x1001f2c4 4   7    .rdata  utf8    m䜐/$ blocks=Basic Latin,CJK Unified Ideographs Extension A
1822 0x0001dce2 0x1001f2e2 4   5    .rdata  ascii   r98u
1823 0x0001dcf6 0x1001f2f6 4   5    .rdata  ascii   W?r<
1824 0x0001dcfb 0x1001f2fb 6   9    .rdata  utf8    ޛ[\eriʣ blocks=Thaana,Basic Latin,IPA Extensions
1825 0x0001dd26 0x1001f326 8   10   .rdata  utf8    B¨.qi2B0 blocks=Basic Latin,Latin-1 Supplement
1826 0x0001dd30 0x1001f330 5   7    .rdata  utf8    =ɖHKe blocks=Basic Latin,IPA Extensions
1827 0x0001ddcb 0x1001f3cb 4   5    .rdata  ascii   \rwY\e
1828 0x0001dde7 0x1001f3e7 5   6    .rdata  ascii   k[:H\e
1829 0x0001de22 0x1001f422 4   5    .rdata  ascii   r98u
1830 0x0001de3c 0x1001f43c 4   6    .rdata  utf8    n8֣\f blocks=Basic Latin,Hebrew
1831 0x0001de47 0x1001f447 7   8    .rdata  ascii   `SBH'!x
1832 0x0001de50 0x1001f450 5   7    .rdata  utf8    qƤ`kV blocks=Basic Latin,Latin Extended-B
1833 0x0001de6f 0x1001f46f 4   5    .rdata  ascii   ./CV
1834 0x0001deab 0x1001f4ab 4   5    .rdata  ascii   \rwY\e
1835 0x0001dec4 0x1001f4c4 5   6    .rdata  ascii   mjgC&
1836 0x0001df07 0x1001f507 4   5    .rdata  ascii   b8x4
1837 0x0001df3a 0x1001f53a 5   7    .rdata  utf8    Lvъ!q blocks=Basic Latin,Cyrillic
1838 0x0001df4a 0x1001f54a 4   5    .rdata  ascii   Yw1F
1839 0x0001dfce 0x1001f5ce 5   6    .rdata  ascii   K\aEoY
1840 0x0001dfe1 0x1001f5e1 4   5    .rdata  ascii   Nmyg
1841 0x0001dfe7 0x1001f5e7 6   7    .rdata  ascii   >]\nH\vq
1842 0x0001e03d 0x1001f63d 4   7    .rdata  utf8    V"m blocks=Basic Latin,Private Use Area
1843 0x0001e07c 0x1001f67c 6   7    .rdata  ascii   -orCl 
1844 0x0001e0aa 0x1001f6aa 4   5    .rdata  ascii   4y"R
1845 0x0001e0c1 0x1001f6c1 8   9    .rdata  ascii   Or9mbg?[
1846 0x0001e0de 0x1001f6de 5   6    .rdata  ascii   YS\f'm
1847 0x0001e0fc 0x1001f6fc 4   5    .rdata  ascii   \rcm2
1848 0x0001e124 0x1001f724 4   5    .rdata  ascii   mbgC
1849 0x0001e14d 0x1001f74d 5   6    .rdata  ascii   \f:JhT
1850 0x0001e15c 0x1001f75c 4   5    .rdata  ascii   D\rrr
1851 0x0001e169 0x1001f769 6   8    .rdata  utf8    \nH\v"xҭ blocks=Basic Latin,Cyrillic
1852 0x0001e17a 0x1001f77a 4   6    .rdata  utf8    XӫOb blocks=Basic Latin,Cyrillic
1853 0x0001e190 0x1001f790 4   6    .rdata  utf8    -`~Ť blocks=Basic Latin,Latin Extended-A
1854 0x0001e1e6 0x1001f7e6 4   5    .rdata  ascii   B6PC
1855 0x0001e263 0x1001f863 4   5    .rdata  ascii   )_jC
1856 0x0001e2e2 0x1001f8e2 10  11   .rdata  ascii   r9mbg;%Q\fk
1857 0x0001e2f1 0x1001f8f1 4   5    .rdata  ascii   "/wx
1858 0x0001e340 0x1001f940 4   5    .rdata  ascii   J^f^
1859 0x0001e349 0x1001f949 5   6    .rdata  ascii   Sh'1V
1860 0x0001e363 0x1001f963 4   5    .rdata  ascii   6.BG
1861 0x0001e389 0x1001f989 4   5    .rdata  ascii   Sp'%
1862 0x0001e392 0x1001f992 6   7    .rdata  ascii   !06m@\n
1863 0x0001e3bb 0x1001f9bb 4   5    .rdata  ascii   ^n8q
1864 0x0001e3fc 0x1001f9fc 4   5    .rdata  ascii   5ozZ
1865 0x0001e44a 0x1001fa4a 4   5    .rdata  ascii   ym)l
1866 0x0001e486 0x1001fa86 7   9    .rdata  utf8    B Sh'MT blocks=Basic Latin,Latin-1 Supplement
1867 0x0001e4a3 0x1001faa3 4   5    .rdata  ascii   )_"C
1868 0x0001e51d 0x1001fb1d 5   6    .rdata  ascii   JaZ!\r
1869 0x0001e532 0x1001fb32 4   5    .rdata  ascii   \e xb
1870 0x0001e53b 0x1001fb3b 5   6    .rdata  ascii   ^m\taq
1871 0x0001e542 0x1001fb42 6   9    .rdata  utf8    WYˀA6Ϯ blocks=Basic Latin,Spacing Modifier Letters,Greek and Coptic
1872 0x0001e565 0x1001fb65 5   6    .rdata  ascii   \eB6#\e
1873 0x0001e56f 0x1001fb6f 4   5    .rdata  ascii   O,@#
1874 0x0001e584 0x1001fb84 6   7    .rdata  ascii   b\eB6-!
1875 0x0001e5f0 0x1001fbf0 4   5    .rdata  ascii   3`~Q
1876 0x0001e624 0x1001fc24 5   7    .rdata  utf8    WvBjϘ blocks=Basic Latin,Greek and Coptic
1877 0x0001e63e 0x1001fc3e 4   5    .rdata  ascii   bZ\r\r
1878 0x0001e6c2 0x1001fcc2 4   5    .rdata  ascii   r98u
1879 0x0001e6c9 0x1001fcc9 4   6    .rdata  utf8    گOE, blocks=Arabic,Basic Latin
1880 0x0001e6fd 0x1001fcfd 4   6    .rdata  utf8    ֒ZM\f blocks=Hebrew,Basic Latin
1881 0x0001e723 0x1001fd23 5   6    .rdata  ascii   i"\tEj
1882 0x0001e741 0x1001fd41 6   7    .rdata  ascii   O26.BG
1883 0x0001e789 0x1001fd89 4   5    .rdata  ascii   Qh'I
1884 0x0001e7fc 0x1001fdfc 4   5    .rdata  ascii   tE)v
1885 0x0001e888 0x1001fe88 5   6    .rdata  ascii   [\nH\av
1886 0x0001e8c9 0x1001fec9 5   6    .rdata  ascii   N4E!a
1887 0x0001e8cf 0x1001fecf 6   7    .rdata  ascii   K-z\n'H
1888 0x0001e8fe 0x1001fefe 4   6    .rdata  utf8    M3צ5 blocks=Basic Latin,Hebrew
1889 0x0001e93f 0x1001ff3f 4   5    .rdata  ascii   23Pk
1890 0x0001e96f 0x1001ff6f 4   6    .rdata  utf8    .Aϖb blocks=Basic Latin,Greek and Coptic
1891 0x0001e97c 0x1001ff7c 5   6    .rdata  ascii   .EMw@
1892 0x0001e99e 0x1001ff9e 4   5    .rdata  ascii   brlp
1893 0x0001e9a3 0x1001ffa3 5   6    .rdata  ascii   {k2g"
1894 0x0001e9e4 0x1001ffe4 4   5    .rdata  ascii   J~7x
1895 0x0001ea0e 0x1002000e 4   5    .rdata  ascii   <g5z
1896 0x0001ea33 0x10020033 4   5    .rdata  ascii   b5vs
1897 0x0001ea3d 0x1002003d 4   5    .rdata  ascii   Obr\n
1898 0x0001ea42 0x10020042 5   6    .rdata  ascii   "o(bD
1899 0x0001eb63 0x10020163 5   6    .rdata  ascii   _6SCF
1900 0x0001eb93 0x10020193 4   5    .rdata  ascii   `U-{
1901 0x0001eba3 0x100201a3 5   6    .rdata  ascii   4nBC8
1902 0x0001ec0a 0x1002020a 7   9    .rdata  utf8    H\e\tÀB,C blocks=Basic Latin,Latin-1 Supplement
1903 0x0001ec3b 0x1002023b 5   6    .rdata  ascii   C?3T*
1904 0x0001ec41 0x10020241 6   7    .rdata  ascii   N86.B[
1905 0x0001ec5c 0x1002025c 4   5    .rdata  ascii   ;34*
1906 0x0001ec64 0x10020264 4   5    .rdata  ascii   ojgO
1907 0x0001ec8a 0x1002028a 4   5    .rdata  ascii   H\a\tC
1908 0x0001ec8f 0x1002028f 4   5    .rdata  ascii   B,Ch
1909 0x0001ec9c 0x1002029c 4   5    .rdata  ascii   ?3Lo
1910 0x0001eca1 0x100202a1 6   7    .rdata  ascii   Nmto2g
1911 0x0001ecb8 0x100202b8 4   5    .rdata  ascii   ow=/
1912 0x0001ed47 0x10020347 4   5    .rdata  ascii   FTI%
1913 0x0001ed7e 0x1002037e 4   5    .rdata  ascii   Jo1N
1914 0x0001edbb 0x100203bb 6   9    .rdata  utf8    vSKa楃5 blocks=Basic Latin,CJK Unified Ideographs
1915 0x0001eef2 0x100204f2 4   5    .rdata  ascii   \e xH
1916 0x0001ef05 0x10020505 6   9    .rdata  utf8    "B6Ϯڷ  blocks=Basic Latin,Greek and Coptic,Arabic
1917 0x0001ef28 0x10020528 5   6    .rdata  ascii   [\nH\av
1918 0x0001f021 0x10020621 4   6    .rdata  utf8    OոQ3 blocks=Basic Latin,Armenian
1919 0x0001f05d 0x1002065d 4   6    .rdata  utf8    :Sؐ* blocks=Basic Latin,Arabic
1920 0x0001f088 0x10020688 4   5    .rdata  ascii   8~v_
1921 0x0001f0a8 0x100206a8 4   5    .rdata  ascii   [\nH\a
1922 0x0001f123 0x10020723 4   5    .rdata  ascii   )a"C
1923 0x0001f168 0x10020768 5   7    .rdata  utf8    BƓZPi blocks=Basic Latin,Latin Extended-B
1924 0x0001f17f 0x1002077f 6   7    .rdata  ascii   O[Y2H\v
1925 0x0001f1a8 0x100207a8 4   5    .rdata  ascii   g1#i
1926 0x0001f1df 0x100207df 5   6    .rdata  ascii   gWYBH
1927 0x0001f20e 0x1002080e 4   5    .rdata  ascii   /oA[
1928 0x0001f275 0x10020875 6   7    .rdata  ascii   \rwJ\a N
1929 0x0001f295 0x10020895 4   5    .rdata  ascii   5ozZ
1930 0x0001f29d 0x1002089d 5   6    .rdata  ascii   mbgG[
1931 0x0001f2ce 0x100208ce 4   5    .rdata  ascii   =r}K
1932 0x0001f2e4 0x100208e4 4   5    .rdata  ascii   GElQ
1933 0x0001f2fc 0x100208fc 8   9    .rdata  ascii   422F\t[>H
1934 0x0001f341 0x10020941 4   5    .rdata  ascii   Y\nH\v
1935 0x0001f38c 0x1002098c 6   8    .rdata  utf8    oqfUȽW blocks=Basic Latin,Latin Extended-B
1936 0x0001f423 0x10020a23 7   8    .rdata  ascii   H\e\t#eB,
1937 0x0001f446 0x10020a46 4   5    .rdata  ascii   (LC-
1938 0x0001f469 0x10020a69 4   5    .rdata  ascii   Q(~9
1939 0x0001f4a1 0x10020aa1 5   6    .rdata  ascii   'Qp'}
1940 0x0001f4db 0x10020adb 4   5    .rdata  ascii   94&B
1941 0x0001f4e2 0x10020ae2 4   5    .rdata  ascii   Qx'I
1942 0x0001f4eb 0x10020aeb 4   5    .rdata  ascii   MdS/
1943 0x0001f503 0x10020b03 7   8    .rdata  ascii   H_\tCdB,
1944 0x0001f53c 0x10020b3c 4   5    .rdata  ascii   6.BW
1945 0x0001f54e 0x10020b4e 4   6    .rdata  utf8    1;ݓw blocks=Basic Latin,Arabic Supplement
1946 0x0001f5ce 0x10020bce 4   6    .rdata  utf8    eػN4 blocks=Basic Latin,Arabic
1947 0x0001f5f4 0x10020bf4 4   5    .rdata  ascii   z\rX-
1948 0x0001f5fa 0x10020bfa 4   5    .rdata  ascii   GA\a?
1949 0x0001f5ff 0x10020bff 4   5    .rdata  ascii   S7#Q
1950 0x0001f666 0x10020c66 4   5    .rdata  ascii   Ip.H
1951 0x0001f66b 0x10020c6b 5   7    .rdata  utf8    XkQ'ѵ blocks=Basic Latin,Cyrillic
1952 0x0001f6d3 0x10020cd3 4   5    .rdata  ascii   TyOZ
1953 0x0001f6f7 0x10020cf7 4   6    .rdata  utf8    *ؐ%o blocks=Basic Latin,Arabic
1954 0x0001f739 0x10020d39 4   6    .rdata  utf8    ڗm.J blocks=Arabic,Basic Latin
1955 0x0001f73f 0x10020d3f 4   6    .rdata  utf8    B6xǙ blocks=Basic Latin,Latin Extended-B
1956 0x0001f75b 0x10020d5b 6   7    .rdata  ascii   giV*Bn
1957 0x0001f775 0x10020d75 4   5    .rdata  ascii   QJaq
1958 0x0001f7bd 0x10020dbd 4   5    .rdata  ascii   ojg?
1959 0x0001f7d4 0x10020dd4 4   5    .rdata  ascii   L*cJ
1960 0x0001f7f3 0x10020df3 4   6    .rdata  utf8    Sf9خ blocks=Basic Latin,Arabic
1961 0x0001f800 0x10020e00 4   5    .rdata  ascii   /]:H
1962 0x0001f814 0x10020e14 5   8    .rdata  utf8    ulCc硹 blocks=Basic Latin,CJK Unified Ideographs
1963 0x0001f81c 0x10020e1c 4   5    .rdata  ascii   6.BK
1964 0x0001f847 0x10020e47 4   5    .rdata  ascii   K\aQk
1965 0x0001f89d 0x10020e9d 4   5    .rdata  ascii   k"gF
1966 0x0001f8df 0x10020edf 4   6    .rdata  utf8    ;9Eӧ blocks=Basic Latin,Cyrillic
1967 0x0001f8e5 0x10020ee5 7   9    .rdata  utf8    #x\b.3ם` blocks=Basic Latin,Hebrew
1968 0x0001f91f 0x10020f1f 4   5    .rdata  ascii   \aC-!
1969 0x0001f943 0x10020f43 4   5    .rdata  ascii   (SsY
1970 0x0001f9b8 0x10020fb8 4   6    .rdata  utf8    5ڨ=k blocks=Basic Latin,Arabic
1971 0x0001f9d5 0x10020fd5 4   5    .rdata  ascii   &Jaq
1972 0x0001f9eb 0x10020feb 4   5    .rdata  ascii   !'bf
1973 0x0001fa28 0x10021028 4   6    .rdata  utf8    Rsա& blocks=Basic Latin,Armenian
1974 0x0001fa73 0x10021073 5   7    .rdata  utf8    ך\tTbt blocks=Hebrew,Basic Latin
1975 0x0001fa7d 0x1002107d 8   9    .rdata  ascii   kjgCY"H'
1976 0x0001fafc 0x100210fc 4   5    .rdata  ascii   46BS
1977 0x0001fb3b 0x1002113b 9   11   .rdata  utf8    b,^BK7Dю_ blocks=Basic Latin,Cyrillic
1978 0x0001fb55 0x10021155 4   5    .rdata  ascii   5ovZ
1979 0x0001fb5b 0x1002115b 4   7    .rdata  utf8    ᨩbg_ blocks=Tai Tham,Basic Latin
1980 0x0001fb7c 0x1002117c 8   10   .rdata  utf8    6.Bkr!ޯ\ blocks=Basic Latin,Thaana
1981 0x0001fbed 0x100211ed 4   6    .rdata  utf8    \nj3݇ blocks=Basic Latin,Syriac
1982 0x0001fc38 0x10021238 4   6    .rdata  utf8    v3Pͫ blocks=Basic Latin,Combining Diacritical Marks
1983 0x0001fc9c 0x1002129c 5   6    .rdata  ascii   29"\t~
1984 0x0001fcba 0x100212ba 4   5    .rdata  ascii   NmpA
1985 0x0001fd1e 0x1002131e 4   5    .rdata  ascii   d~.L
1986 0x0001fd29 0x10021329 5   6    .rdata  ascii   Q@~yO
1987 0x0001fd35 0x10021335 4   5    .rdata  ascii   \rOJC
1988 0x0001fd3d 0x1002133d 4   5    .rdata  ascii   mjgc
1989 0x0001fddf 0x100213df 4   5    .rdata  ascii   B6&Q
1990 0x0001fe38 0x10021438 4   6    .rdata  utf8    v1Pͫ blocks=Basic Latin,Combining Diacritical Marks
1991 0x0001fe44 0x10021444 4   5    .rdata  ascii   WE$M
1992 0x0001ff3f 0x1002153f 6   8    .rdata  utf8    B6 Ř'- blocks=Basic Latin,Latin Extended-A
1993 0x0001ff47 0x10021547 4   5    .rdata  ascii   <g]z
1994 0x0001ff81 0x10021581 4   8    .rdata  utf8    ѱ&5ለ blocks=Cyrillic,Basic Latin,Ethiopic
1995 0x0001ff9c 0x1002159c 4   5    .rdata  ascii   2NBG
1996 0x0001ffd5 0x100215d5 4   5    .rdata  ascii   \rkJ\e
1997 0x0001fff8 0x100215f8 4   6    .rdata  utf8    ͅ7,: blocks=Combining Diacritical Marks,Basic Latin
1998 0x00020000 0x10021600 5   6    .rdata  ascii   \a]\nH\a
1999 0x00020032 0x10021632 4   5    .rdata  ascii   ] z\r
2000 0x000200a2 0x100216a2 4   5    .rdata  ascii   Sp'%
2001 0x000200ac 0x100216ac 7   9    .rdata  utf8    `S/;ݏw% blocks=Basic Latin,Syriac
2002 0x0002017e 0x1002177e 4   5    .rdata  ascii    v6]
2003 0x00020190 0x10021790 6   8    .rdata  utf8    !K`2dѪ blocks=Basic Latin,Cyrillic
2004 0x000201a2 0x100217a2 4   5    .rdata  ascii   Sp'%
2005 0x000201b0 0x100217b0 4   5    .rdata  ascii   \tZe 
2006 0x000201bd 0x100217bd 5   6    .rdata  ascii   NeB6]
2007 0x000201e5 0x100217e5 4   5    .rdata  ascii   \r(S,
2008 0x00020215 0x10021815 4   7    .rdata  utf8    SKﾥS blocks=Basic Latin,Halfwidth and Fullwidth Forms
2009 0x00020255 0x10021855 5   6    .rdata  ascii   5ofZm
2010 0x000202c5 0x100218c5 5   6    .rdata  ascii   \t3PB,
2011 0x000202e8 0x100218e8 4   5    .rdata  ascii   v,g~
2012 0x0002033d 0x1002193d 5   6    .rdata  ascii   \ndB6]
2013 0x00020365 0x10021965 4   5    .rdata  ascii   -(2C
2014 0x00020378 0x10021978 4   5    .rdata  ascii   zi:o
2015 0x00020382 0x10021982 8   9    .rdata  ascii   Sh'%T\e+A
2016 0x00020448 0x10021a48 4   6    .rdata  utf8    B,ʕ_ blocks=Basic Latin,IPA Extensions
2017 0x00020475 0x10021a75 6   7    .rdata  ascii   \rSJ_\rN
2018 0x00020483 0x10021a83 4   5    .rdata  ascii   (S x
2019 0x000204a5 0x10021aa5 5   6    .rdata  ascii   wWK/=
2020 0x0002053a 0x10021b3a 5   6    .rdata  ascii   NmvL>
2021 0x00020555 0x10021b55 5   7    .rdata  utf8    5ofZђ blocks=Basic Latin,Cyrillic
2022 0x0002057c 0x10021b7c 4   6    .rdata  utf8    .ؒ_F blocks=Basic Latin,Arabic
2023 0x000205a3 0x10021ba3 5   7    .rdata  utf8    4m1nȚ blocks=Basic Latin,Latin Extended-B
2024 0x000205b6 0x10021bb6 5   9    .rdata  utf8    Wﾥwʢf blocks=Basic Latin,Halfwidth and Fullwidth Forms,IPA Extensions
2025 0x000205e1 0x10021be1 5   6    .rdata  ascii   #0%Sq
2026 0x000205e7 0x10021be7 4   5    .rdata  ascii   <gMe
2027 0x000205fb 0x10021bfb 5   6    .rdata  ascii   A6.Bk
2028 0x0002061c 0x10021c1c 8   9    .rdata  ascii   4>BS"'I#
2029 0x00020635 0x10021c35 4   7    .rdata  utf8    t ﾥo blocks=Basic Latin,Halfwidth and Fullwidth Forms
2030 0x00020662 0x10021c62 4   5    .rdata  ascii   Qh'i
2031 0x0002067e 0x10021c7e 4   5    .rdata  ascii   NB6[
2032 0x0002068c 0x10021c8c 5   6    .rdata  ascii   _6dr}
2033 0x00020695 0x10021c95 5   6    .rdata  ascii   G\rnri
2034 0x00020733 0x10021d33 5   6    .rdata  ascii   {7lJa
2035 0x00020775 0x10021d75 4   5    .rdata  ascii   /[3Z
2036 0x0002079d 0x10021d9d 5   6    .rdata  ascii   mbg;[
2037 0x000207ab 0x10021dab 7   9    .rdata  utf8    \fd6d/|ŏ blocks=Basic Latin,Latin Extended-A
2038 0x000207bd 0x10021dbd 5   6    .rdata  ascii   mjg?[
2039 0x000207cc 0x10021dcc 4   6    .rdata  utf8    `['ǹ blocks=Basic Latin,Latin Extended-B
2040 0x000207df 0x10021ddf 6   8    .rdata  utf8    G[:ƱN% blocks=Basic Latin,Latin Extended-B
2041 0x000207eb 0x10021deb 4   5    .rdata  ascii   #t'\f
2042 0x0002081d 0x10021e1d 5   6    .rdata  ascii   mbgk[
2043 0x00020859 0x10021e59 4   5    .rdata  ascii   :Om$
2044 0x0002087c 0x10021e7c 5   6    .rdata  ascii   4&BWt
2045 0x000208cd 0x10021ecd 4   6    .rdata  utf8    ٌ=9Z blocks=Arabic,Basic Latin
2046 0x000208fe 0x10021efe 4   5    .rdata  ascii   \f+,Q
2047 0x00020921 0x10021f21 4   6    .rdata  utf8    &άY1 blocks=Basic Latin,Greek and Coptic
2048 0x0002093b 0x10021f3b 6   8    .rdata  utf8    mv4tΉ\f blocks=Basic Latin,Greek and Coptic
2049 0x00020956 0x10021f56 5   6    .rdata  ascii   vAi`R
2050 0x00020962 0x10021f62 6   7    .rdata  ascii   K#w*[S
2051 0x0002098a 0x10021f8a 6   7    .rdata  ascii   &!|'/A
2052 0x0002099c 0x10021f9c 4   5    .rdata  ascii   )_*C
2053 0x000209a7 0x10021fa7 4   5    .rdata  ascii   <gez
2054 0x000209b5 0x10021fb5 5   7    .rdata  utf8    ~n\vט\f blocks=Basic Latin,Hebrew
2055 0x000209bf 0x10021fbf 4   5    .rdata  ascii   !C78
2056 0x000209d6 0x10021fd6 6   7    .rdata  ascii   CObrM\e
2057 0x00020a5f 0x1002205f 4   5    .rdata  ascii   pI|S
2058 0x00020a92 0x10022092 6   9    .rdata  utf8    ^÷a(ְv blocks=Basic Latin,Latin-1 Supplement,Hebrew
2059 0x00020aa1 0x100220a1 6   8    .rdata  utf8    xȗ\fwN7 blocks=Basic Latin,Latin Extended-B
2060 0x00020abd 0x100220bd 5   6    .rdata  ascii   4.B_8
2061 0x00020ac5 0x100220c5 4   5    .rdata  ascii   Q%FU
2062 0x00020b00 0x10022100 4   5    .rdata  ascii   C7[v
2063 0x00020b3e 0x1002213e 4   8    .rdata  utf8    ⩉CӍt blocks=Supplemental Mathematical Operators,Basic Latin,Cyrillic
2064 0x00020b7b 0x1002217b 5   6    .rdata  ascii   NgiWV
2065 0x00020bb2 0x100221b2 4   5    .rdata  ascii   'xov
2066 0x00020bc1 0x100221c1 4   5    .rdata  ascii   CY\b,
2067 0x00020be0 0x100221e0 9   11   .rdata  utf8    C7P:?k.U͐ blocks=Basic Latin,Combining Diacritical Marks
2068 0x00020c1c 0x1002221c 5   6    .rdata  ascii   \v6&-E
2069 0x00020c23 0x10022223 4   5    .rdata  ascii   :H\a 
2070 0x00020c50 0x10022250 6   7    .rdata  ascii   M!K`2d
2071 0x00020c90 0x10022290 4   5    .rdata  ascii   Y7'[
2072 0x00020cca 0x100222ca 4   5    .rdata  ascii   3(\e)
2073 0x00020cf7 0x100222f7 6   8    .rdata  utf8    5}u{ڲj blocks=Basic Latin,Arabic
2074 0x00020d1e 0x1002231e 4   5    .rdata  ascii   mtg"
2075 0x00020d3e 0x1002233e 4   5    .rdata  ascii   mbgk
2076 0x00020d92 0x10022392 4   6    .rdata  utf8    !գvl blocks=Basic Latin,Armenian
2077 0x00020dae 0x100223ae 4   6    .rdata  utf8    k!\ʹ blocks=Basic Latin,Spacing Modifier Letters
2078 0x00020dc3 0x100223c3 7   8    .rdata  ascii   Qj\v 8pB
2079 0x00020e0d 0x1002240d 6   7    .rdata  ascii   p6dw\bg
2080 0x00020e4a 0x1002244a 4   5    .rdata  ascii   }$!'
2081 0x00020e7e 0x1002247e 6   8    .rdata  utf8    e\nw¹Qi blocks=Basic Latin,Latin-1 Supplement
2082 0x00020eae 0x100224ae 4   5    .rdata  ascii   \a/b1
2083 0x00020efe 0x100224fe 4   5    .rdata  ascii   fMD7
2084 0x00020f5e 0x1002255e 5   6    .rdata  ascii   mbgW[
2085 0x00020faa 0x100225aa 5   6    .rdata  ascii   Q@~1F
2086 0x00020fd6 0x100225d6 4   5    .rdata  ascii   ]ozZ
2087 0x00021085 0x10022685 4   7    .rdata  utf8    õEȭ5 blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
2088 0x000210c7 0x100226c7 6   10   .rdata  utf8    \fǸ-a~弣 blocks=Basic Latin,Latin Extended-B,CJK Unified Ideographs
2089 0x000210e9 0x100226e9 6   7    .rdata  ascii   G-CV"\a
2090 0x0002115f 0x1002275f 4   5    .rdata  ascii   B+<\b
2091 0x000211a0 0x100227a0 5   6    .rdata  ascii   C7D<a
2092 0x000211e5 0x100227e5 6   7    .rdata  ascii   oEDK\r5
2093 0x000211fd 0x100227fd 9   10   .rdata  ascii   1'!.\[2HC
2094 0x00021217 0x10022817 4   5    .rdata  ascii   MMy\f
2095 0x0002133e 0x1002293e 4   5    .rdata  ascii   kt[-
2096 0x0002138d 0x1002298d 4   7    .rdata  utf8    3蛴9[ blocks=Basic Latin,CJK Unified Ideographs
2097 0x00021409 0x10022a09 6   8    .rdata  utf8    GQ0\nφ  blocks=Basic Latin,Greek and Coptic
2098 0x0002147d 0x10022a7d 6   7    .rdata  ascii   ,^BW7D
2099 0x0002149e 0x10022a9e 4   6    .rdata  utf8    ҡ<W: blocks=Cyrillic,Basic Latin
2100 0x000214f2 0x10022af2 4   5    .rdata  ascii   [x8v
2101 0x00021516 0x10022b16 4   5    .rdata  ascii   eovr
2102 0x0002159d 0x10022b9d 14  16   .rdata  utf8    ,^BK<NӯOEDI\r-  blocks=Basic Latin,Cyrillic
2103 0x00021615 0x10022c15 4   5    .rdata  ascii   a\vAf
2104 0x0002161f 0x10022c1f 6   7    .rdata  ascii   vv-SBH
2105 0x000216c5 0x10022cc5 4   5    .rdata  ascii   K jQ
2106 0x000216fe 0x10022cfe 5   6    .rdata  ascii   mbg;[
2107 0x00021723 0x10022d23 4   5    .rdata  ascii   Ou\e0
2108 0x00021740 0x10022d40 5   6    .rdata  ascii   \r?Y\e<
2109 0x00021764 0x10022d64 5   6    .rdata  ascii   h'%\b<
2110 0x0002176e 0x10022d6e 4   6    .rdata  utf8    \f/[ݛ blocks=Basic Latin,Arabic Supplement
2111 0x00021789 0x10022d89 4   7    .rdata  utf8    [<Ǚƌ blocks=Basic Latin,Latin Extended-B
2112 0x00021831 0x10022e31 5   6    .rdata  ascii   |'[_B
2113 0x00021838 0x10022e38 4   5    .rdata  ascii   .>M\e
2114 0x00021840 0x10022e40 4   6    .rdata  utf8    SyЮ' blocks=Basic Latin,Cyrillic
2115 0x0002184c 0x10022e4c 4   5    .rdata  ascii   jo7g
2116 0x00021907 0x10022f07 4   5    .rdata  ascii   $\bC-
2117 0x00021954 0x10022f54 5   6    .rdata  ascii   gL9MK
2118 0x0002195a 0x10022f5a 5   6    .rdata  ascii   T92.N
2119 0x0002197d 0x10022f7d 4   5    .rdata  ascii   wI\f,
2120 0x0002198c 0x10022f8c 5   7    .rdata  utf8    ̦y_`% blocks=Combining Diacritical Marks,Basic Latin
2121 0x000219c1 0x10022fc1 5   7    .rdata  utf8    qDƽB; blocks=Basic Latin,Latin Extended-B
2122 0x00021a43 0x10023043 4   6    .rdata  utf8    X8\vӳ blocks=Basic Latin,Cyrillic
2123 0x00021a89 0x10023089 5   6    .rdata  ascii   :gQ~\r
2124 0x00021a9d 0x1002309d 4   5    .rdata  ascii   xmE:
2125 0x00021abc 0x100230bc 5   8    .rdata  utf8    ꫡ(;=m blocks=Meetei Mayek Extensions,Basic Latin
2126 0x00021ad6 0x100230d6 4   5    .rdata  ascii   'X.r
2127 0x00021aee 0x100230ee 4   5    .rdata  ascii   Y96V
2128 0x00021afe 0x100230fe 4   5    .rdata  ascii   Mp^{
2129 0x00021b20 0x10023120 4   5    .rdata  ascii   ne@6
2130 0x00021b36 0x10023136 4   5    .rdata  ascii   "53h
2131 0x00021b4b 0x1002314b 4   5    .rdata  ascii   il\eh
2132 0x00021b77 0x10023177 4   5    .rdata  ascii   3Yc\b
2133 0x00021c59 0x10023259 6   9    .rdata  utf8    i)+L옠E blocks=Basic Latin,Hangul Syllables
2134 0x00021c91 0x10023291 6   8    .rdata  utf8    p<eޯgl blocks=Basic Latin,Thaana
2135 0x00021cad 0x100232ad 4   5    .rdata  ascii   98gi
2136 0x00021cc3 0x100232c3 4   5    .rdata  ascii   {TDd
2137 0x00021cf8 0x100232f8 5   6    .rdata  ascii   |2b,G
2138 0x00021d16 0x10023316 4   5    .rdata  ascii   HP8-
2139 0x00021d32 0x10023332 4   5    .rdata  ascii   0Vyf
2140 0x00021d67 0x10023367 5   6    .rdata  ascii   Z86-%
