[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x00000100 0x00000100 4   5            ascii   woHY
3    0x000001f0 0x000001f0 4   5            ascii   UPX0
4    0x00000218 0x00000218 4   5            ascii   UPX1
5    0x00000240 0x00000240 5   6            ascii   .rsrc
6    0x000003db 0x000003db 4   5            ascii   3.91
7    0x000003e0 0x000003e0 9   10           ascii   UPX!\r\t\b\b@
695  0x000078b4 0x0044b4b4 4   5    UPX1    ascii   -i0P
696  0x000078bc 0x0044b4bc 4   5    UPX1    ascii   (\aFj
697  0x00007923 0x0044b523 4   6    UPX1    utf8    ѹ$4, blocks=Cyrillic,Basic Latin
698  0x00007935 0x0044b535 5   6    UPX1    ascii   m\fQh\b
699  0x0000795b 0x0044b55b 4   5    UPX1    ascii   #6\t~
700  0x0000797d 0x0044b57d 7   8    UPX1    ascii   \QuAK}Z
701  0x000079bb 0x0044b5bb 4   6    UPX1    utf8    Hʩ\ej blocks=Basic Latin,IPA Extensions
702  0x000079fb 0x0044b5fb 4   5    UPX1    ascii   `Ere
703  0x00007a04 0x0044b604 9   10   UPX1    ascii   x*OF\f;L\.
704  0x00007a50 0x0044b650 5   6    UPX1    ascii   T\bX0 
705  0x00007a60 0x0044b660 4   5    UPX1    ascii   .''m
706  0x00007a6a 0x0044b66a 4   5    UPX1    ascii   n#''
707  0x00007a78 0x0044b678 4   5    UPX1    ascii   $(,0
708  0x00007a89 0x0044b689 4   5    UPX1    ascii   @$@D
709  0x00007a92 0x0044b692 7   8    UPX1    ascii   HLPTrrr
710  0x00007a9c 0x0044b69c 11  12   UPX1    ascii   \`drrrrhlpt
711  0x00007aa9 0x0044b6a9 4   5    UPX1    ascii   rrx|
712  0x00007afd 0x0044b6fd 6   8    UPX1    utf8    \b1L2ɴ\f blocks=Basic Latin,IPA Extensions
713  0x00007b12 0x0044b712 5   6    UPX1    ascii   L(,0$
714  0x00007b18 0x0044b718 7   9    UPX1    utf8    L248<ځL blocks=Basic Latin,Arabic
715  0x00007b21 0x0044b721 4   5    UPX1    ascii   @eDH
716  0x00007b29 0x0044b729 5   6    UPX1    ascii   dLPT'
717  0x00007b3f 0x0044b73f 4   5    UPX1    ascii   s\bj<
718  0x00007b54 0x0044b754 5   6    UPX1    ascii   jb5r|
719  0x00007b67 0x0044b767 5   6    UPX1    ascii   \a n|$
720  0x00007b77 0x0044b777 4   6    UPX1    utf8    (0ٸU blocks=Basic Latin,Arabic
721  0x00007bb4 0x0044b7b4 4   7    UPX1    utf8    ǼPQؼ blocks=Latin Extended-B,Basic Latin,Arabic
722  0x00007bd4 0x0044b7d4 4   7    UPX1    utf8    }糱ii blocks=Basic Latin,CJK Unified Ideographs
723  0x00007bfa 0x0044b7fa 4   5    UPX1    ascii   M H(
724  0x00007c2b 0x0044b82b 5   6    UPX1    ascii   }P$>0
725  0x00007c32 0x0044b832 4   5    UPX1    ascii   Y(Q}
726  0x00007c3d 0x0044b83d 4   5    UPX1    ascii    @Wt
727  0x00007cb1 0x0044b8b1 4   5    UPX1    ascii   =@rZ
728  0x00007cd3 0x0044b8d3 4   5    UPX1    ascii   |\eM#
729  0x00007cd8 0x0044b8d8 4   5    UPX1    ascii   KAKV
730  0x00007cf1 0x0044b8f1 4   5    UPX1    ascii   j8S 
731  0x00007d38 0x0044b938 4   5    UPX1    ascii   _VHt
732  0x00007d42 0x0044b942 11  13   UPX1    utf8    2f"\rf;14Ő=4 blocks=Basic Latin,Latin Extended-A
733  0x00007d53 0x0044b953 4   5    UPX1    ascii   \t|HH
734  0x00007d77 0x0044b977 4   5    UPX1    ascii   }S?D
735  0x00007d8a 0x0044b98a 4   5    UPX1    ascii   0HaM
736  0x00007dc6 0x0044b9c6 5   6    UPX1    ascii   H0n:\f
737  0x00007dd8 0x0044b9d8 6   7    UPX1    ascii   [zK\bT\
738  0x00007de3 0x0044b9e3 4   5    UPX1    ascii   j3\ra
739  0x00007e10 0x0044ba10 6   7    UPX1    ascii   B&Dv9\
740  0x00007e28 0x0044ba28 4   5    UPX1    ascii   m0Ua
741  0x00007e3f 0x0044ba3f 4   5    UPX1    ascii   \fQVD
742  0x00007e51 0x0044ba51 6   7    UPX1    ascii   fJH9"u
743  0x00007e66 0x0044ba66 4   5    UPX1    ascii   jT$B
744  0x00007e71 0x0044ba71 4   5    UPX1    ascii   \Uw6
745  0x00007e7d 0x0044ba7d 6   9    UPX1    utf8    *ꆒ\v4(h blocks=Basic Latin,Yi Syllables
746  0x00007eca 0x0044baca 4   5    UPX1    ascii   Nw\br
747  0x00007ecf 0x0044bacf 9   10   UPX1    ascii   ;Vv\tN+0\e$
748  0x00007f09 0x0044bb09 5   8    UPX1    utf8    9DM頽. blocks=Basic Latin,CJK Unified Ideographs
749  0x00007f2b 0x0044bb2b 5   8    UPX1    utf8    b㒬pWL blocks=Basic Latin,CJK Unified Ideographs Extension A
750  0x00007f5b 0x0044bb5b 6   7    UPX1    ascii   6WP:Qh
751  0x00007f68 0x0044bb68 4   5    UPX1    ascii   1)Cb
752  0x00007f90 0x0044bb90 6   8    UPX1    utf8    Qd:5Àd blocks=Basic Latin,Latin-1 Supplement
753  0x00008005 0x0044bc05 4   6    UPX1    utf8    ԧI\bL blocks=Cyrillic Supplement,Basic Latin
754  0x00008048 0x0044bc48 5   6    UPX1    ascii   @laAA
755  0x0000804f 0x0044bc4f 4   5    UPX1    ascii   Lbr~
756  0x00008124 0x0044bd24 4   5    UPX1    ascii   Uau#
757  0x000081f6 0x0044bdf6 4   5    UPX1    ascii   h0Vw
758  0x0000823a 0x0044be3a 4   7    UPX1    utf8    \n\b\n諆 blocks=Basic Latin,CJK Unified Ideographs
759  0x0000828c 0x0044be8c 11  12   UPX1    ascii   [PRByr\bw%q|
760  0x000082b4 0x0044beb4 4   5    UPX1    ascii   \b[7<
761  0x0000835e 0x0044bf5e 5   6    UPX1    ascii   dLo*=
762  0x00008387 0x0044bf87 5   6    UPX1    ascii   f=\b&\t
763  0x000083b7 0x0044bfb7 4   5    UPX1    ascii   Fl\eJ
764  0x000083be 0x0044bfbe 4   5    UPX1    ascii   diY;
765  0x0000844e 0x0044c04e 6   7    UPX1    ascii   Ht\fHu=
766  0x000084aa 0x0044c0aa 7   9    UPX1    utf8    \a\nȈL2]@ blocks=Basic Latin,Latin Extended-B
767  0x000084ca 0x0044c0ca 4   5    UPX1    ascii   }`x0
768  0x000084fc 0x0044c0fc 4   5    UPX1    ascii   %w\n/
769  0x00008531 0x0044c131 7   8    UPX1    ascii   bA[jZ^+
770  0x00008581 0x0044c181 7   8    UPX1    ascii   Cl_qBI\f
771  0x000085c0 0x0044c1c0 4   5    UPX1    ascii   ItD?
772  0x0000864c 0x0044c24c 4   5    UPX1    ascii   ;tv3
773  0x00008659 0x0044c259 4   5    UPX1    ascii   TR/)
774  0x0000866a 0x0044c26a 6   9    UPX1    utf8    p뷒:&\fm blocks=Basic Latin,Hangul Syllables
775  0x00008688 0x0044c288 5   6    UPX1    ascii   R\f9Q\b
776  0x0000869b 0x0044c29b 4   5    UPX1    ascii   _aaw
777  0x000086a5 0x0044c2a5 4   5    UPX1    ascii   k\fUQ
778  0x000086e0 0x0044c2e0 4   5    UPX1    ascii   )`\\b
779  0x000086f3 0x0044c2f3 5   6    UPX1    ascii   "~j\vK
780  0x0000879b 0x0044c39b 4   5    UPX1    ascii   ,aa!
781  0x000087ad 0x0044c3ad 9   11   UPX1    utf8    (%W\eƈ\R58 blocks=Basic Latin,Latin Extended-B
782  0x000087bf 0x0044c3bf 4   5    UPX1    ascii   !h!r
783  0x00008826 0x0044c426 7   8    UPX1    ascii   KWB\nF2R
784  0x00008848 0x0044c448 4   5    UPX1    ascii   x\;\r
785  0x0000886c 0x0044c46c 5   6    UPX1    ascii   IVVVG
786  0x0000887a 0x0044c47a 4   5    UPX1    ascii   [R, 
787  0x000088cf 0x0044c4cf 7   8    UPX1    ascii   Y';_t|%
788  0x000088ec 0x0044c4ec 4   5    UPX1    ascii   rLr.
789  0x00008900 0x0044c500 4   5    UPX1    ascii   WkpQ
790  0x00008980 0x0044c580 4   5    UPX1    ascii   gu\a2
791  0x0000899c 0x0044c59c 4   5    UPX1    ascii   Y3(;
792  0x000089a1 0x0044c5a1 5   6    UPX1    ascii   \r:`8|
793  0x000089b7 0x0044c5b7 4   5    UPX1    ascii   h!ji
794  0x000089bd 0x0044c5bd 4   6    UPX1    utf8    .*9ǃ blocks=Basic Latin,Latin Extended-B
795  0x000089c7 0x0044c5c7 4   5    UPX1    ascii   6pm4
796  0x000089e4 0x0044c5e4 8   9    UPX1    ascii   t_\bEtZfu
797  0x00008a05 0x0044c605 4   5    UPX1    ascii   0<`?
798  0x00008a18 0x0044c618 5   6    UPX1    ascii   \,B04
799  0x00008a26 0x0044c626 4   6    UPX1    utf8    L9ԐF blocks=Basic Latin,Cyrillic Supplement
800  0x00008a51 0x0044c651 4   7    UPX1    utf8    8ҖіP blocks=Basic Latin,Cyrillic
801  0x00008a63 0x0044c663 4   5    UPX1    ascii   %"=T
802  0x00008a6a 0x0044c66a 10  11   UPX1    ascii   \tuyB@uB\fb;
803  0x00008a91 0x0044c691 4   7    UPX1    utf8    䕀;-u blocks=CJK Unified Ideographs Extension A,Basic Latin
804  0x00008af5 0x0044c6f5 5   7    UPX1    utf8    \nt\vI]
805  0x00008c3f 0x0044c83f 4   5    UPX1    ascii   PRSQ
806  0x00008c5d 0x0044c85d 11  12   UPX1    ascii   PjdE4Wnv@JE
807  0x00008c8f 0x0044c88f 4   5    UPX1    ascii   SW<X
808  0x00008c94 0x0044c894 4   5    UPX1    ascii   +\fq4
809  0x00008d54 0x0044c954 4   5    UPX1    ascii   \b90u
810  0x00008d8c 0x0044c98c 6   7    UPX1    ascii   $CUt\no
811  0x00008db5 0x0044c9b5 4   5    UPX1    ascii   ;CJ3
812  0x00008dd0 0x0044c9d0 4   5    UPX1    ascii   be\r]
813  0x00008dea 0x0044c9ea 5   6    UPX1    ascii   ^VfH>
814  0x00008e03 0x0044ca03 5   6    UPX1    ascii   8@F\nW
815  0x00008e28 0x0044ca28 7   8    UPX1    ascii   VKYaW]?
816  0x00008e35 0x0044ca35 4   5    UPX1    ascii   vJ+]
817  0x00008e44 0x0044ca44 4   6    UPX1    utf8    ͝sy& blocks=Combining Diacritical Marks,Basic Latin
818  0x00008e66 0x0044ca66 4   5    UPX1    ascii   n=kc
819  0x00008e77 0x0044ca77 7   8    UPX1    ascii   Ve/Sq\rQ
820  0x00008e88 0x0044ca88 4   5    UPX1    ascii   (3Q-
821  0x00008e9b 0x0044ca9b 4   5    UPX1    ascii   BSQ$
822  0x00008ed0 0x0044cad0 6   7    UPX1    ascii   S{So9b
823  0x00008edd 0x0044cadd 6   7    UPX1    ascii   |+;Z}&
824  0x00008eff 0x0044caff 4   6    UPX1    utf8    /uKW
825  0x00008f26 0x0044cb26 4   5    UPX1    ascii   \nB)u
826  0x00008f35 0x0044cb35 8   9    UPX1    ascii   \t<et\v<E/
827  0x00008f88 0x0044cb88 4   5    UPX1    ascii   0\b x
828  0x00008fab 0x0044cbab 4   5    UPX1    ascii   \fFKL
829  0x00008fc2 0x0044cbc2 4   5    UPX1    ascii   n"q\r
830  0x0000903a 0x0044cc3a 4   5    UPX1    ascii   e% Z
831  0x0000909c 0x0044cc9c 4   6    UPX1    utf8    ǎ:B= blocks=Latin Extended-B,Basic Latin
832  0x000090b4 0x0044ccb4 4   5    UPX1    ascii   i6\a\f
833  0x000090c2 0x0044ccc2 4   7    UPX1    utf8    ݉VƄY blocks=Syriac,Basic Latin,Latin Extended-B
834  0x000090fd 0x0044ccfd 4   6    UPX1    utf8    \rܭB; blocks=Basic Latin,Syriac
835  0x0000920d 0x0044ce0d 4   5    UPX1    ascii    0M|
836  0x00009236 0x0044ce36 5   6    UPX1    ascii   \nt|xx
837  0x0000925c 0x0044ce5c 5   6    UPX1    ascii   %<`KG
838  0x0000926c 0x0044ce6c 7   8    UPX1    ascii   _\%\nu+&
839  0x0000927b 0x0044ce7b 7   8    UPX1    ascii   _cj\nBYZ
840  0x00009288 0x0044ce88 5   6    UPX1    ascii   L>Qe?
841  0x000092a2 0x0044cea2 5   6    UPX1    ascii   4o~G 
842  0x000092b4 0x0044ceb4 4   5    UPX1    ascii   Pfr,
843  0x000092ca 0x0044ceca 4   5    UPX1    ascii   S\n"p
844  0x000092e0 0x0044cee0 6   10   UPX1    utf8    X懸+\t;ώ blocks=Basic Latin,CJK Unified Ideographs,Greek and Coptic
845  0x0000932d 0x0044cf2d 4   5    UPX1    ascii   k`5d
846  0x00009341 0x0044cf41 4   5    UPX1    ascii   t\t/6
847  0x00009346 0x0044cf46 5   6    UPX1    ascii   *nGX\r
848  0x000093c3 0x0044cfc3 6   8    UPX1    utf8    U݃;SYt blocks=Basic Latin,Syriac
849  0x000093d5 0x0044cfd5 5   8    UPX1    utf8    ƻʨ@h\f blocks=Latin Extended-B,IPA Extensions,Basic Latin
850  0x000093ea 0x0044cfea 4   5    UPX1    ascii   8S0y
851  0x000093fb 0x0044cffb 6   7    UPX1    ascii   x@K0C-
852  0x0000940e 0x0044d00e 6   7    UPX1    ascii   \v*,8VT
853  0x0000941d 0x0044d01d 5   6    UPX1    ascii   NBH3t
854  0x00009451 0x0044d051 4   5    UPX1    ascii   9*(%
855  0x0000949c 0x0044d09c 4   5    UPX1    ascii   H0%]
856  0x000094fc 0x0044d0fc 5   8    UPX1    utf8    Ƥ|łaO blocks=Latin Extended-B,Basic Latin,Latin Extended-A
857  0x0000956a 0x0044d16a 9   10   UPX1    ascii   [F!RgP\f`R
858  0x00009588 0x0044d188 4   5    UPX1    ascii   rY\S
859  0x000095b3 0x0044d1b3 4   5    UPX1    ascii   Y%*\a
860  0x000095b8 0x0044d1b8 5   6    UPX1    ascii   ?9`!~
861  0x000096ab 0x0044d2ab 6   8    UPX1    utf8    U\bs*ه\f blocks=Basic Latin,Arabic
862  0x000096b8 0x0044d2b8 4   6    UPX1    utf8    `bܪF blocks=Basic Latin,Syriac
863  0x000096c1 0x0044d2c1 4   5    UPX1    ascii   k8MB
864  0x000096e1 0x0044d2e1 7   8    UPX1    ascii   -t$^,un
865  0x000096fc 0x0044d2fc 4   6    UPX1    utf8    _aҩT blocks=Basic Latin,Cyrillic
866  0x00009706 0x0044d306 4   5    UPX1    ascii   nAy;
867  0x00009727 0x0044d327 4   5    UPX1    ascii   !@lT
868  0x0000972d 0x0044d32d 4   5    UPX1    ascii   \tlR(
869  0x000097bf 0x0044d3bf 4   5    UPX1    ascii   <{\v4
870  0x0000980c 0x0044d40c 5   6    UPX1    ascii   [ID~|
871  0x00009825 0x0044d425 7   8    UPX1    ascii   8Bt G)u
872  0x00009893 0x0044d493 4   5    UPX1    ascii   za]Q
873  0x000098e9 0x0044d4e9 5   6    UPX1    ascii   ?5|\r6
874  0x00009912 0x0044d512 4   6    UPX1    utf8    \e35i
875  0x00009925 0x0044d525 4   6    UPX1    utf8    3۪V' blocks=Basic Latin,Arabic
876  0x00009950 0x0044d550 6   7    UPX1    ascii   \n\fEE&i
877  0x00009978 0x0044d578 4   5    UPX1    ascii   VWzx
878  0x00009981 0x0044d581 4   6    UPX1    utf8    ~ϦK~ blocks=Basic Latin,Greek and Coptic
879  0x00009a0c 0x0044d60c 4   5    UPX1    ascii   {\b,o
880  0x00009a3b 0x0044d63b 5   7    UPX1    utf8    ^\fu܉C blocks=Basic Latin,Syriac
881  0x00009a64 0x0044d664 4   5    UPX1    ascii   4~U3
882  0x00009abd 0x0044d6bd 6   7    UPX1    ascii   My\a{Ou
883  0x00009ac7 0x0044d6c7 4   5    UPX1    ascii   ']^_
884  0x00009ad5 0x0044d6d5 4   5    UPX1    ascii   \b sd
885  0x00009ae7 0x0044d6e7 4   5    UPX1    ascii   q\b;*
886  0x00009b14 0x0044d714 6   7    UPX1    ascii   N\tGjc+
887  0x00009b23 0x0044d723 4   6    UPX1    utf8    Ҩ\vP} blocks=Cyrillic,Basic Latin
888  0x00009b2d 0x0044d72d 4   5    UPX1    ascii   Q21P
889  0x00009b37 0x0044d737 4   5    UPX1    ascii   ]K(,
890  0x00009b4b 0x0044d74b 4   6    UPX1    utf8    Aj8մ blocks=Basic Latin,Armenian
891  0x00009c03 0x0044d803 6   9    UPX1    utf8    \tԲY#Ѱw blocks=Basic Latin,Armenian,Cyrillic
892  0x00009c16 0x0044d816 4   6    UPX1    utf8    @+Ȥ\r blocks=Basic Latin,Latin Extended-B
893  0x00009c25 0x0044d825 5   7    UPX1    utf8    Ƞ]b\tV blocks=Latin Extended-B,Basic Latin
894  0x00009c3e 0x0044d83e 4   5    UPX1    ascii   ^2n@
895  0x00009d75 0x0044d975 5   6    UPX1    ascii   !P{I 
896  0x00009d9b 0x0044d99b 4   5    UPX1    ascii   ]z04
897  0x00009db9 0x0044d9b9 4   6    UPX1    utf8    ^Ўkv blocks=Basic Latin,Cyrillic
898  0x00009dbf 0x0044d9bf 6   8    UPX1    utf8    VF@N\|
899  0x00009dcd 0x0044d9cd 4   5    UPX1    ascii   5dx1
900  0x00009e10 0x0044da10 4   5    UPX1    ascii   (C7\t
901  0x00009e34 0x0044da34 5   7    UPX1    utf8    aCuȡp blocks=Basic Latin,Latin Extended-B
902  0x00009e7a 0x0044da7a 5   6    UPX1    ascii   uVc[(
903  0x00009ebe 0x0044dabe 6   7    UPX1    ascii    \aRy%*
904  0x00009ecf 0x0044dacf 5   6    UPX1    ascii   D|{\nB
905  0x00009ede 0x0044dade 4   5    UPX1    ascii   U,@ 
906  0x00009ef9 0x0044daf9 5   6    UPX1    ascii   9E$q!
907  0x00009f10 0x0044db10 4   5    UPX1    ascii   \b\tt\n
908  0x00009f22 0x0044db22 6   7    UPX1    ascii   E|AA.\v
909  0x00009f8a 0x0044db8a 7   8    UPX1    ascii   +\b-t&0t
910  0x00009fab 0x0044dbab 4   5    UPX1    ascii   &'Ij
911  0x00009fd1 0x0044dbd1 4   5    UPX1    ascii   ,|*`
912  0x00009fff 0x0044dbff 4   5    UPX1    ascii   t-kH
913  0x0000a00c 0x0044dc0c 4   6    UPX1    utf8    ][`ܚ blocks=Basic Latin,Syriac
914  0x0000a03a 0x0044dc3a 4   5    UPX1    ascii   xo0\b
915  0x0000a060 0x0044dc60 4   5    UPX1    ascii   \aj\t'
916  0x0000a0b0 0x0044dcb0 5   6    UPX1    ascii   \n\b-(9
917  0x0000a0c1 0x0044dcc1 5   6    UPX1    ascii   \e7,t\t
918  0x0000a0e1 0x0044dce1 6   7    UPX1    ascii   \bQ\b+uP
919  0x0000a121 0x0044dd21 4   5    UPX1    ascii   dP\ft
920  0x0000a134 0x0044dd34 4   5    UPX1    ascii   hU(N
921  0x0000a182 0x0044dd82 4   5    UPX1    ascii   VoRB
922  0x0000a1b9 0x0044ddb9 4   6    UPX1    utf8    6\nPΤ blocks=Basic Latin,Greek and Coptic
923  0x0000a1d5 0x0044ddd5 7   9    UPX1    utf8    ]#\em( ¤ blocks=Basic Latin,Latin-1 Supplement
924  0x0000a1f5 0x0044ddf5 4   5    UPX1    ascii   ?w\b,
925  0x0000a1fa 0x0044ddfa 8   10   UPX1    utf8    ߩ\rCFf^$F blocks=NKo,Basic Latin
926  0x0000a221 0x0044de21 5   6    UPX1    ascii   A\b\t9Y
927  0x0000a274 0x0044de74 4   5    UPX1    ascii   "ST%
928  0x0000a286 0x0044de86 4   5    UPX1    ascii   jmU\b
929  0x0000a2c8 0x0044dec8 5   8    UPX1    utf8    ҸgfCի blocks=Cyrillic,Basic Latin,Armenian
930  0x0000a2dc 0x0044dedc 4   5    UPX1    ascii   \ti;2
931  0x0000a305 0x0044df05 4   5    UPX1    ascii   \t4wW
932  0x0000a32c 0x0044df2c 5   7    UPX1    utf8    Gf\vǶr blocks=Basic Latin,Latin Extended-B
933  0x0000a34b 0x0044df4b 4   5    UPX1    ascii   \nu@4
934  0x0000a35a 0x0044df5a 4   5    UPX1    ascii    x\vM
935  0x0000a448 0x0044e048 4   6    UPX1    utf8    D\fԧE blocks=Basic Latin,Cyrillic Supplement
936  0x0000a469 0x0044e069 6   8    UPX1    utf8    u:ح9}\b blocks=Basic Latin,Arabic
937  0x0000a49f 0x0044e09f 4   5    UPX1    ascii   ?nT1
938  0x0000a4a4 0x0044e0a4 4   5    UPX1    ascii   K+\n*
939  0x0000a53e 0x0044e13e 4   5    UPX1    ascii   t!yp
940  0x0000a548 0x0044e148 8   10   UPX1    utf8    `V-\nWa"H
941  0x0000a573 0x0044e173 4   5    UPX1    ascii   :WE\n
942  0x0000a601 0x0044e201 6   10   UPX1    utf8    q 6Ե|6 blocks=Basic Latin,Armenian
943  0x0000a690 0x0044e290 4   5    UPX1    ascii   n!ye
944  0x0000a69f 0x0044e29f 4   5    UPX1    ascii    \f<B
945  0x0000a746 0x0044e346 4   6    UPX1    utf8    5~Ъ? blocks=Basic Latin,Cyrillic
946  0x0000a75d 0x0044e35d 4   6    UPX1    utf8    6ܸr} blocks=Basic Latin,Syriac
947  0x0000a771 0x0044e371 4   6    UPX1    utf8    ȝB;E blocks=Latin Extended-B,Basic Latin
948  0x0000a781 0x0044e381 8   9    UPX1    ascii   3)4jkt(i
949  0x0000a7e3 0x0044e3e3 4   5    UPX1    ascii   4ZPB
950  0x0000a7ef 0x0044e3ef 4   5    UPX1    ascii   jBHj
951  0x0000a81d 0x0044e41d 4   5    UPX1    ascii   $iuu
952  0x0000a82b 0x0044e42b 5   6    UPX1    ascii   .?rG[
953  0x0000a83b 0x0044e43b 4   5    UPX1    ascii   1aP0
954  0x0000a894 0x0044e494 4   7    UPX1    utf8    ʄ\aыk blocks=IPA Extensions,Basic Latin,Cyrillic
955  0x0000a8d2 0x0044e4d2 4   5    UPX1    ascii   pLx|
956  0x0000a917 0x0044e517 5   7    UPX1    utf8    \vЩ4Ou blocks=Basic Latin,Cyrillic
957  0x0000a93f 0x0044e53f 4   5    UPX1    ascii   ZxOt
958  0x0000a9c9 0x0044e5c9 5   7    UPX1    utf8    6\vKEz
959  0x0000a9d1 0x0044e5d1 4   5    UPX1    ascii   p3X`
960  0x0000a9e0 0x0044e5e0 5   6    UPX1    ascii   x}u~\v
961  0x0000a9f6 0x0044e5f6 6   7    UPX1    ascii   /H<5|C
962  0x0000a9ff 0x0044e5ff 4   5    UPX1    ascii   99u\b
963  0x0000aa05 0x0044e605 4   5    UPX1    ascii   0I6s
964  0x0000aa25 0x0044e625 7   8    UPX1    ascii   m$J,t]*
965  0x0000aa6d 0x0044e66d 5   8    UPX1    utf8    o*XƋѻ blocks=Basic Latin,Latin Extended-B,Cyrillic
966  0x0000aa82 0x0044e682 4   6    UPX1    utf8    t\v;Ӵ blocks=Basic Latin,Cyrillic
967  0x0000aa8b 0x0044e68b 7   8    UPX1    ascii   T`Z\f@oK
968  0x0000ab3f 0x0044e73f 5   6    UPX1    ascii   Ux^YV
969  0x0000ab52 0x0044e752 4   5    UPX1    ascii   6222
970  0x0000ab63 0x0044e763 4   5    UPX1    ascii   t*T.
971  0x0000ab7e 0x0044e77e 4   5    UPX1    ascii   ('\a7
972  0x0000ab9b 0x0044e79b 6   8    UPX1    utf8    (%<\tR֑ blocks=Basic Latin,Hebrew
973  0x0000abc7 0x0044e7c7 4   5    UPX1    ascii   @A9y
974  0x0000abf0 0x0044e7f0 7   8    UPX1    ascii   #}\b\r+A(
975  0x0000ac0f 0x0044e80f 5   6    UPX1    ascii   \f\f*8m
976  0x0000ac4d 0x0044e84d 5   6    UPX1    ascii    %5"S
977  0x0000ac5a 0x0044e85a 6   7    UPX1    ascii   *sP,#h
978  0x0000ac6f 0x0044e86f 6   7    UPX1    ascii   rj^XZu
979  0x0000ac77 0x0044e877 4   5    UPX1    ascii   Zuw\n
980  0x0000ac8b 0x0044e88b 5   8    UPX1    utf8    N@΄۟  blocks=Basic Latin,Greek and Coptic,Arabic
981  0x0000ac98 0x0044e898 9   10   UPX1    ascii   \b9UXl\1~@
982  0x0000ad20 0x0044e920 4   5    UPX1    ascii   !k:-
983  0x0000adbb 0x0044e9bb 4   6    UPX1    utf8    Wtى; blocks=Basic Latin,Arabic
984  0x0000adc7 0x0044e9c7 4   5    UPX1    ascii   \n&\n<
985  0x0000add6 0x0044e9d6 7   8    UPX1    ascii   VuH\vFjL
986  0x0000ae3c 0x0044ea3c 4   5    UPX1    ascii   QPG&
987  0x0000ae4c 0x0044ea4c 5   6    UPX1    ascii   #@cZ`
988  0x0000ae59 0x0044ea59 5   6    UPX1    ascii   ?upu 
989  0x0000ae5f 0x0044ea5f 5   6    UPX1    ascii   ?V\nKN
990  0x0000ae78 0x0044ea78 5   6    UPX1    ascii   >+^]U
991  0x0000aed2 0x0044ead2 4   5    UPX1    ascii   \b^&\n
992  0x0000aed9 0x0044ead9 6   7    UPX1    ascii   ?0TL$#
993  0x0000aef7 0x0044eaf7 5   7    UPX1    utf8    u\v36Ӈ blocks=Basic Latin,Cyrillic
994  0x0000af1d 0x0044eb1d 4   5    UPX1    ascii   ,u)%
995  0x0000af28 0x0044eb28 4   5    UPX1    ascii   6gu?
996  0x0000af35 0x0044eb35 6   7    UPX1    ascii   \f~fa/;
997  0x0000af54 0x0044eb54 4   5    UPX1    ascii   6>\aY
998  0x0000af63 0x0044eb63 4   6    UPX1    utf8    @PҒ\v blocks=Basic Latin,Cyrillic
999  0x0000af71 0x0044eb71 4   5    UPX1    ascii   Q[:>
1000 0x0000af86 0x0044eb86 5   6    UPX1    ascii   )+CC%
1001 0x0000af8e 0x0044eb8e 4   5    UPX1    ascii   Xy~f
1002 0x0000afe5 0x0044ebe5 5   7    UPX1    utf8    ɑ#Gpo blocks=IPA Extensions,Basic Latin
1003 0x0000b00b 0x0044ec0b 4   5    UPX1    ascii   #'g/
1004 0x0000b05f 0x0044ec5f 4   5    UPX1    ascii    ?-.
1005 0x0000b080 0x0044ec80 10  11   UPX1    ascii   (E<MPFd7#G
1006 0x0000b0a6 0x0044eca6 5   6    UPX1    ascii   O(B<D
1007 0x0000b0ac 0x0044ecac 8   10   UPX1    utf8    ȑ#LC\Gp: blocks=Latin Extended-B,Basic Latin
1008 0x0000b0c0 0x0044ecc0 4   6    UPX1    utf8    ;ˑ#G blocks=Basic Latin,Spacing Modifier Letters
1009 0x0000b0de 0x0044ecde 8   9    UPX1    ascii   Lqd\ax!9r
1010 0x0000b0fc 0x0044ecfc 5   7    UPX1    utf8    hvől( blocks=Basic Latin,Latin Extended-A
1011 0x0000b10d 0x0044ed0d 4   5    UPX1    ascii   )\b/\
1012 0x0000b117 0x0044ed17 4   5    UPX1    ascii   d\et&
1013 0x0000b11f 0x0044ed1f 4   6    UPX1    utf8    n"GΎ blocks=Basic Latin,Greek and Coptic
1014 0x0000b149 0x0044ed49 5   6    UPX1    ascii   u(v8w
1015 0x0000b152 0x0044ed52 6   7    UPX1    ascii   L\n\yp'
1016 0x0000b187 0x0044ed87 4   6    UPX1    utf8    ~ \f߁ blocks=Basic Latin,NKo
1017 0x0000b1ca 0x0044edca 4   6    UPX1    utf8    gGΎd blocks=Basic Latin,Greek and Coptic
1018 0x0000b1e0 0x0044ede0 5   6    UPX1    ascii   perm4
1019 0x0000b1e8 0x0044ede8 23  24   UPX1    ascii   ission denied,file ext{
1020 0x0000b201 0x0044ee01 19  20   UPX1    ascii   W*no such8vice7nam>
1021 0x0000b216 0x0044ee16 7   8    UPX1    ascii   amto2lj
1022 0x0000b21e 0x0044ee1e 7   8    UPX1    ascii   7 or re
1023 0x0000b229 0x0044ee29 4   5    UPX1    ascii   sour
